molecule,MPI,OMP,orbs,Nuclear pot,Coulomb dens,Coulomb pot,Total Fock
alkane_010,008,08,41,8.30575e+00,3.48719e+00,2.57866e+01,3.75800e+01
alkane_010,008,16,41,4.18798e+00,2.66045e+00,1.56799e+01,2.25300e+01
alkane_010,008,32,41,2.14652e+00,2.49508e+00,1.03170e+01,1.49594e+01
alkane_010,016,08,41,8.26581e+00,5.08338e+00,1.70653e+01,3.04150e+01
alkane_010,016,16,41,4.18035e+00,3.90431e+00,8.36748e+00,1.64527e+01
alkane_010,016,32,41,2.13371e+00,4.07631e+00,7.35221e+00,1.35627e+01
alkane_010,032,08,41,8.39973e+00,1.01517e+01,1.72991e+01,3.58510e+01
alkane_010,032,16,41,4.18714e+00,8.57585e+00,9.15502e+00,2.19187e+01
alkane_010,032,32,41,2.13456e+00,8.56969e+00,7.89414e+00,1.85990e+01
alkane_020,008,08,81,2.78566e+01,8.18669e+00,6.97965e+01,1.05840e+02
alkane_020,008,16,81,1.41175e+01,5.50128e+00,2.36775e+01,4.32978e+01
alkane_020,008,32,81,7.21896e+00,5.54087e+00,1.96480e+01,3.24085e+01
alkane_020,016,08,81,2.81199e+01,1.10557e+01,6.80854e+01,1.07262e+02
alkane_020,016,16,81,1.41769e+01,1.14115e+01,5.15427e+01,7.71317e+01
alkane_020,016,32,81,7.17283e+00,8.23531e+00,1.66356e+01,3.20443e+01
alkane_020,032,08,81,2.81688e+01,2.80959e+01,4.14957e+01,9.77610e+01
alkane_020,032,16,81,1.41826e+01,1.78647e+01,1.99519e+01,5.19998e+01
alkane_020,032,32,81,7.16531e+00,1.84695e+01,1.51126e+01,4.07481e+01
alkane_020,048,08,81,2.90156e+01,3.19499e+01,4.42728e+01,1.05239e+02
alkane_020,048,16,81,1.42915e+01,2.72353e+01,4.25529e+01,8.40812e+01
alkane_020,048,32,81,7.19489e+00,3.65621e+01,1.57455e+01,5.95040e+01
alkane_020,064,08,81,2.79387e+01,5.28713e+01,5.86484e+01,1.39459e+02
alkane_020,064,16,81,1.41173e+01,4.95167e+01,2.36246e+01,8.72601e+01
alkane_020,064,32,81,7.19617e+00,4.52488e+01,1.78586e+01,7.03052e+01
alkane_020,080,08,81,2.88105e+01,5.49361e+01,4.07192e+01,1.24466e+02
alkane_020,080,16,81,1.41762e+01,4.76129e+01,2.34664e+01,8.52561e+01
alkane_020,080,32,81,7.21113e+00,5.83290e+01,1.86260e+01,8.41671e+01
alkane_030,008,32,121,1.45695e+01,8.74479e+00,2.52759e+01,4.85908e+01
alkane_030,016,16,121,2.87309e+01,2.03027e+01,8.01786e+01,1.29213e+02
alkane_030,016,32,121,1.44889e+01,1.44738e+01,2.72330e+01,5.61964e+01
alkane_030,032,08,121,5.74721e+01,4.03995e+01,9.79898e+01,1.95862e+02
alkane_030,032,16,121,2.86017e+01,3.44843e+01,4.53831e+01,1.08470e+02
alkane_030,032,32,121,1.43377e+01,3.27116e+01,2.55167e+01,7.25668e+01
alkane_030,048,08,121,5.73418e+01,5.85902e+01,9.22520e+01,2.08186e+02
alkane_030,048,16,121,2.84361e+01,6.24599e+01,6.21791e+01,1.53076e+02
alkane_030,048,32,121,1.44124e+01,5.19623e+01,2.75409e+01,9.39163e+01
alkane_030,064,08,121,5.67942e+01,9.81875e+01,1.04507e+02,2.59489e+02
alkane_030,064,16,121,2.85701e+01,8.84233e+01,8.22784e+01,1.99272e+02
alkane_030,064,32,121,1.42916e+01,6.55956e+01,2.57342e+01,1.05622e+02
alkane_030,080,08,121,5.62744e+01,1.19183e+02,1.03437e+02,2.78895e+02
alkane_030,080,16,121,2.85853e+01,1.14626e+02,8.18941e+01,2.25106e+02
alkane_030,080,32,121,1.46861e+01,8.97158e+01,2.93464e+01,1.33750e+02
alkane_040,008,32,161,2.33532e+01,1.47567e+01,2.10222e+01,5.91328e+01
alkane_040,016,16,161,4.59492e+01,3.03841e+01,1.05575e+02,1.81909e+02
alkane_040,016,32,161,2.32142e+01,2.25069e+01,3.93389e+01,8.50610e+01
alkane_040,032,16,161,4.60136e+01,3.91415e+01,7.58986e+01,1.61054e+02
alkane_040,032,32,161,2.32324e+01,4.38466e+01,2.52928e+01,9.23727e+01
alkane_040,048,08,161,9.46385e+01,1.19418e+02,1.32489e+02,3.46546e+02
alkane_040,048,16,161,4.61577e+01,1.01039e+02,8.41409e+01,2.31338e+02
alkane_040,048,32,161,2.34259e+01,7.79293e+01,3.53952e+01,1.36751e+02
alkane_040,064,08,161,9.18835e+01,1.44101e+02,1.42472e+02,3.78457e+02
alkane_040,064,16,161,4.61431e+01,1.38375e+02,1.09824e+02,2.94344e+02
alkane_040,064,32,161,2.32753e+01,1.09346e+02,3.45309e+01,1.67153e+02
alkane_040,080,08,161,9.13844e+01,1.84917e+02,1.33176e+02,4.09479e+02
alkane_040,080,16,161,4.61612e+01,1.81852e+02,1.06219e+02,3.34233e+02
alkane_040,080,32,161,2.33119e+01,1.48119e+02,3.58241e+01,2.07256e+02
alkane_040,096,08,161,9.51076e+01,2.24115e+02,1.33371e+02,4.52594e+02
alkane_040,096,16,161,4.61340e+01,2.14179e+02,9.61645e+01,3.56478e+02
alkane_040,096,32,161,2.32363e+01,1.80274e+02,3.45592e+01,2.38071e+02
alkane_040,112,08,161,9.11460e+01,2.51069e+02,1.31259e+02,4.73474e+02
alkane_040,112,16,161,4.62047e+01,2.53973e+02,1.07560e+02,4.07738e+02
alkane_040,112,32,161,2.34394e+01,2.14648e+02,3.47796e+01,2.72869e+02
alkane_040,128,08,161,9.23129e+01,2.98772e+02,1.29737e+02,5.20822e+02
alkane_040,128,16,161,4.59854e+01,2.78519e+02,9.72027e+01,4.21708e+02
alkane_040,128,32,161,2.35560e+01,2.42651e+02,3.48816e+01,3.01091e+02
alkane_050,016,32,201,3.45561e+01,2.79842e+01,4.47484e+01,1.07290e+02
alkane_050,032,16,201,6.82354e+01,6.73949e+01,1.13050e+02,2.48681e+02
alkane_050,032,32,201,3.44114e+01,5.69183e+01,4.37913e+01,1.35123e+02
alkane_050,048,16,201,6.86718e+01,8.83600e+01,6.06272e+01,2.17660e+02
alkane_050,048,32,201,3.42203e+01,8.24086e+01,4.53634e+01,1.61993e+02
alkane_050,064,16,201,6.83331e+01,1.76101e+02,1.31679e+02,3.76114e+02
alkane_050,064,32,201,3.44610e+01,1.29655e+02,3.98378e+01,2.03954e+02
alkane_050,080,08,201,1.34834e+02,2.14655e+02,1.59876e+02,5.09366e+02
alkane_050,080,16,201,6.83465e+01,1.88053e+02,1.19141e+02,3.75542e+02
alkane_050,080,32,201,3.44669e+01,1.70071e+02,4.24439e+01,2.46982e+02
alkane_050,096,16,201,6.79709e+01,2.62957e+02,1.27552e+02,4.58482e+02
alkane_050,096,32,201,3.42357e+01,2.25145e+02,4.18029e+01,3.01185e+02
alkane_050,112,08,201,1.35460e+02,3.24487e+02,1.75470e+02,6.35417e+02
alkane_050,112,16,201,6.80289e+01,3.04613e+02,1.23099e+02,4.95742e+02
alkane_050,112,32,201,3.40801e+01,2.61480e+02,4.41458e+01,3.39708e+02
alkane_050,128,08,201,1.35775e+02,3.63563e+02,1.59357e+02,6.58696e+02
alkane_050,128,16,201,6.81809e+01,3.41557e+02,1.17174e+02,5.26913e+02
alkane_050,128,32,201,3.40836e+01,2.95557e+02,2.76153e+01,3.57257e+02
alkane_060,032,32,241,4.74184e+01,6.93743e+01,5.42204e+01,1.71014e+02
alkane_060,048,16,241,9.42676e+01,9.15341e+01,3.68522e+01,2.22655e+02
alkane_060,048,32,241,4.76995e+01,1.09740e+02,5.22062e+01,2.09647e+02
alkane_060,064,16,241,9.44468e+01,2.12167e+02,1.66285e+02,4.72899e+02
alkane_060,064,32,241,4.75434e+01,1.73454e+02,5.14028e+01,2.72401e+02
alkane_060,080,16,241,9.41306e+01,2.72758e+02,1.60517e+02,5.27407e+02
alkane_060,080,32,241,4.72828e+01,2.26025e+02,5.34809e+01,3.26790e+02
alkane_060,096,16,241,9.47887e+01,2.70555e+02,9.84725e+01,4.63817e+02
alkane_060,096,32,241,4.74290e+01,2.66944e+02,5.23413e+01,3.66715e+02
alkane_060,112,16,241,9.41102e+01,3.78330e+02,1.54520e+02,6.26961e+02
alkane_060,112,32,241,4.71716e+01,3.32542e+02,5.16130e+01,4.31328e+02
alkane_060,128,16,241,9.47111e+01,4.34873e+02,1.55994e+02,6.85579e+02
alkane_060,128,32,241,5.48617e+01,3.86746e+02,5.01672e+01,4.91775e+02
alkane_060,144,16,241,9.60365e+01,4.86004e+02,1.49367e+02,7.31408e+02
alkane_060,144,32,241,4.74245e+01,4.35123e+02,3.49460e+01,5.17495e+02
