molecule,prec,MPI,OMP,Localize,SCF energy,Helmholtz,KAIN,Fock operator,Fock matrix,Total SCF
ch4_010,5,008,08,3.94437e+01,2.90505e+00,62.3098,2.39092e+00,3.75800e+01,1.02114e+01,1.73402e+02
ch4_010,5,008,16,3.65734e+01,1.70633e+00,34.2841,1.80852e+00,2.25300e+01,9.16007e+00,1.19867e+02
ch4_010,5,008,32,4.02007e+01,2.30365e+00,40.2836,1.90669e+00,1.49594e+01,1.02488e+01,1.23555e+02
ch4_010,5,016,08,2.72695e+01,1.89151e+00,30.9674,1.83257e+00,3.04150e+01,8.52193e+00,1.13515e+02
ch4_010,5,016,16,2.38044e+01,1.55917e+00,17.6612,1.25632e+00,1.64527e+01,7.94105e+00,7.93245e+01
ch4_010,5,016,32,2.50966e+01,1.38045e+00,19.1953,1.32695e+00,1.35627e+01,8.97089e+00,7.98281e+01
ch4_010,5,032,08,1.98689e+01,1.47236e+00,20.9884,8.07469e-01,3.58510e+01,7.74652e+00,1.00523e+02
ch4_010,5,032,16,1.74656e+01,9.30150e-01,12.3694,7.57378e-01,2.19187e+01,6.09010e+00,6.97208e+01
ch4_010,5,032,32,1.85341e+01,1.18338e+00,10.972,9.01694e-01,1.85990e+01,5.66938e+00,6.57093e+01
ch4_020,5,008,08,1.11000e+02,6.69670e+00,138.257,3.64377e+00,1.05840e+02,2.80137e+01,4.62343e+02
ch4_020,5,008,16,9.85398e+01,3.09056e+00,77.6625,4.26767e+00,4.32978e+01,3.89718e+01,3.16610e+02
ch4_020,5,008,32,1.01443e+02,3.88014e+00,71.8607,3.50510e+00,3.24085e+01,2.06152e+01,2.83453e+02
ch4_020,5,016,08,8.34038e+01,4.15806e+00,75.5054,2.13691e+00,1.07262e+02,1.82285e+01,3.35485e+02
ch4_020,5,016,16,7.05001e+01,1.80703e+00,41.4732,1.75446e+00,7.71317e+01,1.31611e+01,2.37629e+02
ch4_020,5,016,32,7.84232e+01,2.78140e+00,34.844,1.97189e+00,3.20443e+01,1.62640e+01,1.97923e+02
