molecule,MPI,OMP,orbs,SCF cycles,Wall time,Max memory
alkane_010,008,08,41,-6,8.398989e+02,6070276
alkane_010,008,16,41,-6,5.460203e+02,6109444
alkane_010,008,32,41,-6,5.339121e+02,5886812
alkane_010,016,08,41,-6,5.162244e+02,4171196
alkane_010,016,16,41,-6,3.480879e+02,4197492
alkane_010,016,32,41,-6,3.354596e+02,3929544
alkane_010,032,08,41,-6,3.914315e+02,3379600
alkane_010,032,16,41,-6,2.724002e+02,3161456
alkane_010,032,32,41,-6,2.806245e+02,2980412
alkane_020,008,08,81,-6,2.656250e+03,12829628
alkane_020,008,16,81,-6,1.774271e+03,12847412
alkane_020,008,32,81,-6,1.608425e+03,12417252
alkane_020,016,08,81,-6,1.433230e+03,8181696
alkane_020,016,16,81,-6,9.450258e+02,8171244
alkane_020,016,32,81,-6,9.368940e+02,7731252
alkane_020,032,08,81,-6,9.322197e+02,5523864
alkane_020,032,16,81,-6,6.308028e+02,5817688
alkane_020,032,32,81,-6,6.593162e+02,5390012
alkane_020,048,08,81,-6,8.172127e+02,5276948
alkane_020,048,16,81,-6,5.730048e+02,4959800
alkane_020,048,32,81,-6,5.699847e+02,4808336
alkane_020,064,08,81,-6,7.335028e+02,4964128
alkane_020,064,16,81,-6,5.235892e+02,4927108
alkane_020,064,32,81,-6,5.190749e+02,4475048
alkane_020,080,08,81,-6,7.308459e+02,5022068
alkane_020,080,16,81,-6,5.378685e+02,4209340
alkane_020,080,32,81,-6,5.378920e+02,3545572
alkane_030,008,08,121,-6,6.067534e+03,21694472
alkane_030,008,16,121,-6,4.013763e+03,21665452
alkane_030,008,32,121,-6,3.325087e+03,21046380
alkane_030,016,08,121,-6,3.305617e+03,13029004
alkane_030,016,16,121,-6,2.144501e+03,13004468
alkane_030,016,32,121,-6,1.921978e+03,12448984
alkane_030,032,08,121,-6,1.854397e+03,8838960
alkane_030,032,16,121,-6,1.242213e+03,8821124
alkane_030,032,32,121,-6,1.219837e+03,8146012
alkane_030,048,08,121,-6,1.498500e+03,7426852
alkane_030,048,16,121,-6,1.040241e+03,7527716
alkane_030,048,32,121,-6,9.967015e+02,6894060
alkane_030,064,08,121,-6,1.323635e+03,6621548
alkane_030,064,16,121,-6,9.014363e+02,6790508
alkane_030,064,32,121,-6,8.198972e+02,6038032
alkane_030,080,08,121,-6,1.379899e+03,6491836
alkane_030,080,16,121,-6,9.803190e+02,6385476
alkane_030,080,32,121,-6,9.051220e+02,5974344
alkane_040,008,32,161,-6,5.633714e+03,31389428
alkane_040,016,08,161,-6,6.154872e+03,17808272
alkane_040,016,16,161,-6,4.034365e+03,18539672
alkane_040,016,32,161,-6,3.204168e+03,18625552
alkane_040,032,08,161,-6,3.413789e+03,12816200
alkane_040,032,16,161,-6,2.231598e+03,12806308
alkane_040,032,32,161,-6,1.997168e+03,11919120
alkane_040,048,08,161,-6,2.718628e+03,10654428
alkane_040,048,16,161,-6,1.839479e+03,10644156
alkane_040,048,32,161,-6,1.624730e+03,9719732
alkane_040,064,08,161,-6,2.150418e+03,9096244
alkane_040,064,16,161,-6,1.479154e+03,9118896
alkane_040,064,32,161,-6,1.325049e+03,8339848
alkane_040,080,08,161,-6,2.081618e+03,9057500
alkane_040,080,16,161,-6,1.471038e+03,9080160
alkane_040,080,32,161,-6,1.368008e+03,8157396
alkane_040,096,08,161,-6,1.954438e+03,7677212
alkane_040,096,16,161,-6,1.357857e+03,7723976
alkane_040,096,32,161,-6,1.289568e+03,6953948
alkane_040,112,08,161,-6,2.039239e+03,7686480
alkane_040,112,16,161,-6,1.433613e+03,7264684
alkane_040,112,32,161,-6,1.252153e+03,7180852
alkane_040,128,08,161,-6,1.760344e+03,7418216
alkane_040,128,16,161,-6,1.240955e+03,7671176
alkane_040,128,32,161,-6,1.153952e+03,6891080
alkane_050,016,16,201,-6,4.844337e+03,25332884
alkane_050,016,32,201,-6,4.225652e+03,26955256
alkane_050,032,08,201,-6,3.852425e+03,16165544
alkane_050,032,16,201,-6,2.790947e+03,16469228
alkane_050,032,32,201,-6,2.650466e+03,15354200
alkane_050,048,16,201,-6,2.221756e+03,13524612
alkane_050,048,32,201,-6,2.167538e+03,12759756
alkane_050,064,08,201,-6,2.696762e+03,12026596
alkane_050,064,16,201,-6,1.907332e+03,12237984
alkane_050,064,32,201,-6,1.823522e+03,11311864
alkane_050,080,08,201,-6,2.340905e+03,10531752
alkane_050,080,16,201,-6,1.708210e+03,10535108
alkane_050,080,32,201,-6,1.656959e+03,9440868
alkane_050,096,08,201,-6,2.180408e+03,10098652
alkane_050,096,16,201,-6,1.607548e+03,10499176
alkane_050,096,32,201,-6,1.679686e+03,9493076
alkane_050,112,08,201,-6,1.972092e+03,9135168
alkane_050,112,16,201,-6,1.469342e+03,9312248
alkane_050,112,32,201,-6,1.382864e+03,8219024
alkane_050,128,08,201,-6,2.149618e+03,9043944
alkane_050,128,16,201,-6,1.603218e+03,8708080
alkane_050,128,32,201,-6,1.555218e+03,8405352
alkane_060,016,32,241,-6,6.192106e+03,33137084
alkane_060,032,16,241,-6,4.184623e+03,20643836
alkane_060,032,32,241,-6,3.721738e+03,19494816
alkane_060,048,16,241,-6,3.127664e+03,17087988
alkane_060,048,32,241,-6,2.798674e+03,15730712
alkane_060,064,08,241,-6,3.540424e+03,13781944
alkane_060,064,16,241,-6,2.520317e+03,13975256
alkane_060,064,32,241,-6,2.352769e+03,12662388
alkane_060,080,08,241,-6,3.303000e+03,14132752
alkane_060,080,16,241,-6,2.427362e+03,14139476
alkane_060,080,32,241,-6,2.358299e+03,12841608
alkane_060,096,08,241,-6,3.079427e+03,12231460
alkane_060,096,16,241,-6,2.227873e+03,12224004
alkane_060,096,32,241,-6,2.121757e+03,10922092
alkane_060,112,08,241,-6,2.946876e+03,12030648
alkane_060,112,16,241,-6,2.141290e+03,12116200
alkane_060,112,32,241,-6,2.081972e+03,10712116
alkane_060,128,08,241,-6,2.570455e+03,10691048
alkane_060,128,16,241,-6,1.869527e+03,10809976
alkane_060,128,32,241,-6,1.824282e+03,9531912
