molecule,prec,MPI,OMP,Push back,Setup linear system,Solve linear system,Expand solution,Total KAIN
ch4_002,4,01,01,2.08085e-02,9.08352e-01,2.11110e-05,1.18253e+00,2.11182e+00
ch4_002,4,01,02,2.93956e-02,6.14163e-01,2.12040e-05,7.28296e-01,1.37197e+00
ch4_002,4,01,04,4.89318e-02,4.80444e-01,2.01840e-05,5.14382e-01,1.04389e+00
ch4_002,4,01,08,6.10113e-02,3.76461e-01,1.72550e-05,3.81776e-01,8.19371e-01
ch4_002,4,01,16,1.07045e-01,3.37506e-01,1.89960e-05,2.95103e-01,7.39777e-01
ch4_002,4,01,32,8.98133e-02,3.32024e-01,2.46510e-05,2.59120e-01,6.81118e-01
ch4_002,4,02,01,3.12319e-02,5.80668e-01,1.52110e-05,6.54882e-01,1.26691e+00
ch4_002,4,02,02,2.14848e-02,3.73310e-01,8.93300e-06,3.86916e-01,7.81824e-01
ch4_002,4,02,04,1.68719e-02,2.33969e-01,1.92170e-05,2.44235e-01,4.95204e-01
ch4_002,4,02,08,2.17070e-02,1.85488e-01,1.76200e-05,1.93685e-01,4.01006e-01
ch4_002,4,02,16,1.95008e-02,1.74904e-01,1.50620e-05,1.55358e-01,3.49887e-01
ch4_002,4,02,32,1.76927e-01,2.06607e-01,2.71900e-05,1.46635e-01,5.30333e-01
ch4_002,4,04,01,1.58518e-02,3.22521e-01,2.02000e-05,3.96748e-01,7.35254e-01
ch4_002,4,04,02,6.93545e-03,2.00075e-01,2.10620e-05,2.41730e-01,4.48870e-01
ch4_002,4,04,04,5.40275e-02,1.99691e-01,1.85760e-05,1.73357e-01,4.27214e-01
ch4_002,4,04,08,6.81956e-02,1.31240e-01,1.76670e-05,1.33721e-01,3.33281e-01
ch4_002,4,04,16,4.83857e-02,1.23036e-01,2.12380e-05,1.03667e-01,2.75227e-01
ch4_002,4,04,32,7.47433e-02,1.43996e-01,2.67620e-05,9.13595e-02,3.10273e-01
ch4_002,4,08,01,1.14363e-02,2.19031e-01,2.35120e-05,2.97183e-01,5.27786e-01
ch4_002,4,08,02,7.43556e-03,1.40353e-01,9.71400e-06,1.79007e-01,3.26908e-01
ch4_002,4,08,04,1.12261e-02,9.48156e-02,2.05400e-05,1.21979e-01,2.28151e-01
ch4_002,4,08,08,6.91700e-03,7.45725e-02,1.76740e-05,9.47600e-02,1.76364e-01
ch4_002,4,08,16,5.19918e-03,6.95120e-02,2.06150e-05,7.51957e-02,1.50035e-01
ch4_002,4,08,32,3.05649e-02,7.34937e-02,2.40690e-05,6.24029e-02,1.66613e-01
ch4_002,5,01,01,5.30718e-02,2.69468e+00,2.03820e-05,4.18519e+00,6.93308e+00
ch4_002,5,01,02,5.30540e-02,1.68198e+00,1.37380e-05,2.09485e+00,3.83002e+00
ch4_002,5,01,04,8.54059e-02,1.41452e+00,1.97690e-05,1.42813e+00,2.92821e+00
ch4_002,5,01,08,1.60362e-01,1.02453e+00,1.79130e-05,1.11660e+00,2.30163e+00
ch4_002,5,01,16,1.75009e-01,8.84551e-01,2.49100e-05,8.14390e-01,1.87410e+00
ch4_002,5,01,32,1.99246e-01,8.26691e-01,2.17070e-05,6.53411e-01,1.67950e+00
ch4_002,5,02,01,3.37675e-02,1.51066e+00,1.73200e-05,1.86836e+00,3.41292e+00
ch4_002,5,02,02,4.02264e-02,9.59895e-01,8.96200e-06,1.09827e+00,2.09852e+00
ch4_002,5,02,04,7.20047e-02,6.31641e-01,1.41790e-05,6.70356e-01,1.37414e+00
ch4_002,5,02,08,1.13128e-01,5.03685e-01,1.91130e-05,5.02160e-01,1.11912e+00
ch4_002,5,02,16,4.95859e-02,4.17715e-01,1.82380e-05,3.86915e-01,8.54352e-01
ch4_002,5,02,32,2.14213e-01,5.04710e-01,2.51730e-05,3.94428e-01,1.11353e+00
ch4_002,5,04,01,1.99013e-02,9.77557e-01,1.83320e-05,1.48207e+00,2.47967e+00
ch4_002,5,04,02,2.92813e-02,5.69252e-01,2.57120e-05,7.00028e-01,1.29871e+00
ch4_002,5,04,04,1.74285e-01,6.19577e-01,2.09250e-05,5.50500e-01,1.34450e+00
ch4_002,5,04,08,1.81523e-01,4.01923e-01,2.05320e-05,3.96318e-01,9.79896e-01
ch4_002,5,04,16,2.00642e-01,3.03776e-01,2.04620e-05,2.80630e-01,7.85181e-01
ch4_002,5,04,32,2.53268e-01,2.99397e-01,2.56050e-05,2.41119e-01,7.93942e-01
ch4_002,5,08,01,3.01533e-02,7.48142e-01,1.89550e-05,9.59999e-01,1.73842e+00
ch4_002,5,08,02,2.35373e-02,4.38252e-01,1.03910e-05,5.87418e-01,1.04932e+00
ch4_002,5,08,04,2.83670e-02,2.98836e-01,1.82750e-05,3.71165e-01,6.98491e-01
ch4_002,5,08,08,1.96059e-02,2.06572e-01,2.04590e-05,2.72937e-01,4.99248e-01
