molecule,prec,MPI,OMP,Localize,SCF energy,Helmholtz,KAIN,Fock operator,Fock matrix,Total SCF
ch4_002,4,01,01,1.09145e+01,1.22321e+01,150.746,2.11182e+00,2.85553e+01,1.39590e+01,2.18037e+02
ch4_002,4,01,02,5.94038e+00,6.35581e+00,78.9299,1.37197e+00,1.45486e+01,7.38025e+00,1.14206e+02
ch4_002,4,01,04,3.48023e+00,3.39724e+00,41.2762,1.04389e+00,7.60741e+00,4.20454e+00,6.08577e+01
ch4_002,4,01,08,2.20279e+00,1.83868e+00,22.6721,8.19371e-01,4.06594e+00,2.41949e+00,3.39133e+01
ch4_002,4,01,16,1.53595e+00,1.13091e+00,14.4512,7.39777e-01,2.37112e+00,1.55379e+00,2.16316e+01
ch4_002,4,01,32,1.22562e+00,7.31364e-01,10.0606,6.81118e-01,1.52587e+00,1.14789e+00,1.52395e+01
ch4_002,4,02,01,6.53202e+00,6.80262e+00,87.3821,1.26691e+00,2.68488e+01,7.97324e+00,1.37076e+02
ch4_002,4,02,02,3.71591e+00,3.56079e+00,45.0551,7.81824e-01,1.44961e+01,4.32792e+00,7.21603e+01
ch4_002,4,02,04,2.23737e+00,1.80820e+00,23.0182,4.95204e-01,7.01098e+00,2.34788e+00,3.72069e+01
ch4_002,4,02,08,1.54123e+00,9.87358e-01,12.83,4.01006e-01,3.83977e+00,1.42486e+00,2.12425e+01
ch4_002,4,02,16,1.16220e+00,5.51911e-01,7.95244,3.49887e-01,2.24805e+00,9.56789e-01,1.34606e+01
ch4_002,4,02,32,1.05048e+00,4.00124e-01,5.93101,5.30333e-01,1.48105e+00,7.84016e-01,1.02346e+01
ch4_002,4,04,01,4.00203e+00,3.96337e+00,51.0777,7.35254e-01,2.59818e+01,4.72884e+00,9.09003e+01
ch4_002,4,04,02,2.23824e+00,2.03833e+00,26.0981,4.48870e-01,1.33205e+01,2.50485e+00,4.69553e+01
