molecule,prec,MPI,OMP,Kinetic matrix,Potential matrix,Total matrix
ch4_010,5,008,08,4.098223459000000e+00,6.437726662000000e+00,1.05361e+01
ch4_010,5,008,16,3.855940803000000e+00,4.998144832000000e+00,8.85429e+00
ch4_010,5,008,32,5.142687663000000e+00,5.348481709000000e+00,1.04914e+01
ch4_010,5,016,08,3.479466891000000e+00,3.773197044000000e+00,7.25288e+00
ch4_010,5,016,16,2.832944243000000e+00,2.989860505000000e+00,5.82305e+00
ch4_010,5,016,32,2.966873144000000e+00,3.182812422000000e+00,6.14989e+00
ch4_010,5,032,08,2.893844750000000e+00,2.931569539000000e+00,5.82559e+00
ch4_010,5,032,16,2.486487758000000e+00,2.365890220000000e+00,4.85257e+00
ch4_010,5,032,32,2.427395655000000e+00,2.313529959000000e+00,4.74115e+00
ch4_020,5,008,08,9.153356203000000e+00,1.427473816800000e+01,2.34283e+01
ch4_020,5,008,16,8.639587546000000e+00,1.125186215900000e+01,1.98916e+01
ch4_020,5,008,32,1.057773864300000e+01,1.272459349500000e+01,2.33025e+01
ch4_020,5,016,08,7.284640177000000e+00,8.023183380000001e+00,1.53081e+01
ch4_020,5,016,16,5.744209982000000e+00,6.007283167000000e+00,1.17517e+01
ch4_020,5,016,32,6.339129578000000e+00,6.502727479000000e+00,1.28421e+01
ch4_020,5,032,08,6.192915834000000e+00,5.661949564000000e+00,1.18551e+01
ch4_020,5,032,16,4.686384328000000e+00,4.335054897000000e+00,9.02162e+00
ch4_020,5,032,32,4.647051301000000e+00,4.802455604000000e+00,9.44973e+00
ch4_020,5,048,08,6.130697259000000e+00,5.701710686000000e+00,1.18326e+01
ch4_020,5,048,16,4.962983024000000e+00,4.431262981000000e+00,9.39446e+00
ch4_020,5,048,32,4.696253635000000e+00,4.562686028000000e+00,9.25915e+00
ch4_020,5,064,08,5.808278766000000e+00,5.057658914000000e+00,1.08661e+01
ch4_020,5,064,16,4.591049864000000e+00,3.807955254000000e+00,8.39920e+00
ch4_020,5,064,32,4.322935709000000e+00,3.742951213000000e+00,8.06612e+00
ch4_020,5,080,08,6.589855706000000e+00,4.980541393000000e+00,1.15706e+01
ch4_020,5,080,16,5.128777443000000e+00,4.199490102000000e+00,9.32845e+00
ch4_020,5,080,32,5.153790267000000e+00,3.951660617000000e+00,9.10567e+00
ch4_030,5,008,08,1.555301469300000e+01,2.455711190100000e+01,4.01103e+01
ch4_030,5,008,16,1.468193176600000e+01,1.781582808600000e+01,3.24980e+01
ch4_030,5,008,32,1.934652636300000e+01,2.092315872500000e+01,4.02699e+01
ch4_030,5,016,08,1.221349104300000e+01,1.401892238500000e+01,2.62326e+01
ch4_030,5,016,16,9.654799446000000e+00,1.034080483200000e+01,1.99958e+01
ch4_030,5,016,32,1.136187392200000e+01,1.125470346300000e+01,2.26168e+01
ch4_030,5,032,08,9.301775757000000e+00,8.842700590000000e+00,1.81447e+01
ch4_030,5,032,16,7.315650018000000e+00,6.515331733000000e+00,1.38312e+01
ch4_030,5,032,32,8.013612028000001e+00,7.260797115000000e+00,1.52747e+01
ch4_030,5,048,08,9.574534559000000e+00,7.997401253000000e+00,1.75722e+01
ch4_030,5,048,16,6.832868928000000e+00,6.282554699000000e+00,1.31157e+01
ch4_030,5,048,32,6.759346820000000e+00,6.047173950000000e+00,1.28067e+01
ch4_030,5,064,08,8.718183227999999e+00,7.063731745000000e+00,1.57821e+01
ch4_030,5,064,16,7.521192481000000e+00,5.918398365000000e+00,1.34398e+01
ch4_030,5,064,32,6.309596568000000e+00,5.292842016000000e+00,1.16026e+01
ch4_030,5,080,08,9.580085914000000e+00,8.047935279000001e+00,1.76282e+01
ch4_030,5,080,16,7.646023086000000e+00,6.197252315000000e+00,1.38435e+01
ch4_030,5,080,32,7.342877509000000e+00,5.753991962000000e+00,1.30971e+01
ch4_040,5,008,32,2.498087828200000e+01,2.621815840800000e+01,5.11993e+01
ch4_040,5,016,08,1.647054197300000e+01,2.039205332900000e+01,3.68628e+01
ch4_040,5,016,16,1.329541638800000e+01,1.463182659700000e+01,2.79275e+01
ch4_040,5,016,32,1.484090858200000e+01,1.610661446300000e+01,3.09478e+01
ch4_040,5,032,08,1.287953398000000e+01,1.238597204500000e+01,2.52657e+01
ch4_040,5,032,16,9.747544518000000e+00,9.183115509000000e+00,1.89309e+01
ch4_040,5,032,32,1.054065086200000e+01,9.998802849000000e+00,2.05397e+01
ch4_040,5,048,08,1.226221168900000e+01,1.068772540900000e+01,2.29502e+01
ch4_040,5,048,16,9.693177692000001e+00,8.419787370000000e+00,1.81132e+01
ch4_040,5,048,32,9.466740241000000e+00,7.951688588000000e+00,1.74187e+01
ch4_040,5,064,08,1.152774430500000e+01,9.427677322999999e+00,2.09556e+01
ch4_040,5,064,16,9.309960216000000e+00,7.175209930000000e+00,1.64854e+01
ch4_040,5,064,32,8.236363394000000e+00,7.109230792000000e+00,1.53458e+01
ch4_040,5,080,08,1.156165049600000e+01,8.972973271000001e+00,2.05349e+01
ch4_040,5,080,16,8.920054626000001e+00,7.238065757000000e+00,1.61583e+01
ch4_040,5,080,32,9.014859833999999e+00,6.668700847000000e+00,1.56838e+01
ch4_040,5,096,08,1.261465442600000e+01,9.765400294999999e+00,2.23803e+01
ch4_040,5,096,16,9.618413119000000e+00,7.545377537000000e+00,1.71640e+01
ch4_040,5,096,32,8.496636498000001e+00,7.122960406000000e+00,1.56198e+01
ch4_040,5,112,08,1.352568151200000e+01,1.037464097400000e+01,2.39006e+01
ch4_040,5,112,16,1.084949921400000e+01,7.886336065000000e+00,1.87361e+01
ch4_040,5,112,32,8.774171610000000e+00,6.802366671000000e+00,1.55768e+01
ch4_040,5,128,08,1.305479939300000e+01,9.648139464000000e+00,2.27032e+01
ch4_040,5,128,16,9.167830424000000e+00,6.732721122000000e+00,1.59008e+01
ch4_040,5,128,32,7.884509981000000e+00,6.071249541000000e+00,1.39560e+01
ch4_050,5,016,16,1.681942139500000e+01,1.807167810700000e+01,3.48913e+01
ch4_050,5,016,32,1.987876724200000e+01,2.022737682700000e+01,4.01064e+01
ch4_050,5,032,08,1.604672089800000e+01,1.494076020300000e+01,3.09878e+01
ch4_050,5,032,16,1.237570600600000e+01,1.156988650100000e+01,2.39458e+01
ch4_050,5,032,32,1.290528007400000e+01,1.210799067900000e+01,2.50135e+01
ch4_050,5,048,16,1.204778034000000e+01,1.055292289800000e+01,2.26009e+01
ch4_050,5,048,32,1.129245307200000e+01,1.041024797400000e+01,2.17029e+01
ch4_050,5,064,08,1.701301600700000e+01,1.397148856900000e+01,3.09847e+01
ch4_050,5,064,16,1.203259890200000e+01,1.023958488700000e+01,2.22724e+01
ch4_050,5,064,32,1.104460448900000e+01,9.267398596000000e+00,2.03122e+01
ch4_050,5,080,08,1.435037770400000e+01,1.086468591500000e+01,2.52153e+01
ch4_050,5,080,16,1.082131829600000e+01,8.034837741000000e+00,1.88564e+01
ch4_050,5,080,32,9.454933070999999e+00,7.346643629000000e+00,1.68018e+01
ch4_050,5,096,08,1.468292535300000e+01,1.147101195500000e+01,2.61541e+01
ch4_050,5,096,16,1.055343230300000e+01,8.251646725000001e+00,1.88053e+01
ch4_050,5,096,32,9.841575883999999e+00,7.909595399000000e+00,1.77514e+01
ch4_050,5,112,08,1.596302889500000e+01,1.189016103200000e+01,2.78534e+01
ch4_050,5,112,16,1.149795947300000e+01,8.458382675999999e+00,1.99566e+01
ch4_050,5,112,32,9.973751129000000e+00,7.576061585000000e+00,1.75500e+01
ch4_050,5,128,08,1.624853970700000e+01,1.212451068000000e+01,2.83733e+01
ch4_050,5,128,16,1.177715388800000e+01,8.839470413000001e+00,2.06168e+01
ch4_050,5,128,32,1.016631339800000e+01,8.359370516000000e+00,1.85259e+01
ch4_060,5,016,32,2.504310356400000e+01,2.445123623400000e+01,4.94946e+01
ch4_060,5,032,16,1.550688980300000e+01,1.401134229600000e+01,2.95185e+01
ch4_060,5,032,32,1.548897607900000e+01,1.468752264800000e+01,3.01767e+01
ch4_060,5,048,16,1.399581709300000e+01,1.146823188400000e+01,2.54643e+01
ch4_060,5,048,32,1.344702212900000e+01,1.080799064300000e+01,2.42553e+01
ch4_060,5,064,08,1.800218773700000e+01,1.395067672200000e+01,3.19531e+01
ch4_060,5,064,16,1.326231717800000e+01,1.036433265700000e+01,2.36269e+01
ch4_060,5,064,32,1.215440479200000e+01,9.731757121999999e+00,2.18864e+01
ch4_060,5,080,08,1.757449739000000e+01,1.359855327800000e+01,3.11732e+01
ch4_060,5,080,16,1.344331831800000e+01,1.101745543700000e+01,2.44610e+01
ch4_060,5,080,32,1.403759522300000e+01,1.129608138300000e+01,2.53339e+01
ch4_060,5,096,08,1.756589865300000e+01,1.288615689100000e+01,3.04522e+01
ch4_060,5,096,16,1.280302667300000e+01,9.491338926999999e+00,2.22946e+01
ch4_060,5,096,32,1.131494464800000e+01,8.839896365000000e+00,2.01550e+01
ch4_060,5,112,08,1.912168519000000e+01,1.491019639500000e+01,3.40321e+01
ch4_060,5,112,16,1.400674224100000e+01,1.010844547700000e+01,2.41154e+01
ch4_060,5,112,32,1.209423997900000e+01,9.169268929999999e+00,2.12637e+01
ch4_060,5,128,08,1.827596393800000e+01,1.323739860200000e+01,3.15136e+01
ch4_060,5,128,16,1.330101363500000e+01,9.716458161000000e+00,2.30177e+01
ch4_060,5,128,32,1.091413929300000e+01,8.804644000000000e+00,1.97190e+01
ch4_070,5,032,16,1.817371703300000e+01,1.676600166400000e+01,3.49400e+01
ch4_070,5,032,32,1.957836856600000e+01,1.787936074000000e+01,3.74579e+01
ch4_070,5,048,16,1.639224721200000e+01,1.392284352000000e+01,3.03153e+01
ch4_070,5,048,32,1.621731896700000e+01,1.318617815500000e+01,2.94056e+01
ch4_070,5,064,08,2.368070513800000e+01,1.869001014900000e+01,4.23709e+01
ch4_070,5,064,16,1.689485380800000e+01,1.345995293000000e+01,3.03550e+01
ch4_070,5,064,32,1.499211896900000e+01,1.271036020300000e+01,2.77027e+01
ch4_070,5,080,16,1.604326397100000e+01,1.213444233800000e+01,2.81779e+01
ch4_070,5,080,32,1.426423176700000e+01,1.134379829900000e+01,2.56083e+01
ch4_070,5,096,08,2.123595436400000e+01,1.597705038500000e+01,3.72132e+01
ch4_070,5,096,16,1.650936006300000e+01,1.196789363500000e+01,2.84775e+01
ch4_070,5,096,32,1.355798872800000e+01,1.110501729300000e+01,2.46632e+01
ch4_070,5,112,08,2.044157061500000e+01,1.459454315000000e+01,3.50363e+01
ch4_070,5,112,16,1.554801856000000e+01,1.105086071200000e+01,2.65991e+01
ch4_070,5,112,32,1.321698789100000e+01,1.017460315800000e+01,2.33918e+01
ch4_070,5,128,08,2.177983581800000e+01,1.625977263000000e+01,3.80398e+01
ch4_070,5,128,16,1.609089745200000e+01,1.190592104700000e+01,2.79970e+01
ch4_070,5,128,32,1.300770999600000e+01,1.002558863700000e+01,2.30335e+01
ch4_070,5,144,08,2.118989009300000e+01,1.530800455100000e+01,3.64981e+01
ch4_070,5,144,16,1.551475991500000e+01,1.125101850900000e+01,2.67660e+01
ch4_070,5,144,32,1.277176028700000e+01,9.477337083000000e+00,2.22493e+01
ch4_090,5,064,32,1.906386575700000e+01,1.533967221600000e+01,3.44038e+01
ch4_090,5,080,32,1.820094795300000e+01,1.401652440200000e+01,3.22177e+01
ch4_090,5,096,32,1.688113873200000e+01,1.270982602500000e+01,2.95912e+01
ch4_090,5,112,16,1.986128903000000e+01,1.477106305100000e+01,3.46326e+01
ch4_090,5,112,32,1.743341997800000e+01,1.450078778300000e+01,3.19345e+01
ch4_090,5,128,16,2.072069745600000e+01,1.515030942600000e+01,3.58712e+01
ch4_090,5,128,32,1.650819341200000e+01,1.311557421300000e+01,2.96240e+01
ch4_090,5,144,16,1.995219382600000e+01,1.424041657900000e+01,3.41928e+01
ch4_090,5,144,32,1.997472935800000e+01,1.420690603100000e+01,3.41818e+01
ch4_090,5,160,08,2.989790194300000e+01,2.096823802700000e+01,5.08663e+01
ch4_090,5,160,16,2.053896099700000e+01,1.416081743000000e+01,3.47000e+01
ch4_090,5,160,32,2.383322478500000e+01,1.689740920600000e+01,4.07309e+01
