molecule,MPI,OMP,orbs,Push back,Setup linear system,Solve linear system,Expand solution,Total KAIN
alkane_010,008,08,41,1.30114e-01,1.19560e+00,2.36350e-05,7.51574e-01,2.07745e+00
alkane_010,008,16,41,1.64401e-01,7.52175e-01,2.93010e-05,4.52483e-01,1.36923e+00
alkane_010,008,32,41,7.39319e-01,1.12192e+00,2.72120e-05,7.88757e-01,2.65018e+00
alkane_010,016,08,41,5.38304e-01,4.64318e-01,8.29500e-06,2.98822e-01,1.30157e+00
alkane_010,016,16,41,6.88299e-01,3.97344e-01,2.98170e-05,2.24373e-01,1.31019e+00
alkane_010,016,32,41,9.75314e-01,6.72554e-01,3.25780e-05,2.16955e-01,1.86502e+00
alkane_010,032,08,41,5.57188e-01,2.91593e-01,1.05350e-05,1.88252e-01,1.03717e+00
alkane_010,032,16,41,7.85802e-01,2.32442e-01,2.50370e-05,1.42853e-01,1.16125e+00
alkane_010,032,32,41,5.19993e-01,3.42219e-01,3.65820e-05,1.30839e-01,9.93232e-01
alkane_020,008,08,81,1.99771e-01,1.78635e+00,2.16890e-05,1.43932e+00,3.42561e+00
alkane_020,008,16,81,2.03457e+00,1.52240e+00,2.61940e-05,1.15323e+00,4.71037e+00
alkane_020,008,32,81,1.60124e+00,1.89192e+00,2.34230e-05,1.05149e+00,4.54481e+00
alkane_020,016,08,81,3.92646e-01,9.68865e-01,1.07465e-02,6.76183e-01,2.04859e+00
alkane_020,016,16,81,1.16903e-01,7.93583e-01,1.89410e-05,5.10417e-01,1.42104e+00
alkane_020,016,32,81,3.73249e-01,1.10186e+00,2.63160e-05,6.80825e-01,2.15610e+00
alkane_020,032,08,81,7.02197e+00,4.96478e-01,1.26750e-05,3.33493e-01,7.85211e+00
alkane_020,032,16,81,2.15994e+00,4.14222e-01,2.97770e-05,2.57490e-01,2.83183e+00
alkane_020,032,32,81,1.38972e+00,6.21423e-01,3.35730e-05,2.73289e-01,2.28461e+00
alkane_020,048,08,81,2.19766e+00,4.27500e-01,1.21600e-05,1.87066e-01,2.81239e+00
alkane_020,048,16,81,1.63416e+00,3.55734e-01,2.27740e-05,1.49039e-01,2.13908e+00
alkane_020,048,32,81,1.05182e+00,5.05875e-01,2.26190e-05,1.95209e-01,1.75306e+00
alkane_020,064,08,81,1.12352e+00,3.31877e-01,1.18270e-05,2.54094e-01,1.70982e+00
alkane_020,064,16,81,3.17063e-01,2.70365e-01,3.09310e-05,1.87938e-01,7.75553e-01
alkane_020,064,32,81,1.61338e+00,3.91453e-01,2.23440e-05,2.20514e-01,2.22551e+00
alkane_020,080,08,81,4.59092e-02,3.20079e-01,1.22850e-05,2.54049e-01,6.20214e-01
alkane_020,080,16,81,3.82728e-02,2.68939e-01,1.95140e-05,1.89149e-01,4.96524e-01
alkane_020,080,32,81,2.23960e-01,3.95210e-01,2.16620e-05,2.45263e-01,8.64586e-01
alkane_030,008,08,121,3.43061e-01,2.75648e+00,1.99820e-05,2.35276e+00,5.45247e+00
alkane_030,008,16,121,3.62537e-01,2.24042e+00,2.14040e-05,1.52844e+00,4.13155e+00
alkane_030,008,32,121,7.89623e-01,2.68179e+00,2.33160e-05,1.93762e+00,5.40920e+00
alkane_030,016,08,121,8.37344e+00,1.47418e+00,9.43700e-06,9.99196e-01,1.08470e+01
alkane_030,016,16,121,4.40375e+00,1.14579e+00,2.20960e-05,7.28736e-01,6.27842e+00
alkane_030,016,32,121,2.44158e+00,1.61284e+00,2.45590e-05,8.34449e-01,4.88902e+00
alkane_030,032,08,121,2.52015e+00,7.48229e-01,9.45000e-06,5.73102e-01,3.84160e+00
alkane_030,032,16,121,1.65511e+00,5.87035e-01,2.02790e-05,3.79813e-01,2.62212e+00
alkane_030,032,32,121,2.87708e+00,9.62924e-01,2.93780e-05,4.82455e-01,4.32263e+00
alkane_030,048,08,121,5.09717e+00,5.44430e-01,1.12000e-05,3.41683e-01,5.98342e+00
alkane_030,048,16,121,7.61881e+00,4.17929e-01,2.66610e-05,2.36708e-01,8.27363e+00
alkane_030,048,32,121,2.70158e+00,6.22333e-01,3.03110e-05,2.85021e-01,3.60912e+00
alkane_030,064,08,121,4.37482e-01,4.23225e-01,1.08480e-05,2.47028e-01,1.10788e+00
