molecule,MPI,OMP,orbs,Position matrix,Foster-Boys,Rotation,Total localize
alkane_010,008,08,41,1.73281e+01,3.58884e-02,7.60769e+00,2.49718e+01
alkane_010,008,16,41,1.50512e+01,3.28099e-02,6.40437e+00,2.14885e+01
alkane_010,008,32,41,1.97682e+01,3.30915e-02,7.86313e+00,2.76646e+01
alkane_010,016,08,41,1.21590e+01,4.91434e-02,6.43131e+00,1.86406e+01
alkane_010,016,16,41,1.02066e+01,3.26208e-02,5.40605e+00,1.56455e+01
alkane_010,016,32,41,1.11986e+01,3.26068e-02,6.49656e+00,1.77280e+01
alkane_010,032,08,41,8.65273e+00,5.37527e-02,6.66834e+00,1.53763e+01
alkane_010,032,16,41,7.59857e+00,3.25224e-02,5.87545e+00,1.35067e+01
alkane_010,032,32,41,9.09031e+00,3.30898e-02,7.08929e+00,1.62129e+01
alkane_020,008,08,81,7.28417e+01,1.68380e-01,2.84602e+01,1.01471e+02
alkane_020,008,16,81,6.20638e+01,1.15084e-01,2.39063e+01,8.60854e+01
alkane_020,008,32,81,7.21036e+01,1.05782e-01,2.66413e+01,9.88509e+01
alkane_020,016,08,81,4.36766e+01,1.69592e-01,2.33092e+01,6.71557e+01
alkane_020,016,16,81,3.70894e+01,1.14834e-01,2.01320e+01,5.73365e+01
alkane_020,016,32,81,4.40774e+01,1.10403e-01,2.48511e+01,6.90393e+01
alkane_020,032,08,81,2.80658e+01,1.70818e-01,1.99360e+01,4.81728e+01
alkane_020,032,16,81,2.47495e+01,1.14833e-01,1.71202e+01,4.19848e+01
alkane_020,032,32,81,2.94435e+01,1.07132e-01,2.00069e+01,4.95579e+01
alkane_020,048,08,81,2.52400e+01,1.69208e-01,1.73248e+01,4.27342e+01
alkane_020,048,16,81,2.21124e+01,1.15617e-01,1.52201e+01,3.74483e+01
alkane_020,048,32,81,2.50562e+01,1.04693e-01,2.02013e+01,4.53625e+01
alkane_020,064,08,81,2.15775e+01,1.68342e-01,2.21527e+01,4.38988e+01
alkane_020,064,16,81,1.86043e+01,1.16815e-01,1.85777e+01,3.72990e+01
alkane_020,064,32,81,1.95953e+01,9.96096e-02,2.25292e+01,4.22244e+01
alkane_020,080,08,81,1.96763e+01,1.69502e-01,2.26582e+01,4.25042e+01
alkane_020,080,16,81,1.67638e+01,1.14218e-01,1.99983e+01,3.68765e+01
alkane_020,080,32,81,1.73730e+01,1.03592e-01,2.44695e+01,4.19464e+01
alkane_030,008,08,121,1.79443e+02,6.62128e-01,8.28954e+01,2.63027e+02
alkane_030,008,16,121,1.66891e+02,6.12768e-01,6.95980e+01,2.37127e+02
alkane_030,008,32,121,1.82303e+02,3.56963e-01,6.81115e+01,2.50772e+02
alkane_030,016,08,121,1.21038e+02,7.57830e-01,5.97132e+01,1.81510e+02
alkane_030,016,16,121,1.01771e+02,5.36444e-01,4.88745e+01,1.51183e+02
alkane_030,016,32,121,1.09660e+02,3.51043e-01,5.19015e+01,1.61913e+02
alkane_030,032,08,121,6.70037e+01,7.16884e-01,4.51056e+01,1.12828e+02
alkane_030,032,16,121,5.99061e+01,5.35816e-01,3.69345e+01,9.73767e+01
alkane_030,032,32,121,6.57954e+01,3.46389e-01,4.10203e+01,1.07303e+02
alkane_030,048,08,121,5.37673e+01,6.56999e-01,4.21455e+01,9.65702e+01
alkane_030,048,16,121,4.75959e+01,5.40640e-01,3.55979e+01,8.37349e+01
alkane_030,048,32,121,5.28609e+01,3.61322e-01,4.44382e+01,9.76608e+01
alkane_030,064,08,121,5.06853e+01,6.61415e-01,3.76838e+01,8.90384e+01
alkane_030,064,16,121,4.49207e+01,5.35242e-01,3.30158e+01,7.84721e+01
alkane_030,064,32,121,4.70865e+01,3.35066e-01,3.74011e+01,8.48231e+01
alkane_030,080,08,121,4.97119e+01,6.49138e-01,3.80866e+01,8.84480e+01
alkane_030,080,16,121,4.41805e+01,5.34594e-01,3.51838e+01,7.98992e+01
alkane_030,080,32,121,4.48283e+01,3.69787e-01,4.28296e+01,8.80281e+01
alkane_040,008,32,161,3.68433e+02,8.99137e-01,1.17882e+02,4.87214e+02
alkane_040,016,08,161,2.11158e+02,1.70880e+00,1.31307e+02,3.44174e+02
alkane_040,016,16,161,1.93224e+02,1.16697e+00,1.14835e+02,3.09226e+02
alkane_040,016,32,161,2.05065e+02,9.58110e-01,9.78595e+01,3.03883e+02
alkane_040,032,08,161,1.52710e+02,1.58513e+00,1.00937e+02,2.55233e+02
alkane_040,032,16,161,1.12264e+02,1.17594e+00,8.40971e+01,1.97537e+02
alkane_040,032,32,161,1.23343e+02,9.33587e-01,8.37023e+01,2.07980e+02
alkane_040,048,08,161,1.18658e+02,1.60415e+00,8.45080e+01,2.04771e+02
alkane_040,048,16,161,9.64981e+01,1.16626e+00,6.94901e+01,1.67155e+02
alkane_040,048,32,161,1.01756e+02,1.04437e+00,8.10657e+01,1.83867e+02
alkane_040,064,08,161,8.16550e+01,1.63038e+00,7.29335e+01,1.56219e+02
alkane_040,064,16,161,7.28395e+01,1.31570e+00,6.23974e+01,1.36553e+02
alkane_040,064,32,161,7.50427e+01,9.12756e-01,7.20224e+01,1.47978e+02
alkane_040,080,08,161,8.63142e+01,1.62440e+00,7.88896e+01,1.66829e+02
alkane_040,080,16,161,7.41825e+01,1.16796e+00,6.86055e+01,1.43956e+02
alkane_040,080,32,161,7.89548e+01,9.51752e-01,8.60653e+01,1.65973e+02
alkane_040,096,08,161,7.72042e+01,1.61405e+00,6.51942e+01,1.44013e+02
alkane_040,096,16,161,6.73666e+01,1.17980e+00,5.68181e+01,1.25365e+02
alkane_040,096,32,161,7.18087e+01,9.40041e-01,6.84933e+01,1.41243e+02
alkane_040,112,08,161,7.88206e+01,1.63352e+00,7.13326e+01,1.51787e+02
