molecule,prec,MPI,OMP,Localize,SCF energy,Helmholtz,Lowdin,KAIN,Fock operator,Fock matrix,Total SCF
ch4_010,5,008,08,2.49718e+01,3.65413e+00,68.1093,7.18317e+00,2.07745e+00,1.18754e+01,1.05361e+01,1.33786e+02
ch4_010,5,008,16,2.14885e+01,2.43207e+00,40.3928,5.94290e+00,1.36923e+00,6.74365e+00,8.85429e+00,9.22407e+01
ch4_010,5,008,32,2.76646e+01,3.08027e+00,37.0913,6.94582e+00,2.65018e+00,5.58917e+00,1.04914e+01,9.91419e+01
ch4_010,5,016,08,1.86406e+01,2.16879e+00,32.7552,9.90904e+00,1.30157e+00,9.97154e+00,7.25288e+00,8.70384e+01
ch4_010,5,016,16,1.56455e+01,1.76371e+00,20.0841,8.19827e+00,1.31019e+00,5.92196e+00,5.82305e+00,6.24974e+01
ch4_010,5,016,32,1.77280e+01,1.90414e+00,18.9501,7.88125e+00,1.86502e+00,5.66966e+00,6.14989e+00,6.48367e+01
ch4_010,5,032,08,1.53763e+01,1.95858e+00,22.7004,8.15812e+00,1.03717e+00,8.52039e+00,5.82559e+00,6.90652e+01
ch4_010,5,032,16,1.35067e+01,1.40388e+00,13.9788,7.23591e+00,1.16125e+00,5.08227e+00,4.85257e+00,5.14977e+01
ch4_010,5,032,32,1.62129e+01,1.05636e+00,15.854,6.73502e+00,9.93232e-01,5.11201e+00,4.74115e+00,5.56581e+01
ch4_020,5,008,08,1.01471e+02,6.99517e+00,182.408,2.41450e+01,3.42561e+00,1.94842e+01,2.34283e+01,3.84871e+02
ch4_020,5,008,16,8.60854e+01,4.76805e+00,106.944,2.21802e+01,4.71037e+00,1.21621e+01,1.98916e+01,2.77853e+02
ch4_020,5,008,32,9.88509e+01,6.40922e+00,108.646,2.01146e+01,4.54481e+00,9.83058e+00,2.33025e+01,2.91642e+02
ch4_020,5,016,08,6.71557e+01,3.48256e+00,79.5802,1.62930e+01,2.04859e+00,1.35922e+01,1.53081e+01,2.14286e+02
ch4_020,5,016,16,5.73365e+01,2.33453e+00,49.6655,1.40707e+01,1.42104e+00,7.89235e+00,1.17517e+01,1.59459e+02
ch4_020,5,016,32,6.90393e+01,3.16857e+00,54.4626,1.56926e+01,2.15610e+00,7.57359e+00,1.28421e+01,1.81357e+02
ch4_020,5,032,08,4.81728e+01,2.50573e+00,39.6824,2.04539e+01,7.85211e+00,1.18040e+01,1.18551e+01,1.51281e+02
ch4_020,5,032,16,4.19848e+01,1.78539e+00,26.2377,1.51075e+01,2.83183e+00,6.88956e+00,9.02162e+00,1.13647e+02
ch4_020,5,032,32,4.95579e+01,3.05994e+00,30.2008,1.63540e+01,2.28461e+00,7.89498e+00,9.44973e+00,1.30276e+02
ch4_020,5,048,08,4.27342e+01,4.46984e+00,28.6683,2.63294e+01,2.81239e+00,1.01356e+01,1.18326e+01,1.40188e+02
ch4_020,5,048,16,3.74483e+01,3.86445e+00,19.5342,1.73935e+01,2.13908e+00,6.43913e+00,9.39446e+00,1.07297e+02
ch4_020,5,048,32,4.53625e+01,2.55383e+00,20.6845,1.90138e+01,1.75306e+00,7.06556e+00,9.25915e+00,1.17304e+02
ch4_020,5,064,08,4.38988e+01,2.57513e+00,31.2994,1.90051e+01,1.70982e+00,9.31044e+00,1.08661e+01,1.32498e+02
ch4_020,5,064,16,3.72990e+01,2.91995e+00,20.6939,1.45825e+01,7.75553e-01,5.33523e+00,8.39920e+00,1.01985e+02
ch4_020,5,064,32,4.22244e+01,2.30745e+00,20.6683,1.63741e+01,2.22551e+00,5.53636e+00,8.06612e+00,1.09805e+02
ch4_020,5,080,08,4.25042e+01,1.33416e+00,37.3078,1.56103e+01,6.20214e-01,8.55572e+00,1.15706e+01,1.32550e+02
ch4_020,5,080,16,3.68765e+01,9.03954e-01,24.7475,1.37126e+01,4.96524e-01,5.58062e+00,9.32845e+00,1.04821e+02
ch4_020,5,080,32,4.19464e+01,1.15400e+00,25.844,1.44314e+01,8.64586e-01,5.41707e+00,9.10567e+00,1.12413e+02
ch4_030,5,008,08,2.63027e+02,1.05410e+01,329.725,5.17157e+01,5.45247e+00,3.21144e+01,4.01103e+01,7.98776e+02
ch4_030,5,008,16,2.37127e+02,7.56156e+00,207.006,3.92660e+01,4.13155e+00,1.72996e+01,3.24980e+01,6.09057e+02
ch4_030,5,008,32,2.50772e+02,9.07778e+00,205.197,3.87559e+01,5.40920e+00,1.67687e+01,4.02699e+01,6.20029e+02
ch4_030,5,016,08,1.81510e+02,8.70325e+00,152.832,2.75821e+01,1.08470e+01,2.36252e+01,2.62326e+01,4.64575e+02
ch4_030,5,016,16,1.51183e+02,5.66259e+00,94.4919,2.64369e+01,6.27842e+00,1.56323e+01,1.99958e+01,3.49093e+02
ch4_030,5,016,32,1.61913e+02,5.34610e+00,96.7771,3.11768e+01,4.88902e+00,1.59070e+01,2.26168e+01,3.71029e+02
ch4_030,5,032,08,1.12828e+02,8.21891e+00,72.4618,2.46190e+01,3.84160e+00,1.74272e+01,1.81447e+01,2.80407e+02
ch4_030,5,032,16,9.73767e+01,4.22376e+00,46.5529,1.99009e+01,2.62212e+00,1.01786e+01,1.38312e+01,2.16251e+02
ch4_030,5,032,32,1.07303e+02,9.79373e+00,54.1476,2.26132e+01,4.32263e+00,1.22018e+01,1.52747e+01,2.47102e+02
ch4_030,5,048,08,9.65702e+01,3.85128e+00,57.2898,2.77827e+01,5.98342e+00,1.36264e+01,1.75722e+01,2.48882e+02
ch4_030,5,048,16,8.37349e+01,2.55149e+00,37.5356,2.13568e+01,8.27363e+00,7.50772e+00,1.31157e+01,1.90603e+02
ch4_030,5,048,32,9.76608e+01,1.73565e+00,39.8859,2.29460e+01,3.60912e+00,9.03336e+00,1.28067e+01,2.08455e+02
ch4_030,5,064,08,8.90384e+01,3.92704e+00,37.1016,3.09589e+01,1.10788e+00,1.04247e+01,1.57821e+01,2.09172e+02
ch4_030,5,064,16,7.84721e+01,2.70108e+00,25.8158,2.43094e+01,1.08411e+00,6.94596e+00,1.34398e+01,1.70705e+02
ch4_030,5,064,32,8.48231e+01,3.32437e+00,25.4015,2.41371e+01,1.61321e+00,6.19820e+00,1.16026e+01,1.76249e+02
ch4_030,5,080,08,8.84480e+01,8.65539e+00,44.4571,2.92019e+01,5.67472e+00,1.52201e+01,1.76282e+01,2.33779e+02
ch4_030,5,080,16,7.98992e+01,5.07889e+00,29.3738,2.30964e+01,7.37290e+00,1.01218e+01,1.38435e+01,1.84932e+02
ch4_030,5,080,32,8.80281e+01,4.33719e+00,31.5108,2.31850e+01,4.65156e+00,1.07146e+01,1.30971e+01,1.94805e+02
ch4_040,5,008,32,4.87214e+02,1.09604e+01,305.949,6.32917e+01,1.04480e+01,2.57518e+01,5.11993e+01,1.03732e+03
ch4_040,5,016,08,3.44174e+02,7.54646e+00,239.885,4.89809e+01,5.52667e+00,3.08155e+01,3.68628e+01,7.95121e+02
ch4_040,5,016,16,3.09226e+02,5.05210e+00,150.739,5.01751e+01,3.67625e+00,1.44343e+01,2.79275e+01,6.26602e+02
ch4_040,5,016,32,3.03883e+02,6.26632e+00,148.513,4.54176e+01,6.92481e+00,1.56958e+01,3.09478e+01,6.19530e+02
ch4_040,5,032,08,2.55233e+02,3.97484e+00,118.623,3.79784e+01,2.01396e+00,1.83722e+01,2.52657e+01,5.12595e+02
ch4_040,5,032,16,1.97537e+02,8.68690e+00,77.8971,3.59834e+01,3.75511e+00,1.16246e+01,1.89309e+01,3.97806e+02
ch4_040,5,032,32,2.07980e+02,3.21461e+00,84.9662,3.46994e+01,2.78252e+00,1.22715e+01,2.05397e+01,4.14241e+02
ch4_040,5,048,08,2.04771e+02,1.64399e+01,92.7241,3.37391e+01,4.93442e+00,1.79670e+01,2.29502e+01,4.35072e+02
ch4_040,5,048,16,1.67155e+02,1.25311e+01,62.8634,2.74763e+01,4.66324e+00,1.10902e+01,1.81132e+01,3.44430e+02
ch4_040,5,048,32,1.83867e+02,4.01848e+00,60.056,3.03067e+01,3.95935e+00,9.49547e+00,1.74187e+01,3.46837e+02
ch4_040,5,064,08,1.56219e+02,3.03322e+00,63.4541,4.52105e+01,5.94092e+00,1.57835e+01,2.09556e+01,3.43103e+02
ch4_040,5,064,16,1.36553e+02,1.27424e+00,43.8727,3.30792e+01,5.89846e+00,9.12851e+00,1.64854e+01,2.77441e+02
ch4_040,5,064,32,1.47978e+02,1.83465e+00,43.1903,3.82718e+01,4.18237e+00,9.61691e+00,1.53458e+01,2.90142e+02
ch4_040,5,080,08,1.66829e+02,1.97102e+00,73.1805,3.68666e+01,9.18061e-01,1.29687e+01,2.05349e+01,3.48539e+02
ch4_040,5,080,16,1.43956e+02,1.41292e+00,50.4152,3.16710e+01,8.73515e-01,8.65548e+00,1.61583e+01,2.84970e+02
ch4_040,5,080,32,1.65973e+02,1.73052e+00,50.5631,2.99360e+01,1.14615e+00,8.41481e+00,1.56838e+01,3.04959e+02
ch4_040,5,096,08,1.44013e+02,1.05371e+01,57.0978,3.57031e+01,8.56830e+00,1.69437e+01,2.23803e+01,3.21762e+02
ch4_040,5,096,16,1.25365e+02,1.07706e+01,37.5977,2.96945e+01,4.42409e+00,9.72779e+00,1.71640e+01,2.63887e+02
ch4_040,5,096,32,1.41243e+02,1.01690e+01,44.0492,3.27977e+01,3.17692e+00,1.45143e+01,1.56198e+01,2.88888e+02
ch4_040,5,112,08,1.51787e+02,1.15651e+01,59.045,3.81838e+01,8.20470e+00,1.77960e+01,2.39006e+01,3.47232e+02
ch4_040,5,112,16,1.32347e+02,9.43558e+00,39.4157,3.18850e+01,1.25846e+01,1.13880e+01,1.87361e+01,2.78649e+02
ch4_040,5,112,32,1.41434e+02,8.73186e+00,39.5854,3.24180e+01,5.53335e+00,1.33109e+01,1.55768e+01,2.83369e+02
ch4_040,5,128,08,1.40971e+02,7.57806e+00,57.1479,3.86713e+01,7.47000e+00,1.44278e+01,2.27032e+01,3.19108e+02
ch4_040,5,128,16,1.21856e+02,6.39053e+00,39.2561,3.15345e+01,2.17714e+00,9.97562e+00,1.59008e+01,2.55873e+02
