molecule,prec,MPI,OMP,SCF cycles,Wall time,Max memory
ch4_010,5,008,08,-6,8.398989e+02,6070276
ch4_010,5,008,16,-6,5.460203e+02,6109444
ch4_010,5,008,32,-6,5.339121e+02,5886812
ch4_010,5,016,08,-6,5.162244e+02,4171196
ch4_010,5,016,16,-6,3.480879e+02,4197492
ch4_010,5,016,32,-6,3.354596e+02,3929544
ch4_010,5,032,08,-6,3.914315e+02,3379600
ch4_010,5,032,16,-6,2.724002e+02,3161456
ch4_010,5,032,32,-6,2.806245e+02,2980412
ch4_020,5,008,08,-6,2.656250e+03,12829628
ch4_020,5,008,16,-6,1.774271e+03,12847412
ch4_020,5,008,32,-6,1.608425e+03,12417252
ch4_020,5,016,08,-6,1.433230e+03,8181696
ch4_020,5,016,16,-6,9.450258e+02,8171244
ch4_020,5,016,32,-6,9.368940e+02,7731252
ch4_020,5,032,08,-6,9.322197e+02,5523864
ch4_020,5,032,16,-6,6.308028e+02,5817688
ch4_020,5,032,32,-6,6.593162e+02,5390012
ch4_020,5,048,08,-6,8.172127e+02,5276948
ch4_020,5,048,16,-6,5.730048e+02,4959800
ch4_020,5,048,32,-6,5.699847e+02,4808336
ch4_020,5,064,08,-6,7.335028e+02,4964128
ch4_020,5,064,16,-6,5.235892e+02,4927108
ch4_020,5,064,32,-6,5.190749e+02,4475048
ch4_020,5,080,08,-6,7.308459e+02,5022068
ch4_020,5,080,16,-6,5.378685e+02,4209340
ch4_020,5,080,32,-6,5.378920e+02,3545572
ch4_030,5,008,08,-6,6.067534e+03,21694472
ch4_030,5,008,16,-6,4.013763e+03,21665452
ch4_030,5,008,32,-6,3.325087e+03,21046380
ch4_030,5,016,08,-6,3.305617e+03,13029004
ch4_030,5,016,16,-6,2.144501e+03,13004468
ch4_030,5,016,32,-6,1.921978e+03,12448984
ch4_030,5,032,08,-6,1.854397e+03,8838960
ch4_030,5,032,16,-6,1.242213e+03,8821124
ch4_030,5,032,32,-6,1.219837e+03,8146012
ch4_030,5,048,08,-6,1.498500e+03,7426852
ch4_030,5,048,16,-6,1.040241e+03,7527716
ch4_030,5,048,32,-6,9.967015e+02,6894060
ch4_030,5,064,08,-6,1.323635e+03,6621548
ch4_030,5,064,16,-6,9.014363e+02,6790508
ch4_030,5,064,32,-6,8.198972e+02,6038032
ch4_030,5,080,08,-6,1.379899e+03,6491836
ch4_030,5,080,16,-6,9.803190e+02,6385476
ch4_030,5,080,32,-6,9.051220e+02,5974344
ch4_040,5,008,32,-6,5.633714e+03,31389428
ch4_040,5,016,08,-6,6.154872e+03,17808272
ch4_040,5,016,16,-6,4.034365e+03,18539672
ch4_040,5,016,32,-6,3.204168e+03,18625552
ch4_040,5,032,08,-6,3.413789e+03,12816200
ch4_040,5,032,16,-6,2.231598e+03,12806308
ch4_040,5,032,32,-6,1.997168e+03,11919120
ch4_040,5,048,08,-6,2.718628e+03,10654428
ch4_040,5,048,16,-6,1.839479e+03,10644156
ch4_040,5,048,32,-6,1.624730e+03,9719732
ch4_040,5,064,08,-6,2.150418e+03,9096244
ch4_040,5,064,16,-6,1.479154e+03,9118896
ch4_040,5,064,32,-6,1.325049e+03,8339848
ch4_040,5,080,08,-6,2.081618e+03,9057500
ch4_040,5,080,16,-6,1.471038e+03,9080160
ch4_040,5,080,32,-6,1.368008e+03,8157396
ch4_040,5,096,08,-6,1.954438e+03,7677212
ch4_040,5,096,16,-6,1.357857e+03,7723976
ch4_040,5,096,32,-6,1.289568e+03,6953948
ch4_040,5,112,08,-6,2.039239e+03,7686480
ch4_040,5,112,16,-6,1.433613e+03,7264684
ch4_040,5,112,32,-6,1.252153e+03,7180852
ch4_040,5,128,08,-6,1.760344e+03,7418216
ch4_040,5,128,16,-6,1.240955e+03,7671176
ch4_040,5,128,32,-6,1.153952e+03,6891080
ch4_050,5,016,16,-6,4.844337e+03,25332884
ch4_050,5,016,32,-6,4.225652e+03,26955256
ch4_050,5,032,08,-6,3.852425e+03,16165544
ch4_050,5,032,16,-6,2.790947e+03,16469228
ch4_050,5,032,32,-6,2.650466e+03,15354200
ch4_050,5,048,16,-6,2.221756e+03,13524612
ch4_050,5,048,32,-6,2.167538e+03,12759756
ch4_050,5,064,08,-6,2.696762e+03,12026596
ch4_050,5,064,16,-6,1.907332e+03,12237984
ch4_050,5,064,32,-6,1.823522e+03,11311864
ch4_050,5,080,08,-6,2.340905e+03,10531752
