molecule,prec,MPI,OMP,Nuclear,Coulomb dens,Coulomb pot,XC dens,XC pot,XCFun,Total Fock

ch4_010,5,008,08,8.00698e+00,2.28321e+00,1.00973e+01,2.51229e+00,6.21303e-01,1.06982e+01,2.66156e+01
ch4_010,5,008,16,4.04980e+00,1.81691e+00,5.72662e+00,1.97619e+00,4.15597e-01,5.32466e+00,1.55298e+01
ch4_010,5,008,32,2.11705e+00,2.03297e+00,5.30208e+00,2.13324e+00,3.83415e-01,2.93890e+00,1.30386e+01
ch4_010,5,016,08,8.10536e+00,2.65353e+00,9.49432e+00,3.48217e+00,6.07603e-01,1.04712e+01,2.71400e+01
ch4_010,5,016,16,4.02369e+00,2.28008e+00,5.51865e+00,2.36416e+00,3.54389e-01,5.25706e+00,1.60402e+01
ch4_010,5,016,32,2.13130e+00,2.78403e+00,5.02565e+00,2.86643e+00,3.54064e-01,3.00391e+00,1.43509e+01
ch4_010,5,032,08,8.08992e+00,4.35334e+00,9.52725e+00,4.37068e+00,5.52698e-01,1.04344e+01,2.96411e+01
ch4_010,5,032,16,4.02452e+00,4.08189e+00,5.50955e+00,3.71579e+00,3.59098e-01,5.23410e+00,1.91708e+01
ch4_010,5,032,32,2.13012e+00,5.42965e+00,4.97383e+00,4.69569e+00,3.13404e-01,2.91152e+00,1.86066e+01

ch4_020,5,008,08,2.72463e+01,5.72539e+00,1.90228e+01,5.92867e+00,1.26140e+00,2.14636e+01,5.42795e+01
ch4_020,5,008,16,1.35883e+01,3.94202e+00,9.52053e+00,4.27437e+00,7.97205e-01,1.06315e+01,2.97153e+01
ch4_020,5,008,32,7.07304e+00,4.12888e+00,6.88708e+00,5.14323e+00,7.96483e-01,5.46416e+00,2.29486e+01
ch4_020,5,016,08,2.79476e+01,4.39272e+00,1.51381e+01,5.40823e+00,1.13966e+00,1.94423e+01,4.62771e+01
ch4_020,5,016,16,1.37110e+01,4.13344e+00,8.58674e+00,4.51731e+00,6.62713e-01,9.95429e+00,2.83519e+01
ch4_020,5,016,32,7.04100e+00,5.21480e+00,7.11610e+00,5.61762e+00,5.57364e-01,5.40167e+00,2.44005e+01
ch4_020,5,032,08,2.74070e+01,6.86919e+00,1.46161e+01,8.17718e+00,1.02652e+00,1.96502e+01,5.10830e+01
ch4_020,5,032,16,1.36033e+01,6.19539e+00,8.32902e+00,7.24237e+00,6.51785e-01,9.82493e+00,3.27283e+01
ch4_020,5,032,32,7.00207e+00,8.43861e+00,6.91833e+00,9.63193e+00,5.66447e-01,5.39934e+00,3.14623e+01
ch4_020,5,064,08,2.78944e+01,1.13558e+01,1.46756e+01,1.36412e+01,1.02824e+00,1.93917e+01,6.08505e+01
ch4_020,5,064,16,1.36963e+01,1.04604e+01,8.09442e+00,1.18733e+01,6.41984e-01,9.74174e+00,4.12911e+01
ch4_020,5,064,32,7.00033e+00,1.48656e+01,6.76877e+00,1.79708e+01,6.22603e-01,5.46284e+00,4.61970e+01

ch4_030,5,008,08,5.38820e+01,1.48457e+01,2.01432e+01,1.33111e+01,1.61743e+00,2.89524e+01,7.99960e+01
ch4_030,5,008,16,2.69420e+01,6.72571e+00,1.32004e+01,6.68174e+00,1.16917e+00,1.56934e+01,4.42760e+01
ch4_030,5,008,32,1.38540e+01,6.70439e+00,1.06992e+01,7.07762e+00,1.20833e+00,8.78965e+00,3.53321e+01
ch4_030,5,016,16,2.70622e+01,6.52945e+00,1.23755e+01,7.67024e+00,1.02439e+00,1.53865e+01,4.37735e+01
ch4_030,5,016,32,1.38281e+01,7.47092e+00,9.22903e+00,9.04532e+00,9.06247e-01,7.85788e+00,3.52330e+01
ch4_030,5,032,16,2.70968e+01,9.73105e+00,1.14045e+01,1.00859e+01,9.52415e-01,1.43981e+01,4.73090e+01
ch4_030,5,032,32,1.37823e+01,1.48858e+01,1.03263e+01,1.41853e+01,8.99293e-01,8.45677e+00,4.94689e+01
ch4_030,5,064,16,2.72772e+01,1.40881e+01,1.05537e+01,1.76128e+01,9.46838e-01,1.43433e+01,5.82570e+01
ch4_030,5,064,32,1.38067e+01,2.22229e+01,8.00458e+00,2.60248e+01,9.51000e-01,7.54231e+00,6.53953e+01

ch4_040,5,008,32,2.26263e+01,8.64867e+00,1.18752e+01,8.72300e+00,1.33999e+00,1.10938e+01,4.26996e+01
ch4_040,5,016,32,2.26496e+01,1.13600e+01,1.13750e+01,1.14925e+01,1.30473e+00,1.11348e+01,4.76620e+01
ch4_040,5,032,32,2.28409e+01,1.69093e+01,1.15908e+01,1.92365e+01,1.18028e+00,1.08237e+01,6.07014e+01
ch4_040,5,064,32,2.25868e+01,2.97192e+01,1.05127e+01,3.31796e+01,1.11718e+00,1.02100e+01,8.56467e+01
