molecule,prec,MPI,OMP,Push back,Setup linear system,Solve linear system,Expand solution,Total KAIN

ch4_010,5,008,08,4.59664e-01,8.70824e-01,2.12760e-05,9.54856e-01,2.28548e+00
ch4_010,5,008,16,4.93257e-01,7.80827e-01,4.68497e-04,7.87597e-01,2.06230e+00
ch4_010,5,008,32,4.76551e-01,1.27551e+00,3.29580e-05,1.04439e+00,2.79664e+00
ch4_010,5,016,08,5.88184e-01,5.18409e-01,9.09100e-06,5.19324e-01,1.62605e+00
ch4_010,5,016,16,4.23722e-01,3.94437e-01,2.94340e-05,3.62364e-01,1.18068e+00
ch4_010,5,016,32,6.84375e-01,6.22293e-01,2.79110e-05,5.05723e-01,1.81255e+00
ch4_010,5,032,08,9.50879e-01,3.00805e-01,1.12540e-05,3.49113e-01,1.60091e+00
ch4_010,5,032,16,6.73289e-01,2.39729e-01,3.63470e-05,2.55183e-01,1.16838e+00
ch4_010,5,032,32,9.70216e-01,3.59898e-01,2.23450e-05,2.84972e-01,1.61523e+00

ch4_020,5,008,08,2.37466e-01,1.78235e+00,2.08810e-05,2.42754e+00,4.44750e+00
ch4_020,5,008,16,1.58850e+00,1.46779e+00,2.42730e-05,1.71426e+00,4.77071e+00
ch4_020,5,008,32,7.13233e-01,2.03416e+00,2.58190e-05,2.15645e+00,4.90400e+00
ch4_020,5,016,08,4.54205e-01,8.84814e-01,9.25900e-06,1.05280e+00,2.39197e+00
ch4_020,5,016,16,1.18536e-01,7.25667e-01,2.84030e-05,9.07966e-01,1.75233e+00
ch4_020,5,016,32,3.43608e-01,1.00092e+00,2.88590e-05,8.93149e-01,2.23786e+00
ch4_020,5,032,08,2.99827e+00,5.01299e-01,9.10800e-06,5.00722e-01,4.00043e+00
ch4_020,5,032,16,3.93622e+00,4.02079e-01,2.57460e-05,3.89192e-01,4.72767e+00
ch4_020,5,032,32,6.47123e-01,6.81010e-01,3.35380e-05,4.10525e-01,1.73884e+00
ch4_020,5,064,08,1.19108e+00,3.27166e-01,1.15500e-05,3.92250e-01,1.91065e+00
ch4_020,5,064,16,1.03034e+00,2.68950e-01,2.70890e-05,2.84004e-01,1.58347e+00
ch4_020,5,064,32,5.95149e-01,4.04674e-01,2.12540e-05,4.04151e-01,1.40410e+00

ch4_030,5,008,08,3.25846e-01,2.62458e+00,1.84950e-05,3.42004e+00,6.37061e+00
ch4_030,5,008,16,3.54088e-01,2.19619e+00,2.40470e-05,2.61197e+00,5.16242e+00
ch4_030,5,008,32,6.20888e-01,2.54425e+00,2.30760e-05,2.36263e+00,5.52794e+00
ch4_030,5,016,16,3.85593e+00,1.18670e+00,2.03280e-05,1.20189e+00,6.24466e+00
ch4_030,5,016,32,1.89281e+00,1.50715e+00,3.36740e-05,1.28142e+00,4.68157e+00
ch4_030,5,032,16,2.29297e+00,6.10555e-01,2.53870e-05,6.51664e-01,3.55536e+00
ch4_030,5,032,32,3.20608e+00,8.70498e-01,2.65690e-05,7.06048e-01,4.78280e+00
ch4_030,5,064,16,8.15799e-01,3.46916e-01,2.98850e-05,2.81021e-01,1.44391e+00
ch4_030,5,064,32,9.26472e-01,5.32960e-01,3.10950e-05,3.05487e-01,1.76511e+00

ch4_040,5,008,32,1.54231e+00,3.14529e+00,2.18930e-05,3.06945e+00,7.75724e+00
ch4_040,5,016,32,2.13887e+00,1.88238e+00,3.31640e-05,1.76512e+00,5.78658e+00
ch4_040,5,032,32,5.08523e-01,1.10953e+00,2.61400e-05,9.63063e-01,2.58130e+00
ch4_040,5,064,32,3.32213e+00,5.99121e-01,2.55830e-05,4.71106e-01,4.39251e+00
