molecule,prec,MPI,OMP,Position matrix,Foster-Boys,Rotation,Total localize

ch4_010,5,008,08,2.21713e+01,3.46853e-02,9.25210e+00,3.14582e+01
ch4_010,5,008,16,2.16105e+01,3.16048e-02,8.76109e+00,3.04033e+01
ch4_010,5,008,32,2.85135e+01,3.26637e-02,9.95373e+00,3.85001e+01
ch4_010,5,016,08,1.17972e+01,3.44024e-02,6.87695e+00,1.87087e+01
ch4_010,5,016,16,1.01157e+01,3.12855e-02,6.10627e+00,1.62533e+01
ch4_010,5,016,32,1.37472e+01,3.20773e-02,7.35147e+00,2.11310e+01
ch4_010,5,032,08,7.84036e+00,3.43194e-02,7.90489e+00,1.57797e+01
ch4_010,5,032,16,6.47134e+00,3.14170e-02,6.74275e+00,1.32457e+01
ch4_010,5,032,32,8.80124e+00,3.14342e-02,8.53943e+00,1.73723e+01

ch4_020,5,008,08,6.76750e+01,1.61638e-01,2.73058e+01,9.51426e+01
ch4_020,5,008,16,5.86199e+01,1.12453e-01,2.44700e+01,8.32026e+01
ch4_020,5,008,32,6.66142e+01,9.60643e-02,2.64132e+01,9.31237e+01
ch4_020,5,016,08,3.81005e+01,1.64325e-01,2.32094e+01,6.14744e+01
ch4_020,5,016,16,2.98934e+01,1.12319e-01,1.88668e+01,4.88727e+01
ch4_020,5,016,32,3.49523e+01,1.00654e-01,2.18877e+01,5.69408e+01
ch4_020,5,032,08,2.08029e+01,1.92804e-01,2.03176e+01,4.13135e+01
ch4_020,5,032,16,1.77256e+01,1.12760e-01,1.64348e+01,3.42733e+01
ch4_020,5,032,32,2.11827e+01,1.06753e-01,1.92362e+01,4.05259e+01
ch4_020,5,064,08,1.37455e+01,1.64642e-01,2.10811e+01,3.49914e+01
ch4_020,5,064,16,1.11862e+01,1.16107e-01,1.86221e+01,2.99246e+01
ch4_020,5,064,32,1.31982e+01,1.03872e-01,2.10744e+01,3.43767e+01

ch4_030,5,008,08,1.75046e+02,6.30954e-01,8.76576e+01,2.63335e+02
ch4_030,5,008,16,1.64168e+02,5.15250e-01,6.70804e+01,2.31764e+02
ch4_030,5,008,32,1.79012e+02,3.32870e-01,6.53571e+01,2.44702e+02
ch4_030,5,016,16,8.51261e+01,5.75032e-01,4.42805e+01,1.29982e+02
ch4_030,5,016,32,9.50581e+01,3.38132e-01,4.90752e+01,1.44472e+02
ch4_030,5,032,16,4.36689e+01,6.15526e-01,3.47066e+01,7.89912e+01
ch4_030,5,032,32,4.93509e+01,3.72374e-01,4.13886e+01,9.11123e+01
ch4_030,5,064,16,2.90557e+01,5.20395e-01,3.13855e+01,6.09618e+01
ch4_030,5,064,32,3.19220e+01,3.37449e-01,3.52207e+01,6.74808e+01

ch4_040,5,008,32,3.57175e+02,9.88102e-01,1.16095e+02,4.74259e+02
ch4_040,5,016,32,1.87008e+02,1.08040e+00,9.97075e+01,2.87797e+02
ch4_040,5,032,32,9.80793e+01,8.73682e-01,8.43342e+01,1.83288e+02
ch4_040,5,064,32,5.84993e+01,9.75470e-01,6.54720e+01,1.24948e+02
