molecule,prec,MPI,OMP,SCF cycles,Wall time,Max memory
alkane_002,4,01,01,5,1.279134e+03,2010760
alkane_002,4,01,02,5,6.671448e+02,2078108
alkane_002,4,01,04,5,3.635022e+02,2122584
alkane_002,4,01,08,5,1.962934e+02,2135276
alkane_002,4,01,16,5,1.223474e+02,2162476
alkane_002,4,01,32,5,8.526417e+01,2174408
alkane_002,4,02,01,5,8.193470e+02,1731772
alkane_002,4,02,02,5,4.295982e+02,1746956
alkane_002,4,02,04,5,2.199423e+02,1708172
alkane_002,4,02,08,5,1.240348e+02,1730020
alkane_002,4,02,16,5,7.711137e+01,1742276
alkane_002,4,02,32,5,5.718106e+01,1789472
alkane_002,4,04,01,5,5.611121e+02,1550756
alkane_002,4,04,02,5,2.894421e+02,1553452
alkane_002,4,04,04,5,1.581355e+02,1564820
alkane_002,4,04,08,5,8.755490e+01,1544184
alkane_002,4,04,16,5,5.492459e+01,1577716
alkane_002,4,04,32,5,4.048921e+01,1625188
alkane_002,4,08,01,5,4.456364e+02,1477928
alkane_002,4,08,02,5,2.332758e+02,1470300
alkane_002,4,08,04,5,1.223402e+02,1459252
alkane_002,4,08,08,5,7.056476e+01,1470296
alkane_002,4,08,16,5,4.508154e+01,1493376
alkane_002,4,08,32,5,3.465834e+01,1558012
alkane_002,5,01,01,7,5.510671e+03,5001368
alkane_002,5,01,02,7,2.569774e+03,5176592
alkane_002,5,01,04,7,1.371982e+03,5256852
alkane_002,5,01,08,7,7.408999e+02,5291328
alkane_002,5,01,16,7,4.427117e+02,5320992
alkane_002,5,01,32,7,3.041344e+02,5365628
alkane_002,5,02,01,7,3.086012e+03,4421272
alkane_002,5,02,02,7,1.586533e+03,4397296
alkane_002,5,02,04,7,8.279778e+02,4406924
alkane_002,5,02,08,7,4.520379e+02,4397532
alkane_002,5,02,16,7,2.762683e+02,4407624
alkane_002,5,02,32,7,3.609284e+02,4467832
alkane_002,5,04,01,7,2.573498e+03,3948888
alkane_002,5,04,02,7,1.226398e+03,3966608
alkane_002,5,04,04,7,6.829135e+02,3954336
alkane_002,5,04,08,7,4.153624e+02,3940200
alkane_002,5,04,16,7,2.403346e+02,3942292
alkane_002,5,04,32,7,2.135412e+02,3961388
alkane_002,5,08,01,7,1.947852e+03,3741436
alkane_002,5,08,02,7,1.031053e+03,3770408
alkane_002,5,08,04,7,5.130707e+02,3723596
alkane_002,5,08,08,7,3.044207e+02,3718688
alkane_002,5,08,16,7,2.057600e+02,3720656
alkane_002,5,08,32,7,1.726212e+02,3761932
alkane_002,6,01,01,11,1.602193e+04,9171224
alkane_002,6,01,02,11,8.152350e+03,9559892
alkane_002,6,01,04,11,4.269434e+03,9707304
alkane_002,6,01,08,11,2.282199e+03,9760348
alkane_002,6,01,16,11,1.338362e+03,9822812
alkane_002,6,01,32,11,8.887200e+02,9848244
alkane_002,6,02,01,11,9.882231e+03,9397816
alkane_002,6,02,02,11,5.048386e+03,9370720
alkane_002,6,02,04,11,2.612880e+03,9435576
alkane_002,6,02,08,11,1.406361e+03,9539544
alkane_002,6,02,16,11,8.309167e+02,9580292
alkane_002,6,02,32,11,9.953830e+02,9619104
alkane_002,6,04,01,11,7.906038e+03,8791984
alkane_002,6,04,02,11,4.121288e+03,8887908
alkane_002,6,04,04,11,2.175677e+03,8816096
alkane_002,6,04,08,11,1.162748e+03,8763700
alkane_002,6,04,16,11,7.214233e+02,8773156
alkane_002,6,04,32,11,6.192759e+02,8786876
alkane_002,6,08,01,11,5.961102e+03,8473400
alkane_002,6,08,02,11,3.236562e+03,8458660
alkane_002,6,08,04,11,1.587707e+03,8508224
alkane_002,6,08,08,11,8.964314e+02,8458156
alkane_002,6,08,16,11,5.523555e+02,8474040
alkane_002,6,08,32,11,4.761573e+02,8490076
alkane_004,4,01,01,4,2.336207e+03,3943436
alkane_004,4,01,02,4,1.223558e+03,4027580
alkane_004,4,01,04,4,6.570152e+02,4084604
alkane_004,4,01,08,4,3.637509e+02,4095108
alkane_004,4,01,16,4,2.259275e+02,4110704
alkane_004,4,01,32,4,1.588019e+02,4135896
alkane_004,4,02,01,4,1.392112e+03,3033096
alkane_004,4,02,02,4,7.323024e+02,3049996
alkane_004,4,02,04,4,3.811057e+02,3032928
alkane_004,4,02,08,4,2.144734e+02,3035836
alkane_004,4,02,16,4,1.335171e+02,3051716
alkane_004,4,02,32,4,1.002987e+02,3120924
alkane_004,4,04,01,4,9.096995e+02,2543460
alkane_004,4,04,02,4,4.677618e+02,2562212
alkane_004,4,04,04,4,2.552951e+02,2537544
alkane_004,4,04,08,4,1.459368e+02,2543544
alkane_004,4,04,16,4,8.964217e+01,2555444
alkane_004,4,04,32,4,6.481664e+01,2622956
alkane_004,4,08,01,4,6.409707e+02,2397312
alkane_004,4,08,02,4,3.341167e+02,2436392
alkane_004,4,08,04,4,1.764591e+02,2405716
alkane_004,4,08,08,4,1.002423e+02,2396880
alkane_004,4,08,16,4,6.561703e+01,2417496
alkane_004,4,08,32,4,4.813748e+01,2473348
alkane_004,4,16,01,4,5.333923e+02,2386028
alkane_004,4,16,02,4,2.773294e+02,2442192
alkane_004,4,16,04,4,1.518831e+02,2413324
alkane_004,4,16,08,4,8.983284e+01,2389432
