molecule,version,nodes,tasks,cpus,SCF energy,SCF cycles,wall time
alkane-002,v0.2,01,08,16,-7.974012859125e+01,8,115
alkane-004,v0.2,01,08,16,-1.582885749588e+02,8,228
alkane-006,v0.2,01,08,16,-2.368367300089e+02,8,345
alkane-008,v0.2,01,08,16,-3.153848117198e+02,8,499
alkane-010,v0.2,01,08,16,-3.939330045104e+02,8,699
alkane-020,v0.2,01,08,16,-7.866289667835e+02,8,1739
alkane-020,v0.2,02,08,16,-7.866290134659e+02,8,1196
alkane-030,v0.2,01,08,16,-1.179345728049e+03,8,3263
alkane-030,v0.2,03,08,16,-1.179345930164e+03,8,1991
alkane-040,v0.2,01,08,16,-1.572062511852e+03,8,4719
alkane-040,v0.2,04,08,16,-1.572062624610e+03,8,2659
alkane-050,v0.2,01,08,16,-1.964779243264e+03,8,6899
alkane-050,v0.2,05,08,16,-1.964779425504e+03,8,3436
alkane-060,v0.2,01,08,16,-2.357496169759e+03,10,11834
alkane-060,v0.2,06,08,16,-2.357496704817e+03,10,5135
