molecule,MPI,OMP,Kinetic matrix,Potential matrix,Total matrix
caffeine,001,01,8.521697209600001e+01,3.142656348900000e+02,3.99483e+02
caffeine,001,02,7.481075255800000e+01,1.744072615590000e+02,2.49218e+02
caffeine,001,04,4.915362532100000e+01,1.069255135920000e+02,1.56079e+02
caffeine,001,08,4.285308336100000e+01,7.367515523500001e+01,1.16528e+02
caffeine,001,16,5.358678843800000e+01,6.416176119799999e+01,1.17749e+02
caffeine,002,01,5.250020587200000e+01,1.576818935950000e+02,2.10182e+02
caffeine,002,16,3.389925736200000e+01,3.389103655600000e+01,6.77912e+01
caffeine,004,01,2.994390000500000e+01,8.323977289900000e+01,1.13185e+02
caffeine,004,16,2.015004572500000e+01,1.975660922700000e+01,3.99074e+01
caffeine,008,01,2.310433415900000e+01,4.992853619300000e+01,7.30342e+01
caffeine,008,16,1.468535231600000e+01,1.410416913000000e+01,2.87904e+01
caffeine,016,01,1.399610444600000e+01,2.362265295700000e+01,3.76199e+01
caffeine,016,16,7.828327058000000e+00,6.980803465000000e+00,1.48100e+01
