molecule,MPI,OMP,Push back,Setup linear system,Solve linear system,Expand solution,Total KAIN
caffeine,001,01,4.09800e-01,2.50829e+01,1.77660e-05,2.48500e+01,5.03428e+01
caffeine,001,02,5.14170e-01,1.53573e+01,1.67720e-05,1.38951e+01,2.97666e+01
caffeine,001,04,4.67924e-01,1.02236e+01,2.84230e-05,8.06326e+00,1.87550e+01
caffeine,001,08,4.54150e-01,7.95585e+00,1.75530e-05,5.74493e+00,1.41551e+01
caffeine,001,16,4.89699e-01,7.37093e+00,1.74760e-05,4.65521e+00,1.25162e+01
caffeine,002,01,2.10263e-01,1.30118e+01,1.74470e-05,1.26068e+01,2.58290e+01
caffeine,002,16,3.18565e-01,4.04999e+00,2.41580e-05,2.47128e+00,6.84028e+00
caffeine,004,01,1.17286e+00,7.26734e+00,7.64000e-06,6.90518e+00,1.53458e+01
caffeine,004,16,2.14568e-01,1.89963e+00,1.74540e-05,1.12963e+00,3.24420e+00
caffeine,008,01,4.48258e-01,3.94014e+00,7.53700e-06,3.72517e+00,8.11403e+00
caffeine,008,16,1.34095e-01,1.05967e+00,2.55720e-05,6.48298e-01,1.84259e+00
caffeine,016,01,9.69095e-01,1.89107e+00,7.54300e-06,1.39511e+00,4.25572e+00
caffeine,016,16,3.21692e-02,5.74041e-01,2.27200e-05,2.93692e-01,9.00428e-01
caffeine,032,01,2.65401e+00,1.10126e+00,7.25400e-06,7.43776e-01,4.49982e+00
