molecule,MPI,OMP,Position matrix,Foster-Boys,Rotation,Total localize
caffeine,001,01,3.98218e+02,5.96434e-01,6.44927e+01,4.74671e+02
caffeine,001,02,2.40532e+02,3.79676e-01,3.82057e+01,2.92312e+02
caffeine,001,04,1.60351e+02,2.86193e-01,2.51295e+01,2.00335e+02
caffeine,001,08,1.19037e+02,2.31580e-01,2.06617e+01,1.52785e+02
caffeine,001,16,1.03032e+02,2.20524e-01,1.79444e+01,1.34969e+02
caffeine,002,01,2.14100e+02,5.95239e-01,4.19422e+01,2.65052e+02
caffeine,002,16,6.37140e+01,2.41866e-01,1.47118e+01,8.84447e+01
caffeine,004,01,1.24154e+02,6.37055e-01,3.26113e+01,1.64530e+02
caffeine,004,16,4.03825e+01,2.11770e-01,1.17529e+01,5.82876e+01
caffeine,008,01,7.15215e+01,6.16765e-01,2.40665e+01,1.01489e+02
caffeine,008,16,2.45148e+01,2.37921e-01,9.81863e+00,3.86986e+01
caffeine,016,01,4.27648e+01,1.18315e+00,2.48608e+01,6.88092e+01
caffeine,016,16,1.43390e+01,1.24158e-01,1.05889e+01,2.50524e+01
