molecule,MPI,OMP,Localize,SCF energy,Helmholtz,Lowdin,KAIN,Fock operator,Fock matrix,Total SCF
caffeine,001,01,4.74671e+02,2.89515e+02,6163.69,7.21659e+01,5.03428e+01,2.18403e+02,3.99483e+02,7.70726e+03
caffeine,001,02,2.92312e+02,1.52279e+02,3061.23,5.12778e+01,2.97666e+01,1.08686e+02,2.49218e+02,3.97391e+03
caffeine,001,04,2.00335e+02,8.43771e+01,1586.43,3.63210e+01,1.87550e+01,5.50489e+01,1.56079e+02,2.16133e+03
caffeine,001,08,1.52785e+02,5.15148e+01,872.001,3.27090e+01,1.41551e+01,2.99286e+01,1.16528e+02,1.29108e+03
caffeine,001,16,1.34969e+02,3.64963e+01,538.405,2.86544e+01,1.25162e+01,1.80368e+01,1.17749e+02,9.08099e+02
caffeine,002,01,2.65052e+02,1.48822e+02,3131.19,5.03767e+01,2.58290e+01,1.53973e+02,2.10182e+02,4.01700e+03
caffeine,002,16,8.84447e+01,1.80543e+01,275.454,2.25911e+01,6.84028e+00,1.47687e+01,6.77912e+01,5.12812e+02
caffeine,004,01,1.64530e+02,8.21980e+01,1579.25,1.36347e+02,1.53458e+01,1.20598e+02,1.13185e+02,2.23475e+03
caffeine,004,16,5.82876e+01,8.58628e+00,129.995,1.88620e+01,3.24420e+00,9.34572e+00,3.99074e+01,2.83368e+02
caffeine,008,01,1.01489e+02,4.08484e+01,823.273,7.69752e+01,8.11403e+00,1.00387e+02,7.30342e+01,1.24772e+03
caffeine,008,16,3.86986e+01,5.03847e+00,74.2359,1.81335e+01,1.84259e+00,8.35030e+00,2.87904e+01,1.87972e+02
caffeine,016,01,6.88092e+01,1.74120e+01,323.008,7.09804e+01,4.25572e+00,5.95052e+01,3.76199e+01,5.99557e+02
caffeine,016,16,2.50524e+01,2.32068e+00,34.0694,1.44853e+01,9.00428e-01,5.32517e+00,1.48100e+01,1.06637e+02
caffeine,032,01,5.55147e+01,1.19125e+01,160.296,8.82344e+01,4.49982e+00,5.59087e+01,3.15437e+01,4.26401e+02
