molecule,MPI,OMP,Kinetic matrix,Potential matrix,Total matrix
caffeine,001,01,8.544386277900000e+01,2.700951047520000e+02,3.55539e+02
caffeine,001,02,6.621002100000000e+01,1.539644464410000e+02,2.20175e+02
caffeine,001,04,5.274610217300000e+01,9.240795887800000e+01,1.45154e+02
caffeine,001,08,4.778923591200000e+01,6.255491463400000e+01,1.10344e+02
caffeine,001,16,4.570368853100000e+01,4.827984293500000e+01,9.39844e+01
caffeine,002,01,5.055388516800000e+01,1.428794594780000e+02,1.93433e+02
caffeine,002,16,3.722437586100000e+01,3.536799558600000e+01,7.25932e+01
caffeine,004,01,3.178466191200000e+01,8.987305824500000e+01,1.21658e+02
caffeine,004,16,2.058280000700000e+01,1.864589542800000e+01,3.92295e+01
caffeine,008,01,3.699185739900000e+01,5.368164264200000e+01,9.06737e+01
caffeine,008,16,1.334436946600000e+01,1.263870078900000e+01,2.59839e+01
caffeine,016,01,2.079912879400000e+01,3.829137461300000e+01,5.90906e+01
caffeine,016,02,3.463597669400000e+01,2.185098471300000e+01,5.64871e+01
caffeine,016,04,1.726614662900000e+01,1.698980986900000e+01,3.42561e+01
caffeine,016,08,1.371280845900000e+01,1.224187465800000e+01,2.59557e+01
caffeine,016,16,1.467230519400000e+01,9.986454127000000e+00,2.46596e+01
