molecule,MPI,OMP,Coulomb dens,Coulomb pot,Allreduce pot,Total Fock
caffeine,001,01,9.32996e+01,1.25025e+02,7.79714e-02,2.18403e+02
caffeine,001,02,4.74757e+01,6.11676e+01,4.25347e-02,1.08686e+02
caffeine,001,04,2.47025e+01,3.03217e+01,2.42920e-02,5.50489e+01
caffeine,001,08,1.40483e+01,1.58636e+01,1.63052e-02,2.99286e+01
caffeine,001,16,9.00428e+00,9.01616e+00,1.46561e-02,1.80368e+01
caffeine,002,01,4.73614e+01,1.02171e+02,4.44000e+00,1.53973e+02
caffeine,002,16,5.64298e+00,7.80020e+00,1.32393e+00,1.47687e+01
caffeine,004,01,2.33082e+01,9.68406e+01,4.47643e-01,1.20598e+02
caffeine,004,16,2.28477e+00,6.82132e+00,2.37848e-01,9.34572e+00
caffeine,008,01,1.23132e+01,8.61181e+01,1.95391e+00,1.00387e+02
caffeine,008,16,1.32814e+00,6.44540e+00,5.75029e-01,8.35030e+00
caffeine,016,01,4.00960e+00,4.40580e+01,1.14357e+01,5.95052e+01
caffeine,016,16,5.01819e-01,3.74116e+00,1.08046e+00,5.32517e+00
