molecule,MPI,OMP,Rotation,Apply,Total Helmholtz
caffeine,001,01,,5.38436e+03,5384.36
caffeine,001,02,,2.69728e+03,2697.28
caffeine,001,04,,1.36642e+03,1366.42
caffeine,001,08,,7.19860e+02,719.86
caffeine,001,16,,4.08030e+02,408.03
caffeine,002,01,,2.81906e+03,2819.06
caffeine,002,16,,2.69030e+02,269.03
caffeine,004,01,,1.89374e+03,1893.74
caffeine,004,16,,1.73724e+02,173.724
caffeine,008,01,,1.04693e+03,1046.93
caffeine,008,16,,9.42679e+01,94.2679
caffeine,016,01,,5.33467e+02,533.467
caffeine,016,02,,2.73627e+02,273.627
caffeine,016,04,,1.22122e+02,122.122
caffeine,016,08,,7.92908e+01,79.2908
caffeine,016,16,,5.88411e+01,58.8411
