molecule,MPI,OMP,Position matrix,Foster-Boys,Rotation,Total localize
caffeine,001,01,3.87512e+02,5.54595e-01,6.06340e+01,4.60166e+02
caffeine,001,02,2.51472e+02,5.23856e-01,3.36984e+01,2.99531e+02
caffeine,001,04,1.74908e+02,5.23570e-01,2.04637e+01,2.09632e+02
caffeine,001,08,1.38023e+02,5.32830e-01,1.53328e+01,1.67626e+02
caffeine,001,16,1.20917e+02,5.24206e-01,1.26761e+01,1.47946e+02
caffeine,002,01,2.03927e+02,5.61294e-01,3.69454e+01,2.49909e+02
caffeine,002,16,9.20524e+01,5.26005e-01,1.42133e+01,1.18042e+02
caffeine,004,01,1.59792e+02,5.59911e-01,3.22306e+01,1.97792e+02
caffeine,004,16,5.78428e+01,5.34581e-01,1.14194e+01,7.63807e+01
caffeine,008,01,9.00079e+01,5.68040e-01,2.48630e+01,1.20052e+02
caffeine,008,16,4.01963e+01,5.36051e-01,8.97334e+00,5.39923e+01
caffeine,016,01,6.63921e+01,5.59328e-01,2.21014e+01,9.48919e+01
caffeine,016,02,5.43112e+01,5.35987e-01,1.58866e+01,7.66453e+01
caffeine,016,04,4.72251e+01,5.42482e-01,1.39330e+01,6.76278e+01
caffeine,016,08,3.61714e+01,5.30518e-01,1.05381e+01,5.14696e+01
caffeine,016,16,3.19412e+01,5.30279e-01,7.82506e+00,4.42113e+01
