molecule,MPI,OMP,Localize,SCF energy,Helmholtz,Lowdin,KAIN,Fock operator,Fock matrix,Total SCF
caffeine,001,01,4.60166e+02,2.60097e+02,5384.36,,5.11921e+01,2.67855e+02,3.55539e+02,7.38898e+03
caffeine,001,02,2.99531e+02,1.30259e+02,2697.28,,2.90756e+01,1.34715e+02,2.20175e+02,3.86719e+03
caffeine,001,04,2.09632e+02,6.70276e+01,1366.42,,1.85567e+01,6.79688e+01,1.45154e+02,2.09332e+03
caffeine,001,08,1.67626e+02,3.62035e+01,719.86,,1.39381e+01,3.60718e+01,1.10344e+02,1.24272e+03
caffeine,001,16,1.47946e+02,2.10409e+01,408.03,,1.21075e+01,2.06072e+01,9.39844e+01,8.33527e+02
caffeine,002,01,2.49909e+02,1.32916e+02,2819.06,,2.54101e+01,2.30221e+02,1.93433e+02,3.97962e+03
caffeine,002,16,1.18042e+02,1.49444e+01,269.03,,7.05987e+00,2.73405e+01,7.25932e+01,6.07493e+02
caffeine,004,01,1.97792e+02,7.54521e+01,1893.74,,1.70728e+01,2.83008e+02,1.21658e+02,2.81048e+03
caffeine,004,16,7.63807e+01,6.34539e+00,173.724,,3.91472e+00,2.87328e+01,3.92295e+01,3.88451e+02
caffeine,008,01,1.20052e+02,4.55197e+01,1046.93,,9.29157e+00,2.37898e+02,9.06737e+01,1.69782e+03
caffeine,008,16,5.39923e+01,4.54194e+00,94.2679,,2.33863e+00,2.98927e+01,2.59839e+01,2.53364e+02
caffeine,016,01,9.48919e+01,2.28141e+01,533.467,,5.51442e+00,2.72216e+02,5.90906e+01,1.10414e+03
caffeine,016,16,4.42113e+01,2.99324e+00,58.8411,,1.15669e+00,2.82194e+01,2.46596e+01,1.95069e+02
