molecule,MPI,OMP,Rotation,Apply,Total Helmholtz
caffeine,001,01,2.55196e+02,6.77566e+03,7030.86
caffeine,001,02,1.57407e+02,3.45946e+03,3616.87
caffeine,001,04,1.10526e+02,1.77866e+03,1889.19
caffeine,001,08,8.89766e+01,9.28277e+02,1017.25
caffeine,001,16,7.73949e+01,5.14195e+02,591.59
caffeine,001,32,7.58091e+01,3.14948e+02,390.757
caffeine,002,01,1.23908e+02,3.46621e+03,3590.12
caffeine,002,02,7.50584e+01,1.76214e+03,1837.2
caffeine,002,04,5.19365e+01,9.00527e+02,952.464
caffeine,002,08,4.01517e+01,4.66538e+02,506.69
caffeine,002,16,3.50472e+01,2.58378e+02,293.425
caffeine,004,01,8.65159e+01,2.15664e+03,2243.16
caffeine,004,04,4.80495e+01,5.43253e+02,591.303
caffeine,004,08,3.05590e+01,3.06573e+02,337.132
caffeine,004,16,2.56672e+01,1.61344e+02,187.011
caffeine,004,32,2.56639e+01,1.76293e+02,201.957
caffeine,008,01,4.06932e+01,8.99504e+02,940.197
caffeine,008,02,3.08701e+01,4.98960e+02,529.83
caffeine,008,04,1.84678e+01,2.50852e+02,269.32
caffeine,008,08,1.35288e+01,1.35202e+02,148.731
caffeine,008,16,1.15433e+01,7.61953e+01,87.7386
caffeine,008,32,1.29342e+01,9.55405e+01,108.475
caffeine,016,01,3.61133e+01,5.28910e+02,565.023
caffeine,016,02,2.21249e+01,2.51737e+02,273.862
caffeine,016,04,1.31820e+01,1.28083e+02,141.265
caffeine,016,08,1.00868e+01,6.92039e+01,79.2907
caffeine,016,16,7.77086e+00,3.77796e+01,45.5505
caffeine,016,32,8.69854e+00,3.81258e+01,46.8243
caffeine,032,01,2.72169e+01,2.06494e+02,233.711
caffeine,032,02,1.59763e+01,1.04138e+02,120.114
caffeine,032,04,1.03047e+01,5.27271e+01,63.0318
caffeine,032,08,7.13149e+00,2.94990e+01,36.6305
caffeine,032,16,5.55932e+00,1.60982e+01,21.6575
caffeine,032,32,5.77646e+00,1.61133e+01,21.8898
