molecule,MPI,OMP,Position matrix,Foster-Boys,Rotation,Total localize
caffeine,001,01,4.56164e+02,6.10259e-01,6.89112e+01,5.39122e+02
caffeine,001,02,2.75542e+02,3.65615e-01,4.16260e+01,3.30939e+02
caffeine,001,04,1.91522e+02,2.91823e-01,3.01550e+01,2.38849e+02
caffeine,001,08,1.43243e+02,2.28282e-01,2.36644e+01,1.80755e+02
caffeine,001,16,1.33160e+02,2.20036e-01,2.00523e+01,1.68410e+02
caffeine,001,32,1.20095e+02,2.15824e-01,1.78682e+01,1.53471e+02
caffeine,002,01,2.50543e+02,6.05599e-01,4.81259e+01,3.09711e+02
caffeine,002,02,1.54667e+02,3.69322e-01,2.98607e+01,1.95653e+02
caffeine,002,04,1.06064e+02,2.97124e-01,2.13173e+01,1.38167e+02
caffeine,002,08,8.14642e+01,2.28597e-01,1.73830e+01,1.09677e+02
caffeine,002,16,6.88065e+01,2.06361e-01,1.50770e+01,9.49403e+01
caffeine,004,01,1.70861e+02,7.54294e-01,4.69952e+01,2.27573e+02
caffeine,004,04,7.72923e+01,3.42452e-01,2.11818e+01,1.05012e+02
caffeine,004,08,6.00811e+01,2.48439e-01,1.51871e+01,8.22325e+01
caffeine,004,16,5.16363e+01,2.27049e-01,1.32779e+01,7.08022e+01
caffeine,004,32,5.54118e+01,2.60519e-01,1.33511e+01,7.47854e+01
caffeine,008,01,7.24052e+01,5.97421e-01,2.20986e+01,9.90909e+01
caffeine,008,02,5.72380e+01,3.72380e-01,1.61571e+01,7.69098e+01
caffeine,008,04,3.62161e+01,2.77363e-01,1.13100e+01,5.09481e+01
caffeine,008,08,2.85933e+01,2.30625e-01,8.85679e+00,4.08089e+01
caffeine,008,16,2.28469e+01,2.09928e-01,7.74213e+00,3.39335e+01
caffeine,008,32,3.12037e+01,2.06430e-01,9.60810e+00,4.58364e+01
caffeine,016,01,4.21657e+01,6.35422e-01,2.34961e+01,6.87621e+01
caffeine,016,02,2.87605e+01,3.65911e-01,1.57147e+01,4.73999e+01
caffeine,016,04,1.90857e+01,2.75699e-01,1.11083e+01,3.29586e+01
caffeine,016,08,1.47380e+01,2.29907e-01,9.41814e+00,2.68701e+01
caffeine,016,16,1.22243e+01,2.06308e-01,7.67606e+00,2.22623e+01
caffeine,016,32,1.41359e+01,2.12548e-01,8.12650e+00,2.53268e+01
caffeine,032,01,2.57208e+01,6.04882e-01,2.19439e+01,5.13052e+01
caffeine,032,02,1.55572e+01,3.69472e-01,1.42607e+01,3.24699e+01
caffeine,032,04,1.16479e+01,2.84402e-01,1.00110e+01,2.41104e+01
caffeine,032,08,9.09100e+00,2.28328e-01,8.16215e+00,1.96902e+01
caffeine,032,16,7.57587e+00,2.06409e-01,7.11269e+00,1.67586e+01
caffeine,032,32,8.72122e+00,2.15985e-01,7.91760e+00,1.90204e+01
