molecule,MPI,OMP,Localize,SCF energy,Helmholtz,Lowdin,KAIN,Fock operator,Fock matrix,Total SCF
caffeine,001,01,5.39122e+02,5.83362e+02,7030.86,9.18980e+01,5.82897e+01,4.34358e+02,7.01451e+02,9.48507e+03
caffeine,001,02,3.30939e+02,3.16290e+02,3616.87,5.48294e+01,3.48212e+01,2.23934e+02,4.17278e+02,5.02704e+03
caffeine,001,04,2.38849e+02,1.84332e+02,1889.19,4.50962e+01,2.51186e+01,1.17230e+02,2.81145e+02,2.81033e+03
caffeine,001,08,1.80755e+02,1.12040e+02,1017.25,3.77111e+01,1.71773e+01,6.15682e+01,1.90918e+02,1.64294e+03
caffeine,001,16,1.68410e+02,7.65883e+01,591.59,3.51696e+01,1.38922e+01,3.41444e+01,1.62889e+02,1.10730e+03
caffeine,001,32,1.53471e+02,6.07382e+01,390.757,3.16127e+01,1.37935e+01,2.13100e+01,1.45833e+02,8.39766e+02
caffeine,002,01,3.09711e+02,2.99399e+02,3590.12,6.27896e+01,2.91936e+01,3.14786e+02,3.84841e+02,5.02801e+03
caffeine,002,02,1.95653e+02,1.59304e+02,1837.2,4.22049e+01,1.80699e+01,1.60860e+02,2.30164e+02,2.66966e+03
caffeine,002,04,1.38167e+02,8.83324e+01,952.464,3.26251e+01,1.15012e+01,8.24958e+01,1.48835e+02,1.47606e+03
caffeine,002,08,1.09677e+02,5.23768e+01,506.69,2.87117e+01,7.97961e+00,4.29230e+01,1.08238e+02,8.76425e+02
caffeine,002,16,9.49403e+01,3.46704e+01,293.425,2.67317e+01,6.52117e+00,2.40802e+01,8.81761e+01,5.87067e+02
caffeine,004,01,2.27573e+02,1.90127e+02,2243.16,1.02834e+02,2.26509e+01,3.15690e+02,2.57025e+02,3.39595e+03
caffeine,004,04,1.05012e+02,4.84265e+01,591.303,3.55018e+01,1.06027e+01,7.54815e+01,8.65498e+01,9.73162e+02
caffeine,004,08,8.22325e+01,3.21155e+01,337.132,2.83015e+01,7.27106e+00,4.17511e+01,6.63003e+01,6.14281e+02
caffeine,004,16,7.08022e+01,2.17518e+01,187.011,3.39331e+01,5.11962e+00,2.22504e+01,5.77466e+01,4.16785e+02
caffeine,004,32,7.47854e+01,2.83345e+01,201.957,3.21847e+01,5.13093e+00,2.19279e+01,6.06634e+01,4.40170e+02
caffeine,008,01,9.90909e+01,8.11366e+01,940.197,6.44991e+01,8.29754e+00,2.18139e+02,1.08321e+02,1.54112e+03
caffeine,008,02,7.69098e+01,4.43418e+01,529.83,1.09182e+02,5.82968e+00,1.37258e+02,8.15341e+01,1.00215e+03
caffeine,008,04,5.09481e+01,2.36849e+01,269.32,5.72570e+01,5.84665e+00,6.59458e+01,4.66155e+01,5.31314e+02
caffeine,008,08,4.08089e+01,1.41855e+01,148.731,3.28359e+01,3.35933e+00,3.64454e+01,3.49813e+01,3.21962e+02
caffeine,008,16,3.39335e+01,9.59366e+00,87.7386,2.25452e+01,4.77807e+00,1.98133e+01,2.76647e+01,2.13711e+02
caffeine,008,32,4.58364e+01,1.45969e+01,108.475,2.01115e+01,3.06695e+00,1.88376e+01,3.55348e+01,2.58492e+02
caffeine,016,01,6.87621e+01,4.61696e+01,565.023,8.32723e+01,7.52526e+00,2.10423e+02,7.14999e+01,1.07354e+03
caffeine,016,02,4.73999e+01,2.42814e+01,273.862,5.82711e+01,2.88332e+00,1.09049e+02,4.52286e+01,5.78531e+02
caffeine,016,04,3.29586e+01,1.30363e+01,141.265,4.32307e+01,1.91451e+00,5.66859e+01,2.91164e+01,3.30842e+02
caffeine,016,08,2.68701e+01,7.77860e+00,79.2907,2.41148e+01,1.26169e+00,2.94813e+01,2.13167e+01,2.00961e+02
caffeine,016,16,2.22623e+01,5.15317e+00,45.5505,1.71102e+01,1.07208e+00,1.70147e+01,1.71129e+01,1.33905e+02
caffeine,016,32,2.53268e+01,6.59655e+00,46.8243,1.76010e+01,2.36888e+00,1.40473e+01,2.04005e+01,1.41726e+02
caffeine,032,01,5.13052e+01,2.72636e+01,233.711,1.67498e+02,4.87395e+00,1.96089e+02,4.61821e+01,7.47640e+02
caffeine,032,02,3.24699e+01,1.46947e+01,120.114,9.28228e+01,2.78392e+00,9.99253e+01,3.23939e+01,4.08537e+02
caffeine,032,04,2.41104e+01,8.19431e+00,63.0318,5.42417e+01,1.82056e+00,5.13144e+01,2.02265e+01,2.33469e+02
caffeine,032,08,1.96902e+01,4.98605e+00,36.6305,3.14165e+01,1.62251e+00,2.73406e+01,1.58171e+01,1.46778e+02
caffeine,032,16,1.67586e+01,3.21311e+00,21.6575,2.15172e+01,1.05878e+00,1.53030e+01,1.25151e+01,9.99972e+01
caffeine,032,32,1.90204e+01,4.22852e+00,21.8898,2.10939e+01,1.17859e+00,1.34026e+01,1.28062e+01,1.02327e+02
