molecule,MPI,OMP,Kinetic matrix,Potential matrix,Total matrix
caffeine,001,01,1.006323691340000e+02,6.008184790420000e+02,7.01451e+02
caffeine,001,02,7.370091296200000e+01,3.435770962130000e+02,4.17278e+02
caffeine,001,04,6.813287923000000e+01,2.130123520940000e+02,2.81145e+02
caffeine,001,08,5.568918555100000e+01,1.352284187710000e+02,1.90918e+02
caffeine,001,16,5.168629508500000e+01,1.112024083840000e+02,1.62889e+02
caffeine,001,32,5.539823456900000e+01,9.043372565200001e+01,1.45833e+02
caffeine,002,01,6.600624699500000e+01,3.188345320780000e+02,3.84841e+02
caffeine,002,02,5.003340944200000e+01,1.801299225870000e+02,2.30164e+02
caffeine,002,04,4.162944232800000e+01,1.072057859060000e+02,1.48835e+02
caffeine,002,08,3.840917823700000e+01,6.982840435599999e+01,1.08238e+02
caffeine,002,16,3.583923717900000e+01,5.233667638400000e+01,8.81761e+01
caffeine,004,01,5.050027990700000e+01,2.065246630630000e+02,2.57025e+02
caffeine,004,04,2.570896606300000e+01,6.084065651700000e+01,8.65498e+01
caffeine,004,08,2.407421809800000e+01,4.222581915600000e+01,6.63003e+01
caffeine,004,16,2.418337040800000e+01,3.356303301400000e+01,5.77466e+01
caffeine,004,32,2.524093540700000e+01,3.542220809600000e+01,6.06634e+01
caffeine,008,01,2.173766572700000e+01,8.658315275500000e+01,1.08321e+02
caffeine,008,02,1.449964058600000e+01,6.703430504100000e+01,8.15341e+01
caffeine,008,04,1.202095451000000e+01,3.459436292000000e+01,4.66155e+01
caffeine,008,08,1.082038901400000e+01,2.416069683400000e+01,3.49813e+01
caffeine,008,16,1.060453404500000e+01,1.705998925400000e+01,2.76647e+01
caffeine,008,32,1.445086026900000e+01,2.108371627200000e+01,3.55348e+01
caffeine,016,01,1.744427796300000e+01,5.405545327700000e+01,7.14999e+01
caffeine,016,02,1.185078921300000e+01,3.337758884300000e+01,4.52286e+01
caffeine,016,04,9.601792896999999e+00,1.951441054200000e+01,2.91164e+01
caffeine,016,08,8.069398365000000e+00,1.324711432200000e+01,2.13167e+01
caffeine,016,16,7.193603999000000e+00,9.919072633000001e+00,1.71129e+01
caffeine,016,32,9.269195952000000e+00,1.113108078000000e+01,2.04005e+01
caffeine,032,01,1.263436202600000e+01,3.354759150100000e+01,4.61821e+01
caffeine,032,02,1.210711025500000e+01,2.028663903000000e+01,3.23939e+01
caffeine,032,04,7.834544979000000e+00,1.239173765600000e+01,2.02265e+01
caffeine,032,08,6.879652227000000e+00,8.937257553000000e+00,1.58171e+01
caffeine,032,16,5.719480538000000e+00,6.795411321000000e+00,1.25151e+01
caffeine,032,32,5.766693273000000e+00,7.039276708000000e+00,1.28062e+01
