molecule,MPI,OMP,Coulomb dens,Coulomb pot,Allreduce pot,XC dens,XCFun,XC energy, XC pot,Total Fock
caffeine,001,01,7.60665e+01,9.35458e+01,7.34632e-02,7.63361e+01,5.91500e+01,7.56940e-05,2.34144e+00,3.09064e+02
caffeine,001,02,4.00371e+01,4.77535e+01,5.34793e-02,4.01281e+01,3.02469e+01,7.04810e-05,1.28408e+00,1.60380e+02
caffeine,001,05,1.81369e+01,2.07559e+01,2.52675e-02,1.82711e+01,1.30596e+01,6.09050e-05,5.98757e-01,7.12734e+01
caffeine,001,10,1.06341e+01,1.12834e+01,1.22650e-02,1.06022e+01,6.92466e+00,7.54320e-05,3.57505e-01,4.00793e+01
caffeine,001,20,7.74410e+00,7.72186e+00,9.87800e-03,7.82582e+00,4.30921e+00,1.05240e-04,2.56735e-01,2.80766e+01
caffeine,001,40,5.57836e+00,4.35407e+00,1.87990e-02,5.44247e+00,2.26096e+00,6.92760e-05,3.07311e-01,1.81454e+01
caffeine,002,01,3.99532e+01,8.13358e+01,1.54134e+00,4.09336e+01,6.08146e+01,7.23380e-05,2.35034e+00,2.28611e+02
caffeine,002,02,2.15955e+01,4.36166e+01,1.82401e-01,2.22559e+01,3.19520e+01,6.78620e-05,1.40673e+00,1.21925e+02
caffeine,002,05,9.98363e+00,1.90192e+01,7.18715e-01,1.04320e+01,1.38756e+01,6.16930e-05,6.49232e-01,5.51112e+01
caffeine,002,10,6.66229e+00,1.22034e+01,8.13245e-01,6.88213e+00,8.28381e+00,8.55660e-05,4.31568e-01,3.55832e+01
caffeine,002,20,4.01492e+00,6.67103e+00,1.85919e-01,4.30791e+00,4.23540e+00,6.68220e-05,2.53198e-01,1.98685e+01
caffeine,002,40,2.83617e+00,3.85709e+00,1.26318e+00,3.21044e+00,2.13457e+00,7.47200e-05,3.60918e-01,1.38326e+01
caffeine,004,01,1.90871e+01,7.52207e+01,3.92540e-01,2.16812e+01,5.97566e+01,7.39700e-05,2.63654e+00,1.80423e+02
caffeine,004,02,1.05597e+01,4.03618e+01,2.66149e-01,1.17935e+01,3.19233e+01,7.15080e-05,1.43248e+00,9.72915e+01
caffeine,004,05,5.01686e+00,1.76519e+01,2.05251e-01,5.62952e+00,1.39481e+01,6.02470e-05,7.23915e-01,4.36022e+01
caffeine,004,10,3.40310e+00,1.14795e+01,1.83168e-01,3.91027e+00,8.58907e+00,9.39300e-05,5.18404e-01,2.83883e+01
caffeine,004,20,2.02968e+00,6.06755e+00,1.67750e-01,2.62613e+00,4.11194e+00,6.33300e-05,3.50005e-01,1.55513e+01
