molecule,MPI,OMP,Rotation,Apply,Total Helmholtz
caffeine,001,01,2.35012e+02,6.13407e+03,6369.08
caffeine,001,02,1.46865e+02,3.06859e+03,3215.45
caffeine,001,05,9.37009e+01,1.28778e+03,1381.48
caffeine,001,10,7.89764e+01,7.07932e+02,786.908
caffeine,001,16,7.49696e+01,4.98696e+02,573.666
caffeine,002,01,1.07527e+02,3.14591e+03,3253.44
caffeine,002,02,6.61387e+01,1.57687e+03,1643.01
caffeine,002,05,4.38435e+01,6.95962e+02,739.805
caffeine,002,10,3.72564e+01,3.63866e+02,401.122
caffeine,002,20,3.25517e+01,2.02402e+02,234.954
caffeine,004,01,6.32428e+01,1.61906e+03,1682.3
caffeine,004,02,3.61576e+01,8.45401e+02,881.559
caffeine,004,05,2.64388e+01,3.48337e+02,374.776
caffeine,004,10,1.84356e+01,1.74053e+02,192.489
caffeine,004,20,1.69552e+01,9.95800e+01,116.535
caffeine,008,01,4.01694e+01,8.61529e+02,901.698
caffeine,008,02,2.65970e+01,4.49402e+02,475.999
caffeine,008,05,1.62396e+01,1.74162e+02,190.402
caffeine,008,10,1.23785e+01,9.20432e+01,104.422
caffeine,008,20,1.14159e+01,5.27231e+01,64.139
caffeine,016,01,3.29193e+01,4.40988e+02,473.907
caffeine,016,02,2.19273e+01,2.36691e+02,258.618
caffeine,016,05,1.55535e+01,9.20742e+01,107.628
caffeine,016,10,1.09833e+01,4.89892e+01,59.9725
caffeine,016,20,9.84337e+00,2.78768e+01,37.7202
caffeine,032,01,2.73017e+01,1.72961e+02,200.263
caffeine,032,02,1.78788e+01,9.30175e+01,110.896
caffeine,032,05,1.25626e+01,3.84771e+01,51.0397
caffeine,032,10,1.02610e+01,2.04650e+01,30.726
caffeine,032,20,8.97617e+00,1.19856e+01,20.9618
