molecule,MPI,OMP,Push back,Setup linear system,Solve linear system,Expand solution,Total KAIN
caffeine,001,01,3.96869e-01,2.26845e+01,1.77900e-05,2.61247e+01,4.92062e+01
caffeine,001,02,4.79602e-01,1.34297e+01,2.47890e-05,1.43185e+01,2.82280e+01
caffeine,001,05,4.74066e-01,8.40336e+00,2.34720e-05,7.49164e+00,1.63693e+01
caffeine,001,10,4.98407e-01,6.99606e+00,2.33240e-05,5.37470e+00,1.28694e+01
caffeine,001,16,4.42630e-01,6.67607e+00,1.74770e-05,4.97412e+00,1.20932e+01
caffeine,002,01,2.00090e-01,1.12622e+01,1.54180e-05,1.29680e+01,2.44304e+01
caffeine,002,02,2.01702e-01,6.78770e+00,1.62550e-05,7.19979e+00,1.41894e+01
caffeine,002,05,2.07519e-01,4.49710e+00,1.66900e-05,3.99239e+00,8.69716e+00
caffeine,002,10,2.19611e-01,3.68102e+00,2.47320e-05,2.79952e+00,6.70031e+00
caffeine,002,20,2.40103e-01,3.27853e+00,1.67540e-05,2.16475e+00,5.68376e+00
caffeine,004,01,1.25116e+00,6.18469e+00,7.65200e-06,6.81468e+00,1.42509e+01
caffeine,004,02,7.86556e-01,3.79988e+00,7.66000e-06,3.85822e+00,8.44491e+00
caffeine,004,05,3.97911e-01,2.61711e+00,8.12900e-06,2.07354e+00,5.08880e+00
caffeine,004,10,4.01362e-01,1.77250e+00,1.46670e-05,1.31904e+00,3.49327e+00
caffeine,004,20,3.93820e-01,1.73935e+00,2.10752e-03,1.18047e+00,3.31611e+00
caffeine,008,01,4.73142e-01,3.76425e+00,8.42000e-06,3.75099e+00,7.98899e+00
caffeine,008,02,1.49821e-01,2.30388e+00,7.72200e-06,2.07979e+00,4.53374e+00
caffeine,008,05,1.58724e-01,1.24426e+00,7.81400e-06,1.00427e+00,2.40772e+00
caffeine,008,10,2.65837e-01,9.73887e-01,1.50820e-05,6.72698e-01,1.91278e+00
caffeine,008,20,1.85592e-01,9.04747e-01,2.11880e-05,5.55987e-01,1.64668e+00
caffeine,016,01,7.19766e-02,2.08557e+00,7.95300e-06,1.70626e+00,3.86435e+00
caffeine,016,02,8.28301e-02,1.38133e+00,8.05500e-06,1.01779e+00,2.48223e+00
caffeine,016,05,5.54467e-02,7.61446e-01,7.42400e-06,5.05656e-01,1.32302e+00
caffeine,016,10,4.67756e-02,5.77115e-01,1.57670e-05,3.34104e-01,9.58419e-01
caffeine,016,20,3.35727e-02,5.29073e-01,1.61170e-05,2.66298e-01,8.29354e-01
caffeine,032,01,7.23420e+00,1.35327e+00,7.09200e-06,7.79984e-01,9.36787e+00
caffeine,032,02,4.42193e+00,8.09342e-01,7.09100e-06,4.57235e-01,5.68876e+00
caffeine,032,05,2.78227e+00,5.54795e-01,6.86700e-06,2.49127e-01,3.58646e+00
caffeine,032,10,1.50051e+00,3.09503e-01,1.47730e-05,1.65822e-01,1.97620e+00
caffeine,032,20,7.83012e-01,2.90492e-01,1.63290e-05,1.39820e-01,1.21368e+00
