molecule,MPI,OMP,Lowdin matrix,Rotation,Total Lowdin
caffeine,001,01,1.12396e+01,6.35543e+01,7.47940e+01
caffeine,001,02,1.39677e+01,3.77666e+01,5.17344e+01
caffeine,001,05,1.28559e+01,2.25430e+01,3.53990e+01
caffeine,001,10,1.37440e+01,1.75292e+01,3.12733e+01
caffeine,001,16,1.22948e+01,1.68048e+01,2.90997e+01
caffeine,002,01,8.34569e+00,4.42488e+01,5.25945e+01
caffeine,002,02,8.40354e+00,2.65099e+01,3.49136e+01
caffeine,002,05,8.39394e+00,1.70164e+01,2.54104e+01
caffeine,002,10,1.02607e+01,1.45203e+01,2.47811e+01
caffeine,002,20,1.01007e+01,1.32848e+01,2.33857e+01
caffeine,004,01,7.81152e+01,3.64558e+01,1.14571e+02
caffeine,004,02,1.49029e+01,2.37769e+01,3.86801e+01
caffeine,004,05,1.52264e+01,1.79019e+01,3.31285e+01
caffeine,004,10,9.61718e+00,1.22992e+01,2.19166e+01
caffeine,004,20,7.89913e+00,1.15087e+01,1.94080e+01
caffeine,008,01,3.46233e+01,2.87703e+01,6.33939e+01
caffeine,008,02,1.88330e+01,2.01270e+01,3.89602e+01
caffeine,008,05,1.01121e+01,1.34254e+01,2.35377e+01
caffeine,008,10,7.81703e+00,1.18706e+01,1.96878e+01
caffeine,008,20,6.77610e+00,1.09868e+01,1.77631e+01
caffeine,016,01,5.80051e+01,2.56323e+01,8.36378e+01
caffeine,016,02,3.30921e+01,1.87477e+01,5.18400e+01
caffeine,016,05,1.68406e+01,1.50547e+01,3.18954e+01
caffeine,016,10,1.02233e+01,1.23893e+01,2.26128e+01
caffeine,016,20,7.04412e+00,1.05748e+01,1.76191e+01
caffeine,032,01,1.97274e+02,2.37854e+01,2.21059e+02
caffeine,032,02,1.04392e+02,1.73984e+01,1.21790e+02
caffeine,032,05,5.08736e+01,1.40730e+01,6.49468e+01
caffeine,032,10,1.99478e+01,1.23129e+01,3.22609e+01
caffeine,032,20,1.21484e+01,1.15638e+01,2.37123e+01
