molecule,MPI,OMP,SCF cycles,Wall time,Max memory
caffeine,001,01,-6,3.924137e+04,35382540
caffeine,001,02,-6,2.094382e+04,35809300
caffeine,001,04,-6,1.172234e+04,36030652
caffeine,001,08,-6,6.966536e+03,36118312
caffeine,001,16,-6,4.696184e+03,36017540
caffeine,001,32,-6,3.594231e+03,36062400
caffeine,002,01,-6,2.128099e+04,19930256
caffeine,002,02,-6,1.134970e+04,19916408
caffeine,002,04,-6,6.292856e+03,19941696
caffeine,002,08,-6,3.747673e+03,19979796
caffeine,002,16,-6,2.529557e+03,20012164
caffeine,004,01,-6,1.472152e+04,11684232
caffeine,004,04,-6,5.003569e+03,11684188
caffeine,004,08,-6,3.062682e+03,11240356
caffeine,004,16,-6,2.124709e+03,11707808
caffeine,004,32,-6,1.958330e+03,11746384
caffeine,008,01,-6,6.899635e+03,8313516
caffeine,008,02,-6,4.640900e+03,8486664
caffeine,008,04,-6,2.509743e+03,8735764
caffeine,008,08,-6,1.488917e+03,8727884
caffeine,008,16,-6,1.022623e+03,8400692
caffeine,008,32,-6,1.166421e+03,8437424
caffeine,016,01,-6,5.233098e+03,6710440
caffeine,016,02,-6,2.844278e+03,7101396
caffeine,016,04,-6,1.582986e+03,6834604
caffeine,016,08,-6,9.559971e+02,7073616
caffeine,016,16,-6,6.490668e+02,7323960
caffeine,016,32,-6,6.436486e+02,6761856
caffeine,032,01,-6,3.553222e+03,6031012
caffeine,032,02,-6,1.929301e+03,5469016
caffeine,032,04,-6,1.115904e+03,6090268
caffeine,032,08,-6,6.840431e+02,5826752
caffeine,032,16,-6,4.636450e+02,6352528
caffeine,032,32,-6,4.583135e+02,6152136
