molecule,prec,MPI,OMP,Kinetic matrix,Potential matrix,Total matrix
ch4_010,5,008,08,4.408892131000000e+00,5.802342227000000e+00,1.02114e+01
ch4_010,5,008,16,4.011674189000000e+00,5.148170437000000e+00,9.16007e+00
ch4_010,5,008,32,5.495817944000000e+00,4.750477999000000e+00,1.02488e+01
ch4_010,5,016,08,4.500236253000000e+00,4.021470650000000e+00,8.52193e+00
ch4_010,5,016,16,5.027527816000000e+00,2.913320291000000e+00,7.94105e+00
ch4_010,5,016,32,6.102091470000000e+00,2.868599717000000e+00,8.97089e+00
ch4_010,5,032,08,4.713753642000000e+00,3.032590413000000e+00,7.74652e+00
ch4_010,5,032,16,3.962605519000000e+00,2.127318643000000e+00,6.09010e+00
ch4_010,5,032,32,3.694298382000000e+00,1.974888199000000e+00,5.66938e+00
ch4_020,5,008,08,1.015739270000000e+01,1.785611405400000e+01,2.80137e+01
ch4_020,5,008,16,2.858348810600000e+01,1.038804134900000e+01,3.89718e+01
ch4_020,5,008,32,1.037563222700000e+01,1.023937770400000e+01,2.06152e+01
ch4_020,5,016,08,7.642992778000000e+00,1.058528647200000e+01,1.82285e+01
ch4_020,5,016,16,6.346103506000000e+00,6.814806960000000e+00,1.31611e+01
ch4_020,5,016,32,1.001774346300000e+01,6.246030334000000e+00,1.62640e+01
ch4_020,5,032,08,1.272025969600000e+01,7.105775278000000e+00,1.98262e+01
ch4_020,5,032,16,1.255220033500000e+01,4.687334967000000e+00,1.72398e+01
ch4_020,5,032,32,8.532403573000000e+00,4.280715914000000e+00,1.28133e+01
ch4_020,5,048,08,1.165194311900000e+01,6.752439928000000e+00,1.84046e+01
ch4_020,5,048,16,6.796728625000000e+00,5.286723504000000e+00,1.20837e+01
ch4_020,5,048,32,8.470961886000000e+00,4.279751427000000e+00,1.27509e+01
ch4_020,5,064,08,7.864410032000000e+00,6.501150997000000e+00,1.43658e+01
ch4_020,5,064,16,1.212522327700000e+01,4.972430627000000e+00,1.70979e+01
ch4_020,5,064,32,7.222623271000000e+00,3.562302023000000e+00,1.07851e+01
ch4_020,5,080,08,1.709384689300000e+01,5.749147659000000e+00,2.28432e+01
ch4_020,5,080,16,1.531836521000000e+01,4.437608993000000e+00,1.97562e+01
ch4_020,5,080,32,8.811902705000000e+00,4.090003672000000e+00,1.29021e+01
ch4_030,5,008,32,2.307288715000000e+01,1.748708549400000e+01,4.05602e+01
ch4_030,5,016,16,2.184101974500000e+01,2.455574529600000e+01,4.63970e+01
ch4_030,5,016,32,1.619042478000000e+01,1.050034291500000e+01,2.66910e+01
ch4_030,5,032,08,2.521567512600000e+01,1.401707696500000e+01,3.92329e+01
ch4_030,5,032,16,4.446120189700000e+01,1.086362640200000e+01,5.53250e+01
ch4_030,5,032,32,1.256348923300000e+01,7.054179128000000e+00,1.96179e+01
ch4_030,5,048,08,2.625574031100000e+01,1.130412809300000e+01,3.75601e+01
ch4_030,5,048,16,3.153398762500000e+01,9.941666431000000e+00,4.14759e+01
ch4_030,5,048,32,1.155502253400000e+01,5.900114605000000e+00,1.74553e+01
ch4_030,5,064,08,2.141364881000000e+01,1.181956140400000e+01,3.32334e+01
ch4_030,5,064,16,8.835696779999999e+00,1.007688064900000e+01,1.89128e+01
ch4_030,5,064,32,1.197482832700000e+01,5.750306771000000e+00,1.77254e+01
ch4_030,5,080,08,2.708172542200000e+01,1.180718595400000e+01,3.88891e+01
ch4_030,5,080,16,1.212329345400000e+01,1.071548085100000e+01,2.28390e+01
ch4_030,5,080,32,1.193319133200000e+01,6.287869015000000e+00,1.82213e+01
ch4_040,5,008,32,4.594827134100000e+01,2.215624677400000e+01,6.81048e+01
ch4_040,5,016,16,2.706671271200000e+01,2.454080784400000e+01,5.16078e+01
ch4_040,5,016,32,1.981256938500000e+01,1.458062300900000e+01,3.43934e+01
ch4_040,5,032,16,4.909351430900000e+01,1.671082999900000e+01,6.58045e+01
ch4_040,5,032,32,2.424788767700000e+01,9.662541533000001e+00,3.39106e+01
ch4_040,5,048,08,2.902798042700000e+01,1.553244280300000e+01,4.45606e+01
ch4_040,5,048,16,2.931093821600000e+01,1.523617842000000e+01,4.45473e+01
ch4_040,5,048,32,1.807948188500000e+01,8.562536612000001e+00,2.66423e+01
ch4_040,5,064,08,1.320019201200000e+01,1.342440546200000e+01,2.66248e+01
ch4_040,5,064,16,1.055360407400000e+01,1.135430731000000e+01,2.19081e+01
ch4_040,5,064,32,1.129431390300000e+01,6.718968430000000e+00,1.80135e+01
ch4_040,5,080,08,3.621048579400000e+01,1.845727659300000e+01,5.46679e+01
ch4_040,5,080,16,1.743272937700000e+01,9.600546219000000e+00,2.70335e+01
ch4_040,5,080,32,1.504601958600000e+01,6.928649595000000e+00,2.19749e+01
ch4_040,5,096,08,3.386833098200000e+01,1.337788890000000e+01,4.72464e+01
ch4_040,5,096,16,2.536894884100000e+01,1.166385280200000e+01,3.70330e+01
ch4_040,5,096,32,1.631034878800000e+01,6.964666028000000e+00,2.32752e+01
ch4_040,5,112,08,3.255799629800000e+01,1.428294955700000e+01,4.68411e+01
ch4_040,5,112,16,1.610839016700000e+01,1.075897445600000e+01,2.68676e+01
ch4_040,5,112,32,1.454020898900000e+01,8.049786717000000e+00,2.25902e+01
ch4_040,5,128,08,3.675648431700000e+01,1.222925931100000e+01,4.89859e+01
ch4_040,5,128,16,2.725469994300000e+01,1.001521153800000e+01,3.72701e+01
ch4_040,5,128,32,2.184768792700000e+01,7.347473055000000e+00,2.91954e+01
ch4_050,5,016,32,2.601487112100000e+01,1.732814426200000e+01,4.33432e+01
ch4_050,5,032,16,5.311132634400000e+01,2.339911051500000e+01,7.65107e+01
ch4_050,5,032,32,2.977365773400000e+01,1.188488272800000e+01,4.16588e+01
ch4_050,5,048,16,9.672904806400000e+01,1.878358373900000e+01,1.15513e+02
ch4_050,5,048,32,2.213022079200000e+01,1.096445102300000e+01,3.30949e+01
ch4_050,5,064,16,2.626408408400000e+01,1.629252499900000e+01,4.25568e+01
ch4_050,5,064,32,1.872229051500000e+01,9.295732416000000e+00,2.80182e+01
ch4_050,5,080,08,4.842958438500000e+01,1.670381590600000e+01,6.51336e+01
ch4_050,5,080,16,3.407151897900000e+01,1.301659774900000e+01,4.70883e+01
ch4_050,5,080,32,1.870289314100000e+01,7.699115307000000e+00,2.64022e+01
