molecule,prec,MPI,OMP,Push back,Setup linear system,Solve linear system,Expand solution,Total KAIN
ch4_010,5,008,08,7.40814e-01,1.06441e+00,2.23560e-05,5.85555e-01,2.39092e+00
ch4_010,5,008,16,4.51537e-01,8.35918e-01,2.48420e-05,5.20911e-01,1.80852e+00
ch4_010,5,008,32,3.97351e-01,1.02512e+00,2.46840e-05,4.84070e-01,1.90669e+00
ch4_010,5,016,08,8.21521e-01,5.54349e-01,8.27000e-06,4.56577e-01,1.83257e+00
ch4_010,5,016,16,4.03954e-01,5.65897e-01,2.74370e-05,2.86302e-01,1.25632e+00
ch4_010,5,016,32,4.83360e-01,5.63662e-01,3.03810e-05,2.79760e-01,1.32695e+00
ch4_010,5,032,08,2.54643e-01,3.09981e-01,9.60000e-06,2.42721e-01,8.07469e-01
ch4_010,5,032,16,2.68083e-01,2.78872e-01,2.91200e-05,2.10251e-01,7.57378e-01
ch4_010,5,032,32,3.63503e-01,3.36879e-01,2.48190e-05,2.01154e-01,9.01694e-01
ch4_020,5,008,08,2.12953e-01,1.83804e+00,1.96610e-05,1.59263e+00,3.64377e+00
ch4_020,5,008,16,1.59399e+00,1.51039e+00,1.98560e-05,1.16315e+00,4.26767e+00
ch4_020,5,008,32,5.97352e-01,1.82910e+00,3.23470e-05,1.07844e+00,3.50510e+00
ch4_020,5,016,08,1.20621e-01,1.04598e+00,1.04460e-05,9.70145e-01,2.13691e+00
ch4_020,5,016,16,1.57815e-01,8.55587e-01,2.54770e-05,7.40878e-01,1.75446e+00
ch4_020,5,016,32,3.18957e-01,1.01914e+00,2.36040e-05,6.33630e-01,1.97189e+00
ch4_020,5,032,08,1.90459e+00,6.31297e-01,1.15930e-05,5.04655e-01,3.04067e+00
ch4_020,5,032,16,3.10283e+00,4.63635e-01,2.26680e-05,2.46370e-01,3.81296e+00
ch4_020,5,032,32,1.43205e+00,5.97189e-01,2.66320e-05,2.70151e-01,2.29956e+00
ch4_020,5,048,08,3.22438e+00,6.00628e-01,1.18710e-05,2.65721e-01,4.09088e+00
ch4_020,5,048,16,2.58451e+00,4.24137e-01,3.08050e-05,2.35601e-01,3.24441e+00
ch4_020,5,048,32,1.60577e+00,5.01547e-01,2.58450e-05,1.66842e-01,2.27431e+00
ch4_020,5,064,08,1.21064e+00,4.14692e-01,1.26450e-05,3.94718e-01,2.02018e+00
ch4_020,5,064,16,1.75507e+00,3.02325e-01,3.05430e-05,2.82677e-01,2.34026e+00
ch4_020,5,064,32,1.48082e+00,3.93272e-01,2.88640e-05,1.96713e-01,2.07097e+00
ch4_020,5,080,08,2.24550e-02,4.73433e-01,1.19300e-05,3.76265e-01,8.72289e-01
ch4_020,5,080,16,4.75467e-02,3.31917e-01,1.94690e-05,2.75568e-01,6.55202e-01
ch4_020,5,080,32,1.74673e-01,3.10787e-01,2.71540e-05,1.99524e-01,6.85149e-01
ch4_030,5,008,32,4.36198e-01,2.63471e+00,2.84270e-05,1.72379e+00,4.79489e+00
ch4_030,5,016,16,2.57326e+00,1.68207e+00,2.37990e-05,1.06746e+00,5.32297e+00
ch4_030,5,016,32,9.77652e-01,1.40989e+00,2.61420e-05,9.22973e-01,3.31067e+00
ch4_030,5,032,08,8.62610e-01,9.44545e-01,1.25620e-05,7.26202e-01,2.53352e+00
ch4_030,5,032,16,2.66371e+00,6.85376e-01,2.98470e-05,4.85990e-01,3.83525e+00
ch4_030,5,032,32,1.21995e+00,8.77394e-01,2.55030e-05,4.09230e-01,2.50673e+00
ch4_030,5,048,08,3.43126e+00,6.37539e-01,1.00510e-05,5.30913e-01,4.59986e+00
ch4_030,5,048,16,2.17831e+00,5.45494e-01,1.97510e-05,3.65581e-01,3.08951e+00
ch4_030,5,048,32,2.24647e+00,6.56645e-01,2.22260e-05,3.42502e-01,3.24577e+00
ch4_030,5,064,08,1.98469e+00,5.50311e-01,9.07300e-06,3.98619e-01,2.93376e+00
ch4_030,5,064,16,6.93290e-01,5.08748e-01,2.78010e-05,2.76905e-01,1.47911e+00
ch4_030,5,064,32,4.63547e-01,5.36994e-01,2.29830e-05,2.09114e-01,1.20980e+00
ch4_030,5,080,08,4.67916e+00,5.34689e-01,1.20710e-05,4.45400e-01,5.65939e+00
ch4_030,5,080,16,3.86754e+00,4.84688e-01,1.91510e-05,3.18136e-01,4.67053e+00
ch4_030,5,080,32,2.69249e+00,4.83171e-01,3.11270e-05,2.10875e-01,3.38672e+00
ch4_040,5,008,32,8.60517e-01,3.40305e+00,4.07120e-05,1.92536e+00,6.18913e+00
ch4_040,5,016,16,2.59813e-01,1.62948e+00,5.71264e-04,1.35214e+00,3.24218e+00
ch4_040,5,016,32,8.28597e-01,1.88585e+00,2.51560e-05,1.14223e+00,3.85685e+00
ch4_040,5,032,16,1.31033e-01,9.67468e-01,2.49780e-05,7.59290e-01,1.85798e+00
ch4_040,5,032,32,2.27880e-01,1.10576e+00,3.42790e-05,7.93117e-01,2.12697e+00
ch4_040,5,048,08,1.06824e+00,9.42503e-01,1.01160e-05,7.70224e-01,2.78111e+00
ch4_040,5,048,16,1.53826e+00,7.47086e-01,2.66700e-05,5.24685e-01,2.81022e+00
ch4_040,5,048,32,1.04798e+00,8.02759e-01,1.64430e-05,4.70173e-01,2.32108e+00
ch4_040,5,064,08,5.29573e+00,7.30354e-01,1.11560e-05,5.15829e-01,6.54208e+00
ch4_040,5,064,16,4.35537e+00,5.97393e-01,2.55060e-05,3.52677e-01,5.30561e+00
ch4_040,5,064,32,2.95519e+00,6.02469e-01,3.29990e-05,3.15622e-01,3.87349e+00
ch4_040,5,080,08,1.32616e+00,6.69770e-01,1.14970e-05,6.31319e-01,2.62740e+00
ch4_040,5,080,16,6.84522e-02,6.75631e-01,2.05010e-05,4.78637e-01,1.22291e+00
ch4_040,5,080,32,1.15341e-01,5.82545e-01,2.97960e-05,3.42995e-01,1.04108e+00
ch4_040,5,096,08,4.35761e+00,5.72003e-01,1.41950e-05,4.03633e-01,5.33342e+00
ch4_040,5,096,16,4.61595e+00,5.03216e-01,1.97280e-05,2.98502e-01,5.41785e+00
ch4_040,5,096,32,2.78071e+00,5.67097e-01,2.13710e-05,2.26521e-01,3.57449e+00
ch4_040,5,112,08,5.58219e+00,5.81418e-01,9.94300e-06,4.24933e-01,6.58870e+00
ch4_040,5,112,16,5.84928e+00,4.72210e-01,1.86200e-05,2.83886e-01,6.60556e+00
ch4_040,5,112,32,2.85848e+00,5.17037e-01,2.41540e-05,2.58892e-01,3.63460e+00
ch4_040,5,128,08,5.66249e+00,4.79361e-01,1.27950e-05,3.86992e-01,6.52900e+00
ch4_040,5,128,16,5.87653e+00,4.10833e-01,1.83300e-05,3.09073e-01,6.59660e+00
ch4_040,5,128,32,2.63300e+00,3.26988e-01,3.33110e-05,2.11914e-01,3.17210e+00
ch4_050,5,016,32,3.47331e+00,2.36997e+00,3.03120e-05,1.28598e+00,7.12944e+00
ch4_050,5,032,16,4.00764e+00,1.34186e+00,2.57790e-05,8.52527e-01,6.20220e+00
ch4_050,5,032,32,1.20114e+00,1.45535e+00,2.53700e-05,8.36409e-01,3.49308e+00
ch4_050,5,048,16,2.42791e+00,8.94269e-01,2.79390e-05,6.65694e-01,3.98808e+00
ch4_050,5,048,32,1.50829e+00,1.19276e+00,2.01440e-05,5.32259e-01,3.23349e+00
ch4_050,5,064,16,4.15924e-01,9.55071e-01,2.45800e-05,5.29037e-01,1.90023e+00
ch4_050,5,064,32,1.63534e+00,8.19829e-01,2.72110e-05,4.18106e-01,2.87345e+00
ch4_050,5,080,08,6.87956e+00,8.08745e-01,2.38010e-05,4.68310e-01,8.15681e+00
