molecule,prec,MPI,OMP,Position matrix,Foster-Boys,Rotation,Total localize
ch4_010,5,008,08,3.25861e+01,8.20566e-02,6.77541e+00,3.94437e+01
ch4_010,5,008,16,3.06051e+01,8.23981e-02,5.88579e+00,3.65734e+01
ch4_010,5,008,32,3.28385e+01,8.25782e-02,7.27951e+00,4.02007e+01
ch4_010,5,016,08,2.21662e+01,8.38508e-02,5.01936e+00,2.72695e+01
ch4_010,5,016,16,1.99978e+01,8.16990e-02,3.72484e+00,2.38044e+01
ch4_010,5,016,32,2.04387e+01,8.16811e-02,4.57603e+00,2.50966e+01
ch4_010,5,032,08,1.53896e+01,8.16553e-02,4.39750e+00,1.98689e+01
ch4_010,5,032,16,1.37381e+01,8.16858e-02,3.64574e+00,1.74656e+01
ch4_010,5,032,32,1.46682e+01,8.60125e-02,3.77977e+00,1.85341e+01
ch4_020,5,008,08,9.03422e+01,6.76462e-01,1.99814e+01,1.11000e+02
ch4_020,5,008,16,8.23272e+01,6.63783e-01,1.55487e+01,9.85398e+01
ch4_020,5,008,32,8.32658e+01,6.72867e-01,1.75044e+01,1.01443e+02
ch4_020,5,016,08,6.66574e+01,6.93323e-01,1.60529e+01,8.34038e+01
ch4_020,5,016,16,5.76081e+01,6.80115e-01,1.22118e+01,7.05001e+01
ch4_020,5,016,32,6.51426e+01,7.09419e-01,1.25710e+01,7.84232e+01
ch4_020,5,032,08,5.03998e+01,7.28383e-01,1.20702e+01,6.31985e+01
ch4_020,5,032,16,4.56656e+01,6.83063e-01,9.97402e+00,5.63228e+01
ch4_020,5,032,32,4.89214e+01,7.03613e-01,8.86406e+00,5.84892e+01
ch4_020,5,048,08,4.62704e+01,7.14858e-01,1.14417e+01,5.84271e+01
ch4_020,5,048,16,4.10232e+01,6.65997e-01,8.59410e+00,5.02834e+01
ch4_020,5,048,32,4.37715e+01,6.65893e-01,8.99575e+00,5.34333e+01
ch4_020,5,064,08,3.89783e+01,6.76908e-01,1.10858e+01,5.07411e+01
ch4_020,5,064,16,3.16730e+01,6.80515e-01,8.52141e+00,4.08751e+01
ch4_020,5,064,32,3.15766e+01,6.65886e-01,8.83268e+00,4.10753e+01
ch4_020,5,080,08,3.64244e+01,9.24629e-01,1.19496e+01,4.92988e+01
ch4_020,5,080,16,2.90491e+01,6.72815e-01,9.74683e+00,3.94688e+01
ch4_020,5,080,32,2.86231e+01,6.94732e-01,1.00916e+01,3.94096e+01
ch4_030,5,008,32,2.43272e+02,2.92051e+00,4.25610e+01,2.88754e+02
ch4_030,5,016,16,1.46705e+02,2.99542e+00,3.13806e+01,1.81081e+02
ch4_030,5,016,32,1.50932e+02,2.91993e+00,2.92012e+01,1.83054e+02
ch4_030,5,032,08,1.14704e+02,3.11100e+00,2.74007e+01,1.45216e+02
ch4_030,5,032,16,1.02752e+02,3.14209e+00,2.15873e+01,1.27482e+02
ch4_030,5,032,32,1.09228e+02,2.84920e+00,2.01815e+01,1.32259e+02
ch4_030,5,048,08,9.94036e+01,2.99045e+00,2.41357e+01,1.26530e+02
ch4_030,5,048,16,8.98163e+01,3.08620e+00,1.81356e+01,1.11038e+02
ch4_030,5,048,32,9.51212e+01,2.85158e+00,1.80228e+01,1.15996e+02
ch4_030,5,064,08,1.01328e+02,2.91366e+00,2.61664e+01,1.30409e+02
ch4_030,5,064,16,9.11953e+01,2.86414e+00,2.08701e+01,1.14930e+02
ch4_030,5,064,32,9.26876e+01,2.91319e+00,1.92187e+01,1.14820e+02
ch4_030,5,080,08,9.49117e+01,2.82748e+00,2.27972e+01,1.20537e+02
ch4_030,5,080,16,8.42625e+01,3.14016e+00,1.65906e+01,1.03993e+02
ch4_030,5,080,32,8.59427e+01,3.43260e+00,1.65457e+01,1.05921e+02
ch4_040,5,008,32,4.02068e+02,8.31801e+00,7.94461e+01,4.89978e+02
ch4_040,5,016,16,2.61037e+02,8.07949e+00,7.05127e+01,3.39629e+02
ch4_040,5,016,32,2.91473e+02,8.31719e+00,5.96602e+01,3.59451e+02
ch4_040,5,032,16,2.45869e+02,8.16274e+00,4.17899e+01,2.95822e+02
ch4_040,5,032,32,1.93616e+02,8.23946e+00,4.02931e+01,2.42148e+02
ch4_040,5,048,08,2.32016e+02,8.41688e+00,4.52834e+01,2.85716e+02
ch4_040,5,048,16,1.75055e+02,7.83483e+00,3.34374e+01,2.16328e+02
ch4_040,5,048,32,1.81133e+02,8.21971e+00,3.32962e+01,2.22649e+02
ch4_040,5,064,08,1.55530e+02,7.79335e+00,3.99688e+01,2.03292e+02
ch4_040,5,064,16,1.19882e+02,8.57785e+00,2.80505e+01,1.56511e+02
ch4_040,5,064,32,1.06723e+02,8.45176e+00,2.76816e+01,1.42856e+02
ch4_040,5,080,08,2.27880e+02,8.60440e+00,4.93595e+01,2.85845e+02
ch4_040,5,080,16,1.35908e+02,8.02586e+00,3.51220e+01,1.79056e+02
ch4_040,5,080,32,1.21795e+02,8.16928e+00,3.51699e+01,1.65134e+02
ch4_040,5,096,08,1.46922e+02,7.80612e+00,4.10841e+01,1.95813e+02
ch4_040,5,096,16,1.14487e+02,8.04128e+00,3.08119e+01,1.53340e+02
ch4_040,5,096,32,1.05580e+02,8.27458e+00,2.96492e+01,1.43504e+02
