molecule,prec,MPI,OMP,SCF cycles,Wall time,Max memory
ch4_010,5,008,08,-6,9.828280e+02,8964460
ch4_010,5,008,16,-6,7.072695e+02,9048772
ch4_010,5,008,32,-6,5.663740e+02,9089888
ch4_010,5,016,08,-6,7.307917e+02,6408068
ch4_010,5,016,16,-6,4.586333e+02,6474576
ch4_010,5,016,32,-6,3.828639e+02,6517296
ch4_010,5,032,08,-6,6.087741e+02,5710224
ch4_010,5,032,16,-6,4.336064e+02,5772500
ch4_010,5,032,32,-6,3.353340e+02,5808276
ch4_020,5,008,08,-6,3.191403e+03,21949384
ch4_020,5,008,16,-6,2.149342e+03,21324456
ch4_020,5,008,32,-6,1.516065e+03,21347896
ch4_020,5,016,08,-6,2.239026e+03,14541596
ch4_020,5,016,16,-6,1.583790e+03,14595700
ch4_020,5,016,32,-6,9.807228e+02,14662204
ch4_020,5,032,08,-6,1.685790e+03,11439124
ch4_020,5,032,16,-6,1.187722e+03,11477316
ch4_020,5,032,32,-6,7.669867e+02,11515220
ch4_020,5,048,08,-6,1.658209e+03,10904808
ch4_020,5,048,16,-6,1.206788e+03,10931820
ch4_020,5,048,32,-6,8.192818e+02,10917076
ch4_020,5,064,08,-6,1.686104e+03,11035296
ch4_020,5,064,16,-6,1.299710e+03,11043340
ch4_020,5,064,32,-6,8.313417e+02,11095044
ch4_020,5,080,08,-6,1.798814e+03,11458184
ch4_020,5,080,16,-6,1.264826e+03,11487896
ch4_020,5,080,32,-6,9.741564e+02,11520204
ch4_030,5,008,32,-6,3.058979e+03,37993048
ch4_030,5,016,16,-6,3.384432e+03,24333124
ch4_030,5,016,32,-6,1.924432e+03,24351880
ch4_030,5,032,08,-6,3.214373e+03,18600436
ch4_030,5,032,16,-6,2.261458e+03,18659248
ch4_030,5,032,32,-6,1.412116e+03,18660668
ch4_030,5,048,08,-6,3.089841e+03,17171264
ch4_030,5,048,16,-6,2.239597e+03,17223588
ch4_030,5,048,32,-6,1.401313e+03,17268044
ch4_030,5,064,08,-6,3.122296e+03,16527060
ch4_030,5,064,16,-6,2.388992e+03,16513272
ch4_030,5,064,32,-6,1.441190e+03,16556568
ch4_030,5,080,08,-6,3.450981e+03,16881520
ch4_030,5,080,16,-6,2.537352e+03,16900456
ch4_030,5,080,32,-6,1.614327e+03,16931948
ch4_040,5,008,32,-6,5.170416e+03,57913136
ch4_040,5,016,16,-6,5.096104e+03,37031996
ch4_040,5,016,32,-6,3.224164e+03,37147528
ch4_040,5,032,16,-6,3.670682e+03,26848360
ch4_040,5,032,32,-6,2.373038e+03,26859040
ch4_040,5,048,08,-6,5.016778e+03,24822876
ch4_040,5,048,16,-6,3.586572e+03,24893776
ch4_040,5,048,32,-6,2.233704e+03,24968576
ch4_040,5,064,08,-6,4.637092e+03,22290624
ch4_040,5,064,16,-6,3.384586e+03,22245812
ch4_040,5,064,32,-6,2.220986e+03,22264196
ch4_040,5,080,08,-6,5.092303e+03,23245068
ch4_040,5,080,16,-6,3.663123e+03,23313096
ch4_040,5,080,32,-6,2.357801e+03,23393412
ch4_040,5,096,08,-6,4.995872e+03,22750308
ch4_040,5,096,16,-6,3.846626e+03,22754320
ch4_040,5,096,32,-6,2.499417e+03,22761932
ch4_040,5,112,08,-6,5.159020e+03,22530852
ch4_040,5,112,16,-6,3.842440e+03,22533492
ch4_040,5,112,32,-6,2.722581e+03,22540512
ch4_040,5,128,08,-6,5.191829e+03,22623216
ch4_040,5,128,16,-6,4.133841e+03,22608832
ch4_040,5,128,32,-6,2.855740e+03,22673452
ch4_050,5,016,32,-6,4.088173e+03,49206108
ch4_050,5,032,16,-6,5.056638e+03,37415264
ch4_050,5,032,32,-6,2.990695e+03,35306532
ch4_050,5,048,16,-6,4.529522e+03,30345944
ch4_050,5,048,32,-6,2.831056e+03,30416616
ch4_050,5,064,16,-6,4.403730e+03,30043308
ch4_050,5,064,32,-6,2.757789e+03,30091564
ch4_050,5,080,08,-6,5.981804e+03,27241956
ch4_050,5,080,16,-6,4.303223e+03,27230800
ch4_050,5,080,32,-6,2.929343e+03,27269840
ch4_050,5,096,16,-6,4.694982e+03,28209392
ch4_050,5,096,32,-6,3.361541e+03,29059404
ch4_050,5,112,08,-6,6.424675e+03,28022308
ch4_050,5,112,16,-6,4.945235e+03,28043472
ch4_050,5,112,32,-6,3.431529e+03,28083896
ch4_050,5,128,08,-6,6.799331e+03,28259292
ch4_050,5,128,16,-6,5.235254e+03,28263056
ch4_050,5,128,32,-6,3.793673e+03,28311072
ch4_060,5,032,32,-6,4.220056e+03,44677032
ch4_060,5,048,16,-6,6.285607e+03,39453144
ch4_060,5,048,32,-6,3.804974e+03,39436028
ch4_060,5,064,16,-6,5.826952e+03,36706504
ch4_060,5,064,32,-6,3.621196e+03,35298684
ch4_060,5,080,16,-6,5.984178e+03,36418180
ch4_060,5,080,32,-6,3.883681e+03,36380344
ch4_060,5,096,16,-6,5.825658e+03,33222608
ch4_060,5,096,32,-6,4.174587e+03,33230424
ch4_060,5,112,16,-6,6.603526e+03,34296764
ch4_060,5,112,32,-6,4.404403e+03,34330092
ch4_060,5,128,16,-6,6.841853e+03,34152868
ch4_060,5,128,32,-6,4.563920e+03,34201252
ch4_060,5,144,16,-6,7.117770e+03,34474884
ch4_060,5,144,32,-6,5.077662e+03,34452524
