molecule,prec,MPI,OMP,Kinetic matrix,Potential matrix,Total matrix
ch4_002,4,01,01,1.721581911000000e+00,1.223727241700000e+01,1.39590e+01
ch4_002,4,01,02,1.049819157000000e+00,6.330250160000000e+00,7.38025e+00
ch4_002,4,01,04,7.418829300000001e-01,3.462472120000000e+00,4.20454e+00
ch4_002,4,01,08,5.388505990000000e-01,1.880458274000000e+00,2.41949e+00
ch4_002,4,01,16,4.672668020000000e-01,1.086336562000000e+00,1.55379e+00
ch4_002,4,01,32,4.315188720000000e-01,7.161434160000000e-01,1.14789e+00
ch4_002,4,02,01,1.046096485000000e+00,6.926962001000000e+00,7.97324e+00
ch4_002,4,02,02,6.924514180000000e-01,3.635254084000000e+00,4.32792e+00
ch4_002,4,02,04,4.573239330000000e-01,1.890358801000000e+00,2.34788e+00
ch4_002,4,02,08,3.613551480000000e-01,1.063307232000000e+00,1.42486e+00
ch4_002,4,02,16,3.270341690000000e-01,6.295624230000000e-01,9.56789e-01
ch4_002,4,02,32,3.342748670000000e-01,4.495173500000000e-01,7.84016e-01
ch4_002,4,04,01,6.309640580000000e-01,4.097681437000000e+00,4.72884e+00
ch4_002,4,04,02,4.073765630000000e-01,2.097283401000000e+00,2.50485e+00
ch4_002,4,04,04,3.000852680000000e-01,1.179146681000000e+00,1.47942e+00
ch4_002,4,04,08,2.415303160000000e-01,6.522198470000000e-01,8.93938e-01
ch4_002,4,04,16,2.215345690000000e-01,4.088029850000000e-01,6.30524e-01
ch4_002,4,04,32,2.015389100000000e-01,2.766077660000000e-01,4.78329e-01
ch4_002,4,08,01,5.145124930000000e-01,2.644239081000000e+00,3.15893e+00
ch4_002,4,08,02,3.375494870000000e-01,1.406959719000000e+00,1.74469e+00
ch4_002,4,08,04,2.647013410000000e-01,7.582640309999999e-01,1.02315e+00
ch4_002,4,08,08,2.067319080000000e-01,4.366366820000000e-01,6.43544e-01
ch4_002,4,08,16,1.926787450000000e-01,2.825502430000000e-01,4.75411e-01
ch4_002,4,08,32,1.736621640000000e-01,2.034131270000000e-01,3.77295e-01
ch4_002,5,01,01,4.922173026000000e+00,3.388697383800000e+01,3.88093e+01
ch4_002,5,01,02,2.963389881000000e+00,1.756794782800000e+01,2.05315e+01
ch4_002,5,01,04,1.991470392000000e+00,9.291442400999999e+00,1.12831e+01
ch4_002,5,01,08,1.459452565000000e+00,5.256465329000000e+00,6.71611e+00
ch4_002,5,01,16,1.252219780000000e+00,2.977857658000000e+00,4.23027e+00
ch4_002,5,01,32,1.128166473000000e+00,1.877275626000000e+00,3.00566e+00
ch4_002,5,02,01,3.003632396000000e+00,1.910111978500000e+01,2.21050e+01
ch4_002,5,02,02,1.894154948000000e+00,9.838860600000000e+00,1.17332e+01
ch4_002,5,02,04,1.277740728000000e+00,5.169920189000000e+00,6.44785e+00
ch4_002,5,02,08,9.756178540000000e-01,2.865147615000000e+00,3.84096e+00
ch4_002,5,02,16,8.712987940000000e-01,1.690354127000000e+00,2.56188e+00
ch4_002,5,02,32,9.797797730000000e-01,2.393888686000000e+00,3.37389e+00
ch4_002,5,04,01,1.905577717000000e+00,1.228170730900000e+01,1.41875e+01
ch4_002,5,04,02,1.196254847000000e+00,6.381558438000000e+00,7.57799e+00
ch4_002,5,04,04,1.013740873000000e+00,3.943069114000000e+00,4.95700e+00
ch4_002,5,04,08,7.902795419999999e-01,2.190600783000000e+00,2.98106e+00
ch4_002,5,04,16,6.006335450000000e-01,1.372150779000000e+00,1.97297e+00
ch4_002,5,04,32,6.130014810000000e-01,1.275760782000000e+00,1.88898e+00
