molecule,prec,MPI,OMP,Rotation,Apply,Total Helmholtz
ch4_010,5,008,08,,,7.04171e+01,76.5014
ch4_010,5,008,16,,,4.18080e+01,47.2556
ch4_010,5,008,32,,,4.09458e+01,47.0701
ch4_010,5,016,08,,,3.17334e+01,36.0782
ch4_010,5,016,16,,,1.83643e+01,21.8744
ch4_010,5,016,32,,,1.85179e+01,22.2228
ch4_010,5,032,08,,,2.00833e+01,24.5444
ch4_010,5,032,16,,,1.20328e+01,15.6338
ch4_010,5,032,32,,,1.11692e+01,14.9746
ch4_020,5,008,08,,,1.67598e+02,198.818
ch4_020,5,008,16,,,9.19365e+01,116.52
ch4_020,5,008,32,,,8.55682e+01,112.263
ch4_020,5,016,08,,,6.65016e+01,84.9587
ch4_020,5,016,16,,,4.04336e+01,54.4925
ch4_020,5,016,32,,,3.73904e+01,52.3655
ch4_020,5,032,08,,,3.01885e+01,42.3449
ch4_020,5,032,16,,,1.86268e+01,27.9799
ch4_020,5,032,32,,,1.86690e+01,28.7629
ch4_020,5,064,08,,,1.91999e+01,31.5544
ch4_020,5,064,16,,,1.17702e+01,21.2647
ch4_020,5,064,32,,,1.16300e+01,21.5367
ch4_030,5,008,08,,,2.54082e+02,338.312
ch4_030,5,008,16,,,1.51562e+02,221.597
ch4_030,5,008,32,,,1.28363e+02,199.073
ch4_030,5,016,08,,,1.16874e+02,157.191
ch4_030,5,016,16,,,6.49670e+01,98.3928
ch4_030,5,016,32,,,6.18198e+01,96.3886
ch4_030,5,032,08,,,5.26910e+01,76.8847
ch4_030,5,032,16,,,3.11930e+01,49.7563
ch4_030,5,032,32,,,3.27146e+01,53.0412
ch4_030,5,064,08,,,2.07150e+01,39.1295
ch4_030,5,064,16,,,1.23771e+01,26.2244
ch4_030,5,064,32,,,1.21343e+01,26.8995
ch4_040,5,008,08,,,3.74424e+02,611.397
ch4_040,5,008,16,,,2.03641e+02,365.521
ch4_040,5,008,32,,,1.85784e+02,329.843
ch4_040,5,016,08,,,0.00000e+00,0
ch4_040,5,016,16,,,1.00096e+02,165.174
ch4_040,5,016,32,,,9.17349e+01,154.649
ch4_040,5,032,08,,,7.61558e+01,125.184
ch4_040,5,032,16,,,4.68865e+01,84.0829
ch4_040,5,032,32,,,4.56188e+01,85.7402
ch4_040,5,064,08,,,3.06968e+01,64.5542
ch4_040,5,064,16,,,1.97128e+01,45.4929
ch4_040,5,064,32,,,1.83916e+01,44.6629
