molecule,prec,MPI,OMP,SCF cycles,Wall time,Max memory
ch4_002,4,01,01,5,1.279134e+03,2010760
ch4_002,4,01,02,5,6.671448e+02,2078108
ch4_002,4,01,04,5,3.635022e+02,2122584
ch4_002,4,01,08,5,1.962934e+02,2135276
ch4_002,4,01,16,5,1.223474e+02,2162476
ch4_002,4,01,32,5,8.526417e+01,2174408
ch4_002,4,02,01,5,8.193470e+02,1731772
ch4_002,4,02,02,5,4.295982e+02,1746956
ch4_002,4,02,04,5,2.199423e+02,1708172
ch4_002,4,02,08,5,1.240348e+02,1730020
ch4_002,4,02,16,5,7.711137e+01,1742276
ch4_002,4,02,32,5,5.718106e+01,1789472
ch4_002,4,04,01,5,5.611121e+02,1550756
ch4_002,4,04,02,5,2.894421e+02,1553452
ch4_002,4,04,04,5,1.581355e+02,1564820
ch4_002,4,04,08,5,8.755490e+01,1544184
ch4_002,4,04,16,5,5.492459e+01,1577716
ch4_002,4,04,32,5,4.048921e+01,1625188
ch4_002,4,08,01,5,4.456364e+02,1477928
ch4_002,4,08,02,5,2.332758e+02,1470300
ch4_002,4,08,04,5,1.223402e+02,1459252
ch4_002,4,08,08,5,7.056476e+01,1470296
ch4_002,4,08,16,5,4.508154e+01,1493376
ch4_002,4,08,32,5,3.465834e+01,1558012
ch4_002,5,01,01,7,5.510671e+03,5001368
ch4_002,5,01,02,7,2.569774e+03,5176592
ch4_002,5,01,04,7,1.371982e+03,5256852
ch4_002,5,01,08,7,7.408999e+02,5291328
ch4_002,5,01,16,7,4.427117e+02,5320992
ch4_002,5,01,32,7,3.041344e+02,5365628
ch4_002,5,02,01,7,3.086012e+03,4421272
ch4_002,5,02,02,7,1.586533e+03,4397296
ch4_002,5,02,04,7,8.279778e+02,4406924
ch4_002,5,02,08,7,4.520379e+02,4397532
ch4_002,5,02,16,7,2.762683e+02,4407624
ch4_002,5,02,32,7,3.609284e+02,4467832
ch4_002,5,04,01,7,2.573498e+03,3948888
ch4_002,5,04,02,7,1.226398e+03,3966608
ch4_002,5,04,04,7,6.829135e+02,3954336
ch4_002,5,04,08,7,4.153624e+02,3940200
ch4_002,5,04,16,7,2.403346e+02,3942292
ch4_002,5,04,32,7,2.135412e+02,3961388
ch4_002,5,08,01,7,1.947852e+03,3741436
ch4_002,5,08,02,7,1.031053e+03,3770408
ch4_002,5,08,04,7,5.130707e+02,3723596
ch4_002,5,08,08,7,3.044207e+02,3718688
ch4_002,5,08,16,7,2.057600e+02,3720656
ch4_002,5,08,32,7,1.726212e+02,3761932
ch4_002,6,01,01,11,1.602193e+04,9171224
ch4_002,6,01,02,11,8.152350e+03,9559892
ch4_002,6,01,04,11,4.269434e+03,9707304
ch4_002,6,01,08,11,2.282199e+03,9760348
ch4_002,6,01,16,11,1.338362e+03,9822812
ch4_002,6,01,32,11,8.887200e+02,9848244
ch4_002,6,02,01,11,9.882231e+03,9397816
ch4_002,6,02,02,11,5.048386e+03,9370720
ch4_002,6,02,04,11,2.612880e+03,9435576
ch4_002,6,02,08,11,1.406361e+03,9539544
ch4_002,6,02,16,11,8.309167e+02,9580292
ch4_002,6,02,32,11,9.953830e+02,9619104
ch4_002,6,04,01,11,7.906038e+03,8791984
ch4_002,6,04,02,11,4.121288e+03,8887908
ch4_002,6,04,04,11,2.175677e+03,8816096
ch4_002,6,04,08,11,1.162748e+03,8763700
ch4_002,6,04,16,11,7.214233e+02,8773156
ch4_002,6,04,32,11,6.192759e+02,8786876
ch4_002,6,08,01,11,5.961102e+03,8473400
ch4_002,6,08,02,11,3.236562e+03,8458660
ch4_002,6,08,04,11,1.587707e+03,8508224
ch4_002,6,08,08,11,8.964314e+02,8458156
ch4_002,6,08,16,11,5.523555e+02,8474040
ch4_002,6,08,32,11,4.761573e+02,8490076
ch4_004,4,01,01,4,2.336207e+03,3943436
ch4_004,4,01,02,4,1.223558e+03,4027580
ch4_004,4,01,04,4,6.570152e+02,4084604
ch4_004,4,01,08,4,3.637509e+02,4095108
ch4_004,4,01,16,4,2.259275e+02,4110704
ch4_004,4,01,32,4,1.588019e+02,4135896
ch4_004,4,02,01,4,1.392112e+03,3033096
ch4_004,4,02,02,4,7.323024e+02,3049996
ch4_004,4,02,04,4,3.811057e+02,3032928
ch4_004,4,02,08,4,2.144734e+02,3035836
ch4_004,4,02,16,4,1.335171e+02,3051716
ch4_004,4,02,32,4,1.002987e+02,3120924
ch4_004,4,04,01,4,9.096995e+02,2543460
ch4_004,4,04,02,4,4.677618e+02,2562212
ch4_004,4,04,04,4,2.552951e+02,2537544
ch4_004,4,04,08,4,1.459368e+02,2543544
ch4_004,4,04,16,4,8.964217e+01,2555444
ch4_004,4,04,32,4,6.481664e+01,2622956
ch4_004,4,08,01,4,6.409707e+02,2397312
ch4_004,4,08,02,4,3.341167e+02,2436392
ch4_004,4,08,04,4,1.764591e+02,2405716
ch4_004,4,08,08,4,1.002423e+02,2396880
ch4_004,4,08,16,4,6.561703e+01,2417496
ch4_004,4,08,32,4,4.813748e+01,2473348
ch4_004,4,16,01,4,5.333923e+02,2386028
ch4_004,4,16,02,4,2.773294e+02,2442192
ch4_004,4,16,04,4,1.518831e+02,2413324
ch4_004,4,16,08,4,8.983284e+01,2389432
ch4_004,4,16,16,4,5.868430e+01,2411584
ch4_004,4,16,32,4,4.433359e+01,2463012
ch4_004,5,01,01,7,1.102188e+04,11676656
ch4_004,5,01,02,7,5.665934e+03,11912616
ch4_004,5,01,04,7,2.985599e+03,12034968
ch4_004,5,01,08,7,1.661638e+03,12047052
ch4_004,5,01,16,7,9.923186e+02,12082328
ch4_004,5,01,32,7,6.742402e+02,12124744
ch4_004,5,02,01,7,6.467762e+03,8676244
ch4_004,5,02,02,7,3.347175e+03,8883636
ch4_004,5,02,04,7,1.740252e+03,8989124
ch4_004,5,02,08,7,9.528734e+02,9038100
ch4_004,5,02,16,7,5.784411e+02,9071004
ch4_004,5,02,32,7,7.250502e+02,9098224
ch4_004,5,04,01,7,5.245893e+03,7079824
ch4_004,5,04,02,7,2.706407e+03,7195160
ch4_004,5,04,04,7,1.535759e+03,7159448
ch4_004,5,04,08,7,8.698952e+02,7080164
ch4_004,5,04,16,7,5.736563e+02,7099240
ch4_004,5,04,32,7,4.496762e+02,7133952
ch4_004,5,08,01,7,3.435116e+03,6684248
ch4_004,5,08,02,7,2.031671e+03,6740424
ch4_004,5,08,04,7,9.421383e+02,6696660
ch4_004,5,08,08,7,5.849617e+02,6668500
ch4_004,5,08,16,7,4.076982e+02,6707108
ch4_004,5,08,32,7,3.164381e+02,6723880
ch4_004,5,16,01,7,2.925360e+03,6505212
ch4_004,5,16,02,7,1.673586e+03,6481440
ch4_004,5,16,04,7,8.443671e+02,6510360
ch4_004,5,16,08,7,5.096780e+02,6519288
ch4_004,5,16,16,7,3.609910e+02,6520652
ch4_004,5,16,32,7,2.738777e+02,6561676
ch4_004,6,01,01,12,4.102699e+04,23035912
ch4_004,6,01,02,12,2.118596e+04,23610184
ch4_004,6,01,04,12,1.116641e+04,23759696
ch4_004,6,01,08,12,5.926463e+03,23855468
ch4_004,6,01,16,12,3.444944e+03,23924956
ch4_004,6,01,32,12,2.253194e+03,23958724
ch4_004,6,02,01,12,2.388028e+04,19995204
ch4_004,6,02,02,12,1.236098e+04,20493240
ch4_004,6,02,04,12,6.348556e+03,20667852
ch4_004,6,02,08,12,3.388039e+03,20808640
ch4_004,6,02,16,12,1.998822e+03,20846440
ch4_004,6,02,32,12,2.562581e+03,20937820
ch4_004,6,04,01,12,1.921829e+04,16616844
ch4_004,6,04,02,12,1.014956e+04,16626200
ch4_004,6,04,04,12,5.226360e+03,16575444
ch4_004,6,04,08,12,2.911947e+03,16564216
ch4_004,6,04,16,12,1.820811e+03,16542076
ch4_004,6,04,32,12,1.499352e+03,16597020
ch4_004,6,08,01,12,1.264610e+04,16248596
ch4_004,6,08,02,12,7.078800e+03,16231140
ch4_004,6,08,04,12,3.393972e+03,16252680
ch4_004,6,08,08,12,2.032331e+03,16223308
