molecule,prec,MPI,OMP,Position matrix,Foster-Boys,Rotation,Total localize
ch4_010,5,008,08,1.73281e+01,3.58884e-02,7.60769e+00,2.49718e+01
ch4_010,5,008,16,1.50512e+01,3.28099e-02,6.40437e+00,2.14885e+01
ch4_010,5,008,32,1.97682e+01,3.30915e-02,7.86313e+00,2.76646e+01
ch4_010,5,016,08,1.21590e+01,4.91434e-02,6.43131e+00,1.86406e+01
ch4_010,5,016,16,1.02066e+01,3.26208e-02,5.40605e+00,1.56455e+01
ch4_010,5,016,32,1.11986e+01,3.26068e-02,6.49656e+00,1.77280e+01
ch4_010,5,032,08,8.65273e+00,5.37527e-02,6.66834e+00,1.53763e+01
ch4_010,5,032,16,7.59857e+00,3.25224e-02,5.87545e+00,1.35067e+01
ch4_010,5,032,32,9.09031e+00,3.30898e-02,7.08929e+00,1.62129e+01
ch4_020,5,008,08,7.28417e+01,1.68380e-01,2.84602e+01,1.01471e+02
ch4_020,5,008,16,6.20638e+01,1.15084e-01,2.39063e+01,8.60854e+01
ch4_020,5,008,32,7.21036e+01,1.05782e-01,2.66413e+01,9.88509e+01
ch4_020,5,016,08,4.36766e+01,1.69592e-01,2.33092e+01,6.71557e+01
ch4_020,5,016,16,3.70894e+01,1.14834e-01,2.01320e+01,5.73365e+01
ch4_020,5,016,32,4.40774e+01,1.10403e-01,2.48511e+01,6.90393e+01
ch4_020,5,032,08,2.80658e+01,1.70818e-01,1.99360e+01,4.81728e+01
ch4_020,5,032,16,2.47495e+01,1.14833e-01,1.71202e+01,4.19848e+01
ch4_020,5,032,32,2.94435e+01,1.07132e-01,2.00069e+01,4.95579e+01
ch4_020,5,048,08,2.52400e+01,1.69208e-01,1.73248e+01,4.27342e+01
ch4_020,5,048,16,2.21124e+01,1.15617e-01,1.52201e+01,3.74483e+01
ch4_020,5,048,32,2.50562e+01,1.04693e-01,2.02013e+01,4.53625e+01
ch4_020,5,064,08,2.15775e+01,1.68342e-01,2.21527e+01,4.38988e+01
ch4_020,5,064,16,1.86043e+01,1.16815e-01,1.85777e+01,3.72990e+01
ch4_020,5,064,32,1.95953e+01,9.96096e-02,2.25292e+01,4.22244e+01
ch4_020,5,080,08,1.96763e+01,1.69502e-01,2.26582e+01,4.25042e+01
ch4_020,5,080,16,1.67638e+01,1.14218e-01,1.99983e+01,3.68765e+01
ch4_020,5,080,32,1.73730e+01,1.03592e-01,2.44695e+01,4.19464e+01
ch4_030,5,008,08,1.79443e+02,6.62128e-01,8.28954e+01,2.63027e+02
ch4_030,5,008,16,1.66891e+02,6.12768e-01,6.95980e+01,2.37127e+02
ch4_030,5,008,32,1.82303e+02,3.56963e-01,6.81115e+01,2.50772e+02
ch4_030,5,016,08,1.21038e+02,7.57830e-01,5.97132e+01,1.81510e+02
ch4_030,5,016,16,1.01771e+02,5.36444e-01,4.88745e+01,1.51183e+02
