molecule,prec,MPI,OMP,Lowdin matrix,Rotation,Total Lowdin
ch4_010,5,008,08,1.75355e+00,5.42954e+00,7.18317e+00
ch4_010,5,008,16,1.32990e+00,4.61293e+00,5.94290e+00
ch4_010,5,008,32,2.10418e+00,4.84155e+00,6.94582e+00
ch4_010,5,016,08,5.49029e+00,4.41868e+00,9.90904e+00
ch4_010,5,016,16,4.15880e+00,4.03938e+00,8.19827e+00
ch4_010,5,016,32,3.96241e+00,3.91868e+00,7.88125e+00
ch4_010,5,032,08,3.37005e+00,4.78799e+00,8.15812e+00
ch4_010,5,032,16,2.12267e+00,5.11317e+00,7.23591e+00
ch4_010,5,032,32,1.49936e+00,5.23556e+00,6.73502e+00
ch4_020,5,008,08,3.06401e+00,2.10809e+01,2.41450e+01
ch4_020,5,008,16,3.07629e+00,1.91039e+01,2.21802e+01
ch4_020,5,008,32,3.34792e+00,1.67666e+01,2.01146e+01
ch4_020,5,016,08,2.03178e+00,1.42612e+01,1.62930e+01
ch4_020,5,016,16,2.90522e+00,1.11654e+01,1.40707e+01
ch4_020,5,016,32,2.71104e+00,1.29815e+01,1.56926e+01
ch4_020,5,032,08,9.80709e+00,1.06467e+01,2.04539e+01
ch4_020,5,032,16,5.57464e+00,9.53273e+00,1.51075e+01
ch4_020,5,032,32,5.93353e+00,1.04204e+01,1.63540e+01
ch4_020,5,048,08,1.51874e+01,1.11419e+01,2.63294e+01
ch4_020,5,048,16,8.65824e+00,8.73516e+00,1.73935e+01
ch4_020,5,048,32,9.83034e+00,9.18339e+00,1.90138e+01
ch4_020,5,064,08,6.99892e+00,1.20061e+01,1.90051e+01
ch4_020,5,064,16,4.14562e+00,1.04368e+01,1.45825e+01
ch4_020,5,064,32,5.09473e+00,1.12793e+01,1.63741e+01
ch4_020,5,080,08,2.01229e+00,1.35979e+01,1.56103e+01
ch4_020,5,080,16,1.62497e+00,1.20876e+01,1.37126e+01
ch4_020,5,080,32,1.76765e+00,1.26637e+01,1.44314e+01
ch4_030,5,008,08,4.77731e+00,4.69383e+01,5.17157e+01
ch4_030,5,008,16,4.57200e+00,3.46940e+01,3.92660e+01
ch4_030,5,008,32,5.45519e+00,3.33006e+01,3.87559e+01
ch4_030,5,016,08,3.82670e+00,2.37553e+01,2.75821e+01
ch4_030,5,016,16,6.00906e+00,2.04278e+01,2.64369e+01
ch4_030,5,016,32,1.03836e+01,2.07930e+01,3.11768e+01
ch4_030,5,032,08,5.31107e+00,1.93078e+01,2.46190e+01
ch4_030,5,032,16,3.84532e+00,1.60555e+01,1.99009e+01
ch4_030,5,032,32,4.46474e+00,1.81483e+01,2.26132e+01
ch4_030,5,048,08,8.39749e+00,1.93851e+01,2.77827e+01
ch4_030,5,048,16,5.04695e+00,1.63097e+01,2.13568e+01
ch4_030,5,048,32,5.13910e+00,1.78068e+01,2.29460e+01
ch4_030,5,064,08,1.39493e+01,1.70095e+01,3.09589e+01
ch4_030,5,064,16,7.92275e+00,1.63865e+01,2.43094e+01
ch4_030,5,064,32,7.86035e+00,1.62767e+01,2.41371e+01
ch4_030,5,080,08,1.24076e+01,1.67942e+01,2.92019e+01
ch4_030,5,080,16,8.12954e+00,1.49667e+01,2.30964e+01
ch4_030,5,080,32,6.85799e+00,1.63269e+01,2.31850e+01
ch4_040,5,008,32,1.06863e+01,5.26053e+01,6.32917e+01
ch4_040,5,016,08,4.59473e+00,4.43861e+01,4.89809e+01
ch4_040,5,016,16,8.01830e+00,4.21567e+01,5.01751e+01
ch4_040,5,016,32,8.61551e+00,3.68020e+01,4.54176e+01
ch4_040,5,032,08,6.08093e+00,3.18974e+01,3.79784e+01
ch4_040,5,032,16,3.25669e+00,3.27266e+01,3.59834e+01
ch4_040,5,032,32,3.45695e+00,3.12423e+01,3.46994e+01
ch4_040,5,048,08,4.63168e+00,2.91073e+01,3.37391e+01
ch4_040,5,048,16,3.44225e+00,2.40339e+01,2.74763e+01
ch4_040,5,048,32,4.54149e+00,2.57651e+01,3.03067e+01
ch4_040,5,064,08,1.75617e+01,2.76487e+01,4.52105e+01
ch4_040,5,064,16,9.09676e+00,2.39823e+01,3.30792e+01
ch4_040,5,064,32,1.30291e+01,2.52425e+01,3.82718e+01
ch4_040,5,080,08,5.44059e+00,3.14259e+01,3.68666e+01
ch4_040,5,080,16,3.63753e+00,2.80333e+01,3.16710e+01
ch4_040,5,080,32,3.12658e+00,2.68093e+01,2.99360e+01
ch4_040,5,096,08,1.13557e+01,2.43472e+01,3.57031e+01
ch4_040,5,096,16,9.24177e+00,2.04526e+01,2.96945e+01
ch4_040,5,096,32,9.93025e+00,2.28673e+01,3.27977e+01
ch4_040,5,112,08,1.26525e+01,2.55313e+01,3.81838e+01
ch4_040,5,112,16,9.19644e+00,2.26885e+01,3.18850e+01
ch4_040,5,112,32,8.64718e+00,2.37707e+01,3.24180e+01
ch4_040,5,128,08,1.03176e+01,2.83536e+01,3.86713e+01
ch4_040,5,128,16,6.65286e+00,2.48815e+01,3.15345e+01
ch4_040,5,128,32,7.16668e+00,2.71329e+01,3.42997e+01
ch4_050,5,016,16,2.72194e+01,5.92515e+01,8.64710e+01
ch4_050,5,016,32,2.37768e+01,5.23813e+01,7.61582e+01
ch4_050,5,032,08,2.53612e+01,4.59847e+01,7.13460e+01
ch4_050,5,032,16,1.19575e+01,3.79322e+01,4.98897e+01
ch4_050,5,032,32,1.02753e+01,3.59745e+01,4.62499e+01
ch4_050,5,048,16,1.74514e+01,3.53304e+01,5.27818e+01
ch4_050,5,048,32,1.39812e+01,3.89107e+01,5.28920e+01
ch4_050,5,064,08,1.53697e+01,3.71632e+01,5.25330e+01
ch4_050,5,064,16,9.08720e+00,3.23142e+01,4.14015e+01
ch4_050,5,064,32,1.02798e+01,3.27385e+01,4.30183e+01
ch4_050,5,080,08,1.21993e+01,3.40140e+01,4.62134e+01
ch4_050,5,080,16,8.84629e+00,2.98525e+01,3.86989e+01
ch4_050,5,080,32,9.41744e+00,3.43557e+01,4.37732e+01
ch4_050,5,096,08,1.13678e+01,3.70001e+01,4.83680e+01
ch4_050,5,096,16,7.26181e+00,3.21552e+01,3.94171e+01
ch4_050,5,096,32,1.07144e+01,3.54489e+01,4.61634e+01
ch4_050,5,112,08,1.96457e+01,3.19076e+01,5.15533e+01
ch4_050,5,112,16,1.25085e+01,2.88341e+01,4.13426e+01
ch4_050,5,112,32,1.05867e+01,2.94312e+01,4.00180e+01
ch4_050,5,128,08,1.67264e+01,3.19706e+01,4.86971e+01
ch4_050,5,128,16,1.06098e+01,2.74801e+01,3.80900e+01
ch4_050,5,128,32,1.73790e+01,2.90539e+01,4.64330e+01
ch4_060,5,016,32,8.64940e+00,6.82363e+01,7.68858e+01
ch4_060,5,032,16,1.58190e+01,4.69325e+01,6.27516e+01
ch4_060,5,032,32,1.40943e+01,5.15946e+01,6.56890e+01
ch4_060,5,048,16,4.41602e+00,4.79583e+01,5.23745e+01
ch4_060,5,048,32,5.11646e+00,4.74243e+01,5.25409e+01
ch4_060,5,064,08,1.44438e+01,4.45726e+01,5.90164e+01
ch4_060,5,064,16,7.32655e+00,3.99591e+01,4.72857e+01
ch4_060,5,064,32,9.15654e+00,4.29724e+01,5.21290e+01
ch4_060,5,080,08,5.37419e+00,4.70573e+01,5.24316e+01
ch4_060,5,080,16,4.06572e+00,4.45465e+01,4.86123e+01
ch4_060,5,080,32,4.91413e+00,4.66114e+01,5.15257e+01
ch4_060,5,096,08,1.33175e+01,4.30261e+01,5.63437e+01
ch4_060,5,096,16,7.43078e+00,3.83276e+01,4.57585e+01
