molecule,prec,MPI,OMP,Kinetic matrix,Potential matrix,Total matrix

ch4_010,5,008,08,3.956015520000000e+00,9.463348217000000e+00,1.34196e+01
ch4_010,5,008,16,3.779903129000000e+00,7.095146175000000e+00,1.08753e+01
ch4_010,5,008,32,4.256494028000000e+00,7.538513442000000e+00,1.17952e+01
ch4_010,5,016,08,3.572068314000000e+00,5.462963703000000e+00,9.03526e+00
ch4_010,5,016,16,3.120080599000000e+00,4.041763651000000e+00,7.16203e+00
ch4_010,5,016,32,2.843697162000000e+00,4.404333109000000e+00,7.24821e+00
ch4_010,5,032,08,3.085363783000000e+00,4.091216156000000e+00,7.17675e+00
ch4_010,5,032,16,2.466054120000000e+00,2.962827527000000e+00,5.42911e+00
ch4_010,5,032,32,2.316224739000000e+00,3.111232277000000e+00,5.42768e+00

ch4_020,5,008,08,8.922170577999999e+00,2.399838879300000e+01,3.29208e+01
ch4_020,5,008,16,8.303313819000000e+00,1.578062999100000e+01,2.40842e+01
ch4_020,5,008,32,9.625040896000000e+00,1.722624165300000e+01,2.68515e+01
ch4_020,5,016,08,7.746213948000000e+00,1.150548293100000e+01,1.92519e+01
ch4_020,5,016,16,5.873242281000000e+00,8.242801546999999e+00,1.41163e+01
ch4_020,5,016,32,6.489761232000000e+00,9.472540677000000e+00,1.59625e+01
ch4_020,5,032,08,7.464295596000000e+00,7.411796950000000e+00,1.48763e+01
ch4_020,5,032,16,5.024750359000000e+00,5.743775495000000e+00,1.07688e+01
ch4_020,5,032,32,4.904578599000000e+00,5.582264267000000e+00,1.04871e+01
ch4_020,5,064,08,6.119944890000000e+00,6.183528747000000e+00,1.23037e+01
ch4_020,5,064,16,5.063077639000000e+00,4.856270944000000e+00,9.91953e+00
ch4_020,5,064,32,4.259594094000000e+00,4.487285419000000e+00,8.74711e+00

ch4_030,5,008,08,2.103202217000000e+01,3.585691620900000e+01,5.68891e+01
ch4_030,5,008,16,1.417652077300000e+01,2.508707340500000e+01,3.92638e+01
ch4_030,5,008,32,1.660083256500000e+01,2.644107327200000e+01,4.30421e+01
ch4_030,5,016,16,9.611177886000000e+00,1.444672925900000e+01,2.40581e+01
ch4_030,5,016,32,1.022180927200000e+01,1.402140564500000e+01,2.42462e+01
ch4_030,5,032,16,7.617540545000000e+00,8.563121722000000e+00,1.61809e+01
ch4_030,5,032,32,7.017314939000000e+00,8.724637014000001e+00,1.57422e+01
ch4_030,5,064,16,7.590062936000000e+00,6.646787565000000e+00,1.42371e+01
ch4_030,5,064,32,6.593542646000000e+00,6.160857882000000e+00,1.27546e+01

ch4_040,5,008,32,2.528678903500000e+01,3.453608366700000e+01,5.98231e+01
ch4_040,5,016,32,1.402312449400000e+01,2.169789198700000e+01,3.57213e+01
ch4_040,5,032,32,9.079163331000000e+00,1.136425146600000e+01,2.04436e+01
ch4_040,5,064,32,8.387336286000000e+00,8.446280613000001e+00,1.68338e+01
