molecule,prec,MPI,OMP,Rotation,Apply,Total Helmholtz

ch4_010,5,008,08,6.08432e+00,7.04171e+01,76.5014
ch4_010,5,008,16,5.44760e+00,4.18080e+01,47.2556
ch4_010,5,008,32,6.12435e+00,4.09458e+01,47.0701
ch4_010,5,016,08,4.34480e+00,3.17334e+01,36.0782
ch4_010,5,016,16,3.51008e+00,1.83643e+01,21.8744
ch4_010,5,016,32,3.70490e+00,1.85179e+01,22.2228
ch4_010,5,032,08,4.46112e+00,2.00833e+01,24.5444
ch4_010,5,032,16,3.60102e+00,1.20328e+01,15.6338
ch4_010,5,032,32,3.80536e+00,1.11692e+01,14.9746

ch4_020,5,008,08,3.12201e+01,1.67598e+02,198.818
ch4_020,5,008,16,2.45839e+01,9.19365e+01,116.52
ch4_020,5,008,32,2.66951e+01,8.55682e+01,112.263
ch4_020,5,016,08,1.84571e+01,6.65016e+01,84.9587
ch4_020,5,016,16,1.40589e+01,4.04336e+01,54.4925
ch4_020,5,016,32,1.49751e+01,3.73904e+01,52.3655
ch4_020,5,032,08,1.21564e+01,3.01885e+01,42.3449
ch4_020,5,032,16,9.35307e+00,1.86268e+01,27.9799
ch4_020,5,032,32,1.00939e+01,1.86690e+01,28.7629
ch4_020,5,064,08,1.23545e+01,1.91999e+01,31.5544
ch4_020,5,064,16,9.49454e+00,1.17702e+01,21.2647
ch4_020,5,064,32,9.90666e+00,1.16300e+01,21.5367

ch4_030,5,008,08,8.42296e+01,2.54082e+02,338.312
ch4_030,5,008,16,7.00346e+01,1.51562e+02,221.597
ch4_030,5,008,32,7.07099e+01,1.28363e+02,199.073
ch4_030,5,016,16,3.34258e+01,6.49670e+01,98.3928
ch4_030,5,016,32,3.45688e+01,6.18198e+01,96.3886
ch4_030,5,032,16,1.85633e+01,3.11930e+01,49.7563
ch4_030,5,032,32,2.03266e+01,3.27146e+01,53.0412
ch4_030,5,064,16,1.38473e+01,1.23771e+01,26.2244
ch4_030,5,064,32,1.47652e+01,1.21343e+01,26.8995

ch4_040,5,008,32,1.44059e+02,1.85784e+02,329.843
ch4_040,5,016,32,6.29136e+01,9.17349e+01,154.649
ch4_040,5,032,32,4.01214e+01,4.56188e+01,85.7402
ch4_040,5,064,32,2.62713e+01,1.83916e+01,44.6629
