molecule,prec,MPI,OMP,SCF cycles,Wall time,Max memory

ch4_010,5,008,08,7,1.419982e+03,9477744
ch4_010,5,008,16,7,9.442737e+02,9498852
ch4_010,5,008,32,7,8.853326e+02,7206684
ch4_010,5,016,08,7,9.238297e+02,8476652
ch4_010,5,016,16,7,6.091102e+02,8476088
ch4_010,5,016,32,7,5.887515e+02,6160180
ch4_010,5,032,08,7,7.653129e+02,8394952
ch4_010,5,032,16,7,5.216803e+02,8357344
ch4_010,5,032,32,7,5.147331e+02,6079568

ch4_020,5,008,08,8,4.534594e+03,18505516
ch4_020,5,008,16,8,2.994182e+03,18485036
ch4_020,5,008,32,8,2.551081e+03,13378068
ch4_020,5,016,08,9,2.846503e+03,16974040
ch4_020,5,016,16,9,1.881585e+03,16976540
ch4_020,5,016,32,9,1.736377e+03,11320148
ch4_020,5,032,08,9,2.011989e+03,16693212
ch4_020,5,032,16,9,1.352784e+03,16677196
ch4_020,5,032,32,9,1.300398e+03,10644116
ch4_020,5,064,08,7,1.503416e+03,15340972
ch4_020,5,064,16,7,1.054090e+03,15318408
ch4_020,5,064,32,7,1.055282e+03,10555772

ch4_030,5,008,08,7,8.426880e+03,28355308
ch4_030,5,008,16,7,5.676559e+03,28810716
ch4_030,5,008,32,7,4.515627e+03,22299768
ch4_030,5,016,16,8,3.595490e+03,24071872
ch4_030,5,016,32,8,3.020891e+03,16625608
ch4_030,5,032,16,8,2.222591e+03,23589132
ch4_030,5,032,32,8,2.111431e+03,15713276
ch4_030,5,064,16,8,1.812925e+03,23423004
ch4_030,5,064,32,8,1.768689e+03,15450644

ch4_040,5,008,32,8,8.424579e+03,31791632
ch4_040,5,016,32,8,4.881677e+03,21507184
ch4_040,5,032,32,8,3.327185e+03,20713788
ch4_040,5,064,32,10,3.253298e+03,20399776
